Distant,Aloof,Unsociable,Introverted,Antisocial
45.0,41.0,40.0,43.0,42.0
51.0,42.0,49.0,51.0,42.0
45.0,41.0,43.0,50.0,38.0
44.0,47.0,37.0,34.0,34.0
44.0,37.0,38.0,35.0,31.0
36.0,40.0,34.0,42.0,33.0
42.0,45.0,40.0,46.0,43.0
51.0,45.0,44.0,51.0,45.0
39.0,42.0,35.0,41.0,33.0
47.0,49.0,44.0,50.0,38.0
69.0,68.0,56.0,62.0,48.0
57.0,51.0,50.0,54.0,46.0
48.0,43.0,40.0,48.0,41.0
46.0,42.0,36.0,40.0,31.0
43.0,37.0,37.0,45.0,35.0
34.0,39.0,32.0,36.0,33.0
21.0,35.0,24.0,21.0,22.0
41.0,44.0,32.0,34.0,28.0
54.0,53.0,46.0,51.0,49.0
56.0,48.0,40.0,55.0,38.0
46.0,41.0,44.0,43.0,44.0
56.0,54.0,46.0,56.0,44.0
61.0,53.0,52.0,58.0,48.0
56.0,46.0,49.0,56.0,47.0
56.0,56.0,53.0,51.0,44.0
60.0,56.0,47.0,54.0,42.0
51.0,49.0,43.0,52.0,38.0
48.0,44.0,36.0,44.0,36.0
45.0,49.0,38.0,47.0,32.0
40.0,40.0,39.0,49.0,38.0
51.0,50.0,45.0,53.0,46.0
51.0,48.0,45.0,61.0,39.0
41.0,46.0,38.0,50.0,37.0
49.0,51.0,47.0,52.0,45.0
48.0,46.0,38.0,41.0,41.0
52.0,47.0,43.0,50.0,42.0
57.0,52.0,52.0,54.0,47.0
55.0,48.0,44.0,53.0,40.0
54.0,48.0,46.0,52.0,45.0
58.0,57.0,52.0,57.0,48.0
60.0,55.0,47.0,53.0,42.0
44.0,35.0,31.0,29.0,29.0
38.0,40.0,38.0,35.0,35.0
34.0,39.0,36.0,31.0,27.0
30.0,32.0,27.0,26.0,23.0
36.0,38.0,36.0,36.0,33.0
27.0,38.0,32.0,28.0,21.0
37.0,37.0,31.0,40.0,33.0
48.0,44.0,39.0,42.0,37.0
39.0,44.0,31.0,39.0,28.0
40.0,43.0,40.0,41.0,34.0
50.0,51.0,47.0,48.0,41.0
46.0,44.0,35.0,40.0,29.0
36.0,42.0,33.0,35.0,31.0
38.0,40.0,38.0,44.0,37.0
35.0,40.0,32.0,41.0,27.0
43.0,41.0,36.0,38.0,29.0
52.0,53.0,51.0,55.0,50.0
57.0,48.0,37.0,50.0,34.0
52.0,47.0,45.0,56.0,41.0
53.0,52.0,49.0,58.0,43.0
64.0,53.0,53.0,62.0,46.0
53.0,46.0,45.0,55.0,44.0
52.0,47.0,45.0,53.0,45.0
49.0,46.0,44.0,59.0,44.0
45.0,43.0,39.0,51.0,43.0
52.0,53.0,46.0,53.0,42.0
44.0,44.0,46.0,52.0,40.0
44.0,45.0,39.0,43.0,40.0
49.0,41.0,39.0,44.0,41.0
46.0,47.0,36.0,45.0,36.0
44.0,46.0,38.0,43.0,32.0
48.0,43.0,38.0,41.0,36.0
33.0,39.0,27.0,40.0,26.0
40.0,39.0,31.0,30.0,31.0
55.0,53.0,51.0,56.0,49.0
49.0,43.0,45.0,50.0,38.0
48.0,42.0,40.0,46.0,43.0
60.0,54.0,56.0,61.0,52.0
60.0,47.0,51.0,60.0,42.0
46.0,44.0,39.0,50.0,41.0
55.0,51.0,52.0,46.0,46.0
52.0,46.0,45.0,57.0,48.0
42.0,41.0,35.0,42.0,34.0
58.0,55.0,58.0,59.0,49.0
63.0,53.0,49.0,55.0,51.0
40.0,39.0,40.0,51.0,43.0
39.0,38.0,36.0,41.0,39.0
32.0,36.0,33.0,36.0,35.0
32.0,39.0,35.0,36.0,30.0
51.0,48.0,44.0,52.0,41.0
51.0,49.0,43.0,54.0,51.0
43.0,48.0,42.0,48.0,44.0
51.0,43.0,47.0,52.0,42.0
53.0,44.0,40.0,47.0,43.0
46.0,41.0,37.0,43.0,35.0
59.0,57.0,52.0,60.0,51.0
60.0,52.0,50.0,51.0,55.0
42.0,43.0,39.0,42.0,36.0
45.0,42.0,43.0,43.0,39.0
44.0,41.0,40.0,43.0,34.0
44.0,42.0,32.0,36.0,29.0
