hdyad,hawkid,hterm,htechint,hcond,hprocadd,hage,hsex,hengspeak,hethnic,hyearosu,hyearsus,hkeyexp,hxboxexp,hhogan,hboredom,hsdesirability,shogan,sboredom,ssdesirability,hpanavigation1,hpaenjoyment1,hpauneasiness1,hpafrustration1,hpadistractedguilt1,hpagoodacc1,hpabadacc1,hpagood1,hpabad1,hpanavigation2,hpaenjoyment2,hpauneasiness2,hpafrustration2,hpadistractedguilt2,hpagoodacc2,hpabadacc2,hpagood2,hpabad2,hpaaverageacc1,hpaaverageacc2,hpaaverage1,hpaaverage2,hpagoodacc,hpabadacc,hpaaverageacc,hpagood,hpabad,hpaaverage,hpanavigation,hpaenjoyment,hpauneasiness,hpafrustration,hpadistractedguilt,spaovercome1,spaoverwhelm1,sparoleful1,spastruggle1,spacomm1,spagoodacc1,spabadacc1,spagood1,spabad1,spaovercome2,spaoverwhelm2,sparoleful2,spastruggle2,spacomm2,spagoodacc2,spabadacc2,spagood2,spabad2,spaaverageacc1,spaaverageacc2,spaaverage1,spaaverage2,spagoodacc,spabadacc,spaaverageacc,spagood,spabad,spaaverage,spaovercome,hpa1comp,rapcomp1,hpa2comp,rapcomp2,speechave1,speechave2,outcome1,outcome2,spersonality,speechave4,speechave3,outcomeave,speechave,hpacompave,rapcompave
1,1,1,1,0,1,19,1,1,3,2,15,4,2,43,11,16,0.194350945,10,18,0.724,-0.422,0.625,0.956,1.225,0.238,0.871,0.271,0.86,-0.01,-0.819,-0.552,0.742,0.37,-0.216,0.298,-0.201,0.467,-0.3165,-0.257,-0.2945,-0.334,0.011,0.5845,-0.28675,0.035,0.6635,-0.31425,0.357,-0.6205,0.0365,0.849,0.7975,0.745,-0.718,0.447,-1.101,-0.024,0.611,-0.816,0.487,-0.797,0.006,-0.515,-0.057,0.364,-0.998,-0.127,-0.337,-0.2,-0.408,0.7135,0.105,0.642,0.104,0.242,-0.5765,0.40925,0.1435,-0.6025,0.373,0.3755,-9.041297783,-4.319048667,-6.165725372,-19.23405949,0.294776259,1.006297837,-13.36034645,-25.39978486,,0.325713367,-0.248186716,-19.38006566,0.650537048,-7.603511578,-11.77655408
2,3,1,0,0,1,19,1,1,3,2,15,5,2,34,14,16,-1.955914825,8,13,-0.875,-0.109,1.399,-0.175,0.919,-0.344,1.337,-0.479,1.245,-0.682,-0.426,0.733,0.45,1.158,-0.513,0.85,-0.552,1.019,-0.8405,-0.6815,-0.862,-0.7855,-0.4285,1.0935,-0.761,-0.5155,1.132,-0.82375,-0.7785,-0.2675,1.066,0.1375,1.0385,0.533,-0.855,0.447,-0.196,0.014,0.388,-0.464,0.226,-0.608,-0.044,-0.289,-0.129,1.847,-0.912,-0.178,0.326,-0.315,0.259,0.426,-0.252,0.417,-0.287,0.105,-0.069,0.087,-0.0445,-0.1745,0.065,0.2445,-15.27299371,-15.46515459,-16.2068858,-29.90493231,-0.486729475,0.006335366,-30.7381483,-46.11181811,,-1.205642325,-0.806032373,-38.42498321,-0.240197055,-15.73993976,-22.68504345
3,5,1,1,0,1,20,0,0,4,3,20,5,3,35,17,12,1.352186359,5,19,-0.166,-1.196,-0.319,-0.674,-0.488,-0.896,-0.514,-0.887,-0.706,-0.253,-0.759,-0.412,-1.122,-1.341,-0.622,-0.624,-0.684,-0.796,-0.191,0.001,-0.0905,0.056,-0.759,-0.569,-0.095,-0.7855,-0.751,-0.01725,-0.2095,-0.9775,-0.3655,-0.898,-0.9145,0.371,0.773,0.407,0.104,0.907,0.519,0.603,0.38,0.459,0.023,1.267,0.215,1.052,0.857,0.188,1.184,0.235,1.212,-0.042,-0.498,-0.0395,-0.4885,0.3535,0.8935,-0.27,0.3075,0.8355,-0.264,0.197,-1.264273975,10.76090903,6.315560305,,0.473256072,0.593583012,9.496635058,,,1.031520501,1.099753948,9.496635058,0.533419542,2.525643165,10.76090903
4,7,1,0,0,1,20,1,1,3,3,20,5,2,48,5,24,0.194350945,12,7,-0.745,-0.232,-0.818,-0.786,-0.488,-0.444,-0.472,-0.413,-0.282,-0.322,-0.819,-0.897,0.866,-0.795,-0.629,-0.37,-0.508,-0.201,0.014,-0.1295,-0.0655,-0.1535,-0.5365,-0.421,-0.05775,-0.4605,-0.2415,-0.1095,-0.5335,-0.5255,-0.8575,0.04,-0.6415,0.883,-0.73,0.831,-0.735,-0.437,0.808,-0.795,0.839,-0.781,0.914,-0.617,0.831,-0.562,-1.046,0.83,-0.675,0.865,-0.575,0.8015,0.7525,0.81,0.72,0.819,-0.735,0.777,0.852,-0.678,0.765,0.8985,4.700834073,-13.70228668,-3.318463402,-11.79805251,-0.588370096,0.70670445,-9.001452608,-15.11651591,,-0.325637497,-0.255974896,-12.05898426,0.059167177,0.691185335,-12.75016959
5,9,1,1,0,1,20,1,1,3,3,20,5,3,49,4,23,-1.790509766,15,14,0.638,0.526,0.795,0.508,1.465,0.726,0.998,0.899,0.966,0.431,0.563,0.747,1.512,2.39,0.646,1.472,0.863,1.742,-0.136,-0.413,-0.0335,-0.4395,0.686,1.235,-0.2745,0.881,1.354,-0.2365,0.5345,0.5445,0.771,1.01,1.9275,0.12,-0.845,0.831,-1.101,-0.387,0.229,-0.811,0.338,-1.045,-0.689,-0.718,0.831,-0.928,-0.241,-0.515,-0.846,-0.233,-0.573,0.52,0.1655,0.6915,0.17,-0.143,-0.8285,0.34275,0.0525,-0.809,0.43075,-0.2845,-2.648842249,5.911006842,-11.46355535,-7.843819859,-0.210132701,-0.476419732,3.262164593,-19.30737521,,1.492071959,0.102686175,-8.022605309,-0.343276217,-7.0561988,-0.966406509
6,11,1,1,0,1,19,1,1,4,2,19,5,3,34,8,8,1.021376241,9,12,1.059,0.986,-1.007,-1.07,-0.488,1.056,-0.981,1.037,-1.132,1.059,0.628,-0.678,-0.818,-0.555,0.877,-0.73,0.891,-0.801,1.0185,0.8035,1.0845,0.846,0.9665,-0.8555,0.911,0.964,-0.9665,0.96525,1.059,0.807,-0.8425,-0.944,-0.5215,0.379,-0.015,0.596,0.297,0.2,0.325,0.188,0.334,-0.042,0.059,0.571,0.599,1.245,0.14,0.153,0.742,0.191,0.68,0.0685,-0.2945,0.188,-0.2445,0.239,0.465,-0.113,0.2625,0.319,-0.02825,0.219,27.46973527,11.92749708,21.82304222,-7.973091227,1.04645971,1.088715473,39.39723236,13.84995099,,0.986395362,0.020570002,26.62359168,1.067587591,24.64638875,1.977202929
7,13,1,1,0,1,19,0,1,5,1,19,5,4,40,5,24,-0.467269292,8,15,-0.02,0.514,0.29,-0.37,-0.488,0.234,-0.011,0.195,-0.203,-0.502,0.297,1.161,0.453,1.463,0.042,1.188,0.038,1.257,0.1225,-0.573,0.199,-0.6095,0.138,0.5885,-0.22525,0.1165,0.527,-0.20525,-0.261,0.4055,0.7255,0.0415,0.4875,-0.097,-0.12,0.639,0.426,0.73,0.306,0.164,0.192,0.02,-0.095,2.139,0.639,0.43,1.345,0.346,1.602,0.239,1.548,0.071,-0.628,0.086,-0.6545,0.326,0.883,-0.2785,0.2155,0.784,-0.28425,-0.096,6.457687159,13.01502454,-13.26950082,3.578442754,-0.182624573,0.415608206,19.4727117,-9.691058065,,0.057923089,0.577553643,4.890826819,0.116491816,-3.40590683,8.296733648
8,15,1,1,0,1,20,1,1,3,2,20,5,3,40,5,18,2.013806596,4,26,-1.909,-0.476,-0.818,-1.106,-1.035,-1.408,-0.868,-1.484,-0.839,-1.641,-0.762,-1.065,-0.766,-1.102,-1.417,-1.016,-1.495,-0.906,-0.27,-0.2005,-0.3225,-0.2945,-1.4125,-0.942,-0.23525,-1.4895,-0.8725,-0.3085,-1.775,-0.619,-0.9415,-0.936,-1.0685,-0.336,-0.353,-0.255,-0.499,-0.481,-0.545,-0.498,-0.442,-0.312,-0.337,0.015,0.129,-0.369,-0.166,-0.435,-0.238,-0.314,0.034,-0.0235,-0.0985,-0.065,-0.174,-0.49,-0.368,-0.061,-0.378,-0.139,-0.1195,-0.3365,-0.963903391,3.401751872,-1.478760325,-4.669316496,0.11670018,0.546004093,2.437848481,-6.148076821,,-0.375791261,-0.473894862,-1.85511417,0.331352136,-1.221331858,-0.633782312
9,17,1,0,0,1,20,0,0,4,2,2,5,3,32,12,8,-0.467269292,3,24,-0.459,0.505,0.283,0.133,0.367,0.068,0.39,0.121,0.298,-0.289,0.218,0.522,0.456,-0.248,0.009,0.44,-0.009,0.429,-0.161,-0.2155,-0.0885,-0.219,0.0385,0.415,-0.18825,0.056,0.3635,-0.15375,-0.374,0.3615,0.4025,0.2945,0.0595,-1.139,1.452,0.831,-0.196,-0.805,-0.737,0.676,-0.731,0.949,-1.457,0.545,-0.447,0.557,-0.828,-1.418,0.357,-1.59,0.458,-0.7065,-0.8875,-0.84,-1.024,-1.0775,0.5165,-0.797,-1.1605,0.7035,-0.932,-1.298,-1.510967189,23.0659203,-3.753985477,4.885737393,1.380488781,1.195901106,21.55495311,1.131751916,,1.849186059,1.916757379,11.34335252,1.288194943,-2.632476333,13.97582885
10,19,1,1,0,1,18,0,1,3,1,18,5,3,46,4,16,1.352186359,8,22,-0.431,-0.387,0.713,0.707,0.538,-0.422,0.529,-0.445,0.417,0.065,-0.354,0.26,0.65,0.845,-0.157,0.321,-0.136,0.289,-0.4755,-0.239,-0.431,-0.2125,-0.2895,0.425,-0.35725,-0.2905,0.353,-0.32175,-0.183,-0.3705,0.4865,0.6785,0.6915,0.307,0.235,0.599,0.187,0.16,0.451,0.305,0.539,0.161,0.622,0.11,0.599,0.489,0.445,0.594,0.321,0.582,0.177,0.073,0.1365,0.189,0.2025,0.5225,0.313,0.10475,0.5605,0.169,0.19575,0.4645,-13.52258213,-11.83660077,-8.241488023,-18.43649724,-0.377330185,-0.289854734,-25.3591829,-26.67798527,,-1.348215683,-1.292693282,-26.01858408,-0.33359246,-10.88203508,-15.13654901
11,21,1,0,0,1,19,1,1,3,2,19,5,2,33,11,8,1.1867813,15,9,-0.894,-1.34,-0.483,-0.766,-0.248,-1.333,-0.667,-1.397,-0.759,-1.623,-1.75,-0.412,-0.603,0.059,-1.902,-0.624,-1.935,-0.615,-0.333,-0.639,-0.319,-0.66,-1.6175,-0.6455,-0.486,-1.666,-0.687,-0.4895,-1.2585,-1.545,-0.4475,-0.6845,-0.0945,-0.177,0.377,-0.103,0.277,-0.136,-0.084,0.254,-0.144,0.359,-0.264,0.852,-0.335,0.277,-0.21,-0.185,0.539,-0.323,0.644,-0.169,-0.362,-0.2515,-0.4835,-0.1345,0.3965,-0.2655,-0.2335,0.5015,-0.3675,-0.2205,-6.275236626,-15.9990389,-15.74072135,-29.24277997,-0.49622217,-1.237478565,-22.27427553,-44.98350132,,-0.933843331,-0.886453404,-33.62888842,-0.866850368,-11.00797899,-22.62090944
12,23,1,1,0,1,20,1,1,3,3,20,5,2,36,17,15,0.194350945,12,10,0.275,0.486,0.528,-0.191,-0.795,0.314,0.057,0.288,-0.035,0.186,0.537,0.871,0.059,-0.248,0.456,0.604,0.391,0.512,0.1285,-0.074,0.1615,-0.0605,0.385,0.3305,0.02725,0.3395,0.2385,0.0505,0.2305,0.5115,0.6995,-0.066,-0.5215,0.477,-0.131,0.321,-0.282,-0.359,0.334,-0.3,0.344,-0.286,-0.662,-0.969,0.089,0.816,-0.608,-0.392,-0.391,-0.442,-0.2,0.317,-0.0005,0.315,-0.121,-0.029,-0.3455,0.15825,-0.049,-0.243,0.097,-0.0925,6.252391597,11.06243159,1.00965385,-9.71676513,0.607515049,0.175572494,17.31482319,-8.707111281,,0.879900664,0.204589955,4.303855952,0.391543772,3.631022724,0.672833229
13,25,1,1,0,1,20,1,1,4,2,20,5,2,41,5,16,-0.301864233,6,22,0.221,0.034,-0.404,0.131,-0.795,0.011,-0.332,0.055,-0.243,0.508,-0.087,-0.27,1.101,0.059,0.144,-0.01,0.215,0.059,0.1715,0.077,0.149,0.078,0.0775,-0.171,0.12425,0.135,-0.092,0.1135,0.3645,-0.0265,-0.337,0.616,-0.368,-0.091,0.248,-0.573,-0.715,0.358,-0.449,0.042,-0.511,0.07,-0.334,-0.73,-0.103,-0.908,-0.253,-0.345,-0.684,-0.268,-0.746,-0.2455,0.1695,-0.2905,0.239,-0.397,-0.321,-0.038,-0.3895,-0.338,-0.02575,-0.2125,6.803164433,4.2669728,-0.098401542,-12.13586409,-0.383099165,0.099308192,11.07013723,-12.23426563,,-0.737289397,0.211095436,-0.582064198,-0.141895486,3.352381445,-3.934445644
14,27,1,1,0,1,21,0,1,4,4,21,5,3,36,10,17,-1.128889529,19,9,-0.303,0.267,0.292,-0.263,0.538,-0.08,-0.127,-0.051,-0.138,-0.06,-0.089,-0.295,0.326,-0.008,-0.087,-0.021,-0.055,0.068,0.0235,-0.033,0.0435,-0.0615,-0.0835,-0.074,-0.00475,-0.053,-0.035,-0.009,-0.1815,0.089,-0.0015,0.0315,0.265,-0.316,-0.969,0.367,-1.101,-0.244,-0.071,-0.966,-0.07,-0.861,-1.136,-0.337,0.447,0.619,-0.795,-0.833,-0.153,-0.778,-0.052,0.4475,-0.34,0.3955,-0.363,-0.452,-0.5595,0.05375,-0.424,-0.4565,0.01625,-0.726,-0.988844692,0.819658969,0.088521942,-8.977235206,0.131918673,0.652251015,-0.169185723,-8.888713264,,1.265676546,1.214631305,-4.528949494,0.392084844,-0.450161375,-4.078788118
15,29,1,1,0,1,19,1,1,4,2,19,5,2,48,10,15,0.525161063,13,16,-0.414,-0.231,1.361,0.241,-0.008,-0.282,0.76,-0.344,0.649,-0.068,0.21,0.98,0.366,-0.248,0.161,0.594,0.115,0.482,-0.521,-0.2165,-0.4965,-0.1835,-0.0605,0.677,-0.36875,-0.1145,0.5655,-0.34,-0.241,-0.0105,1.1705,0.3035,-0.128,0.107,0.258,-0.568,1.611,0.032,-0.041,0.665,0.022,0.602,-0.7,0.128,-0.527,1.438,-0.245,-0.662,0.453,-0.582,0.558,-0.353,-0.5575,-0.29,-0.57,-0.3515,0.559,-0.45525,-0.28,0.58,-0.43,-0.2965,-12.29489743,-4.019679793,-4.682847008,-3.306867739,-0.502892397,-1.141779918,-16.31457722,-7.989714746,,-1.046910755,-0.801840343,-12.15214598,-0.822336158,-8.488872217,-3.663273766
16,31,1,1,0,1,19,1,1,3,2,19,5,3,40,6,24,-0.301864233,10,12,0.96,1.012,-0.848,-1.608,-1.341,0.969,-0.886,0.932,-0.937,1.059,1.422,-1.174,-1.429,-1.035,1.273,-1.081,1.292,-1.132,0.9275,1.177,0.9345,1.212,1.121,-0.9835,1.05225,1.112,-1.0345,1.07325,1.0095,1.217,-1.011,-1.5185,-1.188,0.578,-0.742,0.639,0.557,1.187,0.827,-0.17,0.738,-0.228,0.71,-0.969,0.831,0.171,1.35,0.976,-0.34,1.157,-0.48,0.4985,0.658,0.483,0.8185,0.9015,-0.255,0.57825,0.9475,-0.354,0.65075,0.644,31.01683201,26.26835786,34.70427073,33.01380771,0.749068677,0.76112842,57.28518987,67.71807844,,1.072282889,0.013110771,62.50163416,0.755098549,32.86055137,29.64108278
17,33,1,1,0,1,18,1,1,3,1,18,5,2,42,9,27,-1.294294588,13,13,0.853,-0.038,-0.669,-0.763,-0.488,0.441,-0.778,0.32,-0.85,0.754,0.336,-1.174,0.259,-0.421,0.528,-0.894,0.543,-0.704,0.6095,0.711,0.585,0.6235,0.4845,-0.836,0.66025,0.4315,-0.777,0.60425,0.8035,0.149,-0.9215,-0.252,-0.4545,1.161,-0.009,0.831,-1.101,1.251,1.029,-0.228,1.093,-0.2,1.305,-0.37,0.831,-1.101,1.522,1.159,-0.362,1.187,-0.416,0.6285,0.7605,0.6465,0.8015,1.094,-0.295,0.6945,1.14,-0.308,0.724,1.233,15.716339,18.61517367,15.49204499,15.59310454,0.248304605,-0.274725198,34.33151267,31.08514953,,1.81529247,0.989619964,32.7083311,-0.013210297,15.60419199,17.1041391
18,35,1,1,0,1,19,1,1,5,2,19,5,3,44,7,21,-1.128889529,11,16,0.857,0.317,0.508,-0.782,-1.035,0.57,-0.072,0.592,-0.164,0.552,-0.586,0.309,-0.034,-1.035,-0.084,-0.083,-0.051,0.086,0.321,-0.0005,0.378,-0.0685,0.243,-0.0775,0.16025,0.2705,-0.039,0.15475,0.7045,-0.1345,0.4085,-0.408,-1.035,0.859,-0.73,0.639,-0.562,0.316,0.719,-0.58,0.671,-0.643,0.373,0.703,0.447,1.202,0.258,0.229,0.891,0.218,0.832,0.6495,-0.331,0.657,-0.307,0.474,0.1555,0.15925,0.4445,0.0945,0.175,0.616,12.83669146,9.798753739,1.651718289,-15.60587955,0.193558715,0.464156479,22.6354452,-13.95416126,,-0.586435146,-0.365658713,4.34064197,0.328857597,7.244204875,-2.903562906
19,37,1,1,0,1,18,0,1,3,1,18,5,4,32,8,14,-0.632674351,7,24,0.341,0.765,-0.036,-0.926,-0.181,0.487,-0.399,0.49,-0.57,0.543,0.24,0.122,0.114,1.463,0.432,0.373,0.551,0.302,0.443,0.0295,0.53,0.1245,0.4595,-0.013,0.23625,0.5205,-0.134,0.32725,0.442,0.5025,0.043,-0.406,0.641,-0.207,0.74,-0.339,-0.369,0.381,-0.222,0.36,-0.247,0.383,-0.156,0.985,-0.335,0.364,1.097,-0.174,0.808,-0.262,0.836,-0.291,-0.491,-0.315,-0.549,-0.198,0.584,-0.391,-0.2545,0.6095,-0.432,-0.1815,14.03253046,10.32626391,0.494111457,-6.478635297,0.626462811,0.577404141,24.35879437,-5.984523841,,1.371685629,1.34367828,9.187135263,0.601933476,7.263320957,1.923814306
20,39,1,1,0,1,19,0,1,5,2,19,5,3,41,11,24,-1.625104707,18,19,-0.612,-0.995,0.721,-0.553,-0.555,-0.862,0.314,-0.843,0.504,-0.451,-0.937,-0.058,-0.515,-0.795,-0.703,0.026,-0.652,-0.046,-0.588,-0.3645,-0.6735,-0.303,-0.7825,0.17,-0.47625,-0.7475,0.229,-0.48825,-0.5315,-0.966,0.3315,-0.534,-0.675,-0.153,-0.47,-1.27,0.104,-0.202,-0.378,-0.387,-0.306,-0.115,0.036,-0.718,0.135,-0.735,-0.462,0.219,-0.788,0.39,-0.859,0.0045,0.5035,-0.0955,0.6245,-0.0795,-0.5875,0.254,0.042,-0.487,0.2645,-0.0585,-10.37163898,-7.497510871,-3.488112362,-12.08834146,-0.364060119,-1.157569056,-17.86914985,-15.57645383,,-1.001957107,-1.064672912,-16.72280184,-0.760814587,-6.929875672,-9.792926168
21,41,1,1,0,1,19,1,1,3,1,19,5,2,40,10,18,0.028945885,9,14,0.232,0.39,-0.009,-0.603,0.128,0.294,-0.29,0.207,-0.381,0.124,-0.231,0.32,0.366,0.676,-0.017,0.308,-0.093,0.297,0.292,-0.1625,0.294,-0.195,0.1385,0.009,0.06475,0.057,-0.042,0.0495,0.178,0.0795,0.1555,-0.1185,0.402,1.274,-0.855,0.831,-0.928,-0.33,1.22,-0.928,1.196,-0.827,0.419,-0.255,0.831,-0.002,0.591,0.708,-0.127,0.845,-0.018,1.074,0.4175,1.0115,0.4315,0.964,-0.5275,0.74575,1.0205,-0.4225,0.7215,0.8465,8.311719678,11.14120625,-5.079198421,-8.124005084,-0.411448326,-0.955019039,19.45292593,-13.2032035,,-0.172192772,0.122470594,3.124861213,-0.683233683,1.616260628,1.508600584
22,43,1,0,0,1,18,1,1,3,1,18,5,2,28,12,13,0.359756004,7,11,0.42,1.003,1.171,0.51,-0.115,0.745,0.558,0.612,0.527,0.436,-0.179,0.778,1.46,0.605,0.223,0.844,0.37,0.913,0.0935,-0.3105,0.0425,-0.2715,0.484,0.701,-0.1085,0.491,0.72,-0.1145,0.428,0.412,0.9745,0.985,0.245,-0.65,0.485,-1.862,0.686,0.116,-0.98,0.605,-0.892,0.547,-1.095,1.006,-1.785,0.899,-0.379,-1.475,0.981,-1.469,0.923,-0.7925,-1.228,-0.7195,-1.196,-1.2275,0.793,-1.01025,-1.1805,0.735,-0.95775,-0.8725,2.031758219,-2.383953376,-11.36197401,-25.71945295,0.190356343,0.722181999,-0.352195157,-37.08142695,,0.190948299,0.01528689,-18.71681105,0.456269171,-4.665107893,-14.05170316
23,45,1,1,0,1,21,1,1,3,4,21,5,1,40,8,15,-0.96348447,19,4,0.223,0.24,0.607,0.257,0.059,0.318,0.233,0.302,0.221,0.043,-1.011,0.871,0.939,1.154,-0.5,0.597,-0.532,0.665,0.0425,-0.5485,0.0405,-0.5985,-0.091,0.415,-0.253,-0.115,0.443,-0.279,0.133,-0.3855,0.739,0.598,0.6065,1.055,0.393,-0.098,-1.101,1.359,0.981,0.014,0.979,0.042,0.894,0.63,0.367,0.041,1.173,0.987,0.58,0.925,0.44,0.4835,0.2035,0.4685,0.2425,0.984,0.297,0.3435,0.952,0.241,0.3555,0.9745,-0.652737581,-16.29321159,-18.58390241,-30.97675186,0.248994381,-0.163034731,-16.94594917,-49.56065428,,-0.774559916,-0.083050768,-33.25330172,0.042979825,-9.618319996,-23.63498173
24,47,1,1,0,1,18,1,0,5,2,8,5,4,45,6,18,0.690566122,13,11,0.16,0.153,-0.039,0.992,-0.008,0.247,0.216,0.214,0.285,-0.001,0.631,-0.319,1.154,0.61,0.352,0.15,0.212,0.118,0.0155,0.101,-0.0355,0.047,0.2995,0.183,0.05825,0.213,0.2015,0.00575,0.0795,0.392,-0.179,1.073,0.301,0.436,1.736,-0.335,0.6,1,0.221,1.329,0.21,1.357,-0.12,1.997,-0.295,1.911,0.583,-0.132,1.879,-0.08,1.821,-0.554,-1.0055,-0.5735,-0.9505,0.0445,1.604,-0.77975,0.065,1.589,-0.762,0.158,-1.404115623,1.994279895,0.287505413,-7.169127032,1.194784639,1.11098731,0.590164272,-6.881621619,,-0.276601725,-0.104660958,-3.145728673,1.152885975,-0.558305105,-2.587423568
25,49,1,1,0,1,18,1,1,3,1,18,5,2,41,6,13,0.525161063,19,11,0.029,0.025,-0.669,-0.763,-0.555,-0.039,-0.778,-0.124,-0.749,0.232,-0.231,-0.977,-0.924,-0.008,-0.017,-0.963,-0.218,-1.014,0.3695,0.473,0.3125,0.398,-0.028,-0.8705,0.42125,-0.171,-0.8815,0.35525,0.1305,-0.103,-0.823,-0.8435,-0.2815,0.386,0.629,-0.103,0.45,0.018,0.208,0.62,0.193,0.476,-0.816,-0.011,-1.189,1.009,0.204,-1.011,0.323,-0.986,0.346,-0.206,-0.667,-0.1415,-0.666,-0.4015,0.4715,-0.4365,-0.3965,0.411,-0.40375,-0.215,10.63977898,3.318548707,11.53399735,0.851140179,-0.199873829,-0.293585035,13.95832768,12.38513753,,0.043425421,-0.428181557,13.17173261,-0.246729432,11.08688816,2.084844443
26,51,1,1,0,1,20,0,1,3,1,20,5,2,44,11,25,-1.459699648,11,24,-0.074,-0.266,0.833,0.256,-0.488,-0.233,0.539,-0.167,0.528,-0.28,-1.214,0.35,-0.193,-1.102,-0.863,0.291,-0.84,0.299,-0.386,-0.577,-0.3475,-0.5695,-0.548,0.415,-0.4815,-0.5035,0.4135,-0.4585,-0.177,-0.74,0.5915,0.0315,-0.795,0.983,-0.21,-0.063,0.537,0.572,0.608,0.143,0.54,0.171,0.316,0.559,0.639,1.198,0.951,0.419,0.885,0.379,0.831,0.2325,-0.233,0.1845,-0.226,0.5135,0.514,-0.00025,0.4595,0.501,-0.02075,0.6495,-6.081922212,-3.020774639,-7.203529589,-21.68424772,0.087416639,0.326962616,-9.102696851,-28.88777731,,0.593377236,0.737168747,-18.99523708,0.207189628,-6.6427259,-12.35251118
27,53,1,1,0,1,20,1,1,4,3,20,5,2,35,11,23,-1.128889529,9,21,-0.805,-0.121,1.31,0.205,0.849,-0.414,1.066,-0.383,1.034,-0.917,-1.005,0.734,0.261,0.234,-1.069,0.826,-1.026,0.755,-0.74,-0.9475,-0.7085,-0.8905,-0.7415,0.946,-0.84375,-0.7045,0.8945,-0.7995,-0.861,-0.563,1.022,0.233,0.5415,-0.581,1.256,-2.442,0.297,0.096,-1.223,0.869,-1.298,0.892,-0.901,0.016,-1.74,0.32,0.041,-1.152,0.051,-1.154,0.156,-1.046,-0.6015,-1.095,-0.655,-1.1875,0.46,-0.82375,-1.226,0.524,-0.875,-0.741,-16.17863849,-15.61966569,-17.99631159,-25.041683,-1.701305966,-1.681276738,-31.79830418,-43.03799459,,-0.593520454,-1.24690254,-37.41814938,-1.691291352,-17.08747504,-20.33067434
28,55,1,1,0,1,19,1,1,3,2,19,5,4,46,1,22,0.359756004,13,13,0.405,-0.556,-1.068,-0.603,0.845,-0.142,-1.017,-0.119,-0.908,0.047,-1.249,-0.641,0.665,0.845,-0.667,-0.125,-0.669,0.145,0.4375,-0.271,0.3945,-0.407,-0.4045,-0.571,0.08325,-0.394,-0.3815,-0.00625,0.226,-0.9025,-0.8545,0.031,0.845,1.351,-0.843,0.831,-0.692,-1.135,1.115,-0.85,1.074,-0.922,-1.173,-0.593,-0.447,0.018,-1.115,-0.976,-0.487,-1.062,-0.387,0.9825,-0.2445,0.998,-0.3375,0.0695,-0.6685,0.369,0.006,-0.6545,0.33025,0.089,6.583943291,16.55014125,-9.335474516,-27.41852444,0.235933411,0.184652697,23.13408454,-36.75399895,,-0.073809578,-0.629054006,-6.809957204,0.210293054,-1.375765612,-5.434191591
29,57,1,1,0,1,19,1,1,3,1,19,5,2,29,10,14,-2.286724944,12,7,-1.037,-1.025,0.356,0.076,-0.008,-0.986,0.241,-1.045,0.31,-1.959,-1.572,-0.335,-0.103,-0.248,-1.82,-0.012,-1.84,0.178,-0.6135,-0.904,-0.6775,-1.009,-1.403,0.1145,-0.75875,-1.4425,0.244,-0.84325,-1.498,-1.2985,0.0105,-0.0135,-0.128,-1.093,-0.257,-2.444,-0.216,0.66,-1.319,-0.192,-1.287,-0.083,-1.361,-0.363,-2.44,-0.152,0.316,-1.476,-0.319,-1.529,-0.128,-0.5635,-0.5785,-0.602,-0.7005,-1.3975,-0.2555,-0.571,-1.408,-0.1055,-0.65125,-1.227,-15.36126088,-13.26546932,-19.35525397,-21.70713089,-0.575830704,-1.380851386,-28.6267302,-41.06238486,,0.461100516,1.078710592,-34.84455753,-0.978341045,-17.35825743,-17.4863001
30,59,2,1,0,3,26,1,1,3,4,26,5,3,31,6,16,-0.798079411,9,12,1.059,1.609,-0.478,-0.603,-0.421,1.367,-0.664,1.338,-0.655,0.952,1.346,-0.786,-0.081,-0.421,1.235,-0.432,1.185,-0.403,1.0155,0.8335,0.9965,0.794,1.301,-0.548,0.9245,1.2615,-0.529,0.89525,1.0055,1.4775,-0.632,-0.342,-0.421,0.443,-0.73,0.089,-1.101,-0.313,0.392,-0.823,0.534,-0.718,-0.356,-0.969,-0.103,-1.101,-1.192,-0.389,-0.966,-0.206,-1.033,0.6075,0.2885,0.626,0.4135,0.0015,-0.8945,0.448,0.164,-0.8755,0.51975,0.0435,26.25531227,21.64304488,22.91783142,13.44513211,0.492950916,1.044316175,47.89835714,36.36296352,-0.158662289,0.149597306,0.303377786,42.13066033,0.768633545,24.58657184,17.54408849
