hdyad,hawkid,hterm,htechint,hcond,hprocadd,hage,hsex,hengspeak,hethnic,hyearosu,hyearsus,hkeyexp,hxboxexp,hhogan,hboredom,hsdesirability,shogan,sboredom,ssdesirability,hpanavigation1,hpaenjoyment1,hpauneasiness1,hpafrustration1,hpadistractedguilt1,hpagoodacc1,hpabadacc1,hpagood1,hpabad1,hpanavigation2,hpaenjoyment2,hpauneasiness2,hpafrustration2,hpadistractedguilt2,hpagoodacc2,hpabadacc2,hpagood2,hpabad2,hpaaverageacc1,hpaaverageacc2,hpaaverage1,hpaaverage2,hpagoodacc,hpabadacc,hpaaverageacc,hpagood,hpabad,hpaaverage,hpanavigation,hpaenjoyment,hpauneasiness,hpafrustration,hpadistractedguilt,spaovercome1,spaoverwhelm1,sparoleful1,spastruggle1,spacomm1,spagoodacc1,spabadacc1,spagood1,spabad1,spaovercome2,spaoverwhelm2,sparoleful2,spastruggle2,spacomm2,spagoodacc2,spabadacc2,spagood2,spabad2,spaaverageacc1,spaaverageacc2,spaaverage1,spaaverage2,spagoodacc,spabadacc,spaaverageacc,spagood,spabad,spaaverage,spaovercome,hpa1comp,rapcomp1,hpa2comp,rapcomp2,speechave1,speechave2,outcome1,outcome2,spersonality,speechave4,speechave3,outcomeave,speechave,hpacompave,rapcompave
68,135,2,1,0,6,19,1,1,3,1,19,5,3,47,3,25,-0.136459174,9,10,0.835,0.121,1.338,-0.443,-0.246,0.461,0.519,0.527,0.608,0.208,-0.347,0.81,0.418,0.234,-0.082,0.456,0.014,0.625,-0.029,-0.269,-0.0405,-0.3055,0.1895,0.4875,-0.149,0.2705,0.6165,-0.173,0.5215,-0.113,1.074,-0.0125,-0.006,0.278,0.989,0.599,0.47,0.764,0.292,0.761,0.231,0.871,-0.163,0.223,0.831,1.611,-0.484,-0.178,0.481,-0.085,0.753,-0.2345,-0.3295,-0.32,-0.419,0.057,0.621,-0.282,0.073,0.812,-0.3695,0.0575,2.174350886,9.244523124,-7.603639589,-14.45077348,-1.095201197,-0.735470731,11.41887401,-22.05441307,-2.130169702,-1.533241676,-1.678741317,-5.317769529,-0.915335964,-2.714644351,-2.603125178
69,137,2,1,0,6,20,1,1,3,3,20,5,2,32,11,16,1.1867813,6,16,-0.189,-0.45,-0.462,-0.227,-0.728,-0.229,-0.396,-0.216,-0.206,-1.463,-0.883,0.714,1.008,1.463,-1.227,0.928,-1.148,1.098,0.0835,-1.0775,-0.005,-1.123,-0.728,0.266,-0.497,-0.682,0.446,-0.564,-0.826,-0.6665,0.126,0.3905,0.3675,1.007,-0.59,0.831,-1.101,0.168,1.067,-0.739,1.019,-0.892,0.514,-0.969,0.831,-0.562,0.549,0.737,-0.642,0.817,-0.7,0.903,0.6895,0.9555,0.7585,0.902,-0.6905,0.79625,0.918,-0.796,0.857,0.7605,2.780374731,-14.33331601,-27.79808818,-21.39331066,-0.253907565,-0.45870643,-11.55294128,-49.19139883,2.636391545,-0.409036827,0.516321513,-30.37217005,-0.356306998,-12.50885672,-17.86331333
70,139,2,1,0,6,19,1,1,3,3,19,5,2,41,12,15,2.510021774,2,23,-0.924,-0.334,-0.127,-0.44,-0.795,-0.745,-0.453,-0.764,-0.444,-1.304,-0.443,-0.643,-0.422,-1.035,-0.936,-0.517,-0.924,-0.488,-0.146,-0.2095,-0.16,-0.218,-0.8405,-0.485,-0.17775,-0.844,-0.466,-0.189,-1.114,-0.3885,-0.385,-0.431,-0.915,1.215,-0.378,0.599,-0.715,-1.188,1.001,-0.496,1.003,-0.649,1.026,-0.73,0.831,-0.562,-1.527,0.927,-0.743,0.978,-0.815,0.7485,0.835,0.826,0.8965,0.964,-0.6195,0.79175,0.9905,-0.732,0.86125,1.1205,-1.836754167,0.730404028,-1.411208285,-16.95791793,0.275278276,0.121992899,-1.106350139,-18.36912621,2.136697491,0.433882069,0.889522406,-9.737738175,0.198635588,-1.623981226,-8.113756949
71,141,2,1,0,6,19,1,1,3,1,19,5,2,36,3,14,0.855971181,6,16,0.845,-0.18,0.325,1.334,0.059,0.473,0.435,0.482,0.604,0.535,-0.792,0.114,1.675,-0.421,0.012,0.479,-0.055,0.447,0.019,-0.2335,-0.061,-0.251,0.2425,0.457,-0.10725,0.2135,0.5255,-0.156,0.69,-0.486,0.2195,1.5045,-0.181,0.165,-0.714,0.831,-1.101,-0.184,0.295,-0.732,0.356,-0.794,-0.816,0.062,0.639,-0.176,-0.598,-0.611,-0.071,-0.526,-0.052,0.5135,-0.27,0.575,-0.237,-0.158,-0.4015,0.12175,-0.085,-0.423,0.169,-0.3255,-3.501389015,-8.325297783,-8.2779758,-27.88610896,0.749550034,0.213229015,-11.8266868,-36.16408476,1.900484865,0.745045692,0.965723235,-23.99538578,0.481389525,-5.889682408,-18.10570337
72,143,2,1,0,6,18,1,1,4,1,18,4,3,36,11,14,0.855971181,7,12,-0.354,0.512,1.211,0.132,0.983,0.169,0.793,0.061,0.681,-0.086,0.396,0.982,0.778,0.674,0.245,0.805,0.275,0.894,-0.312,-0.28,-0.31,-0.3095,0.207,0.799,-0.296,0.168,0.7875,-0.30975,-0.22,0.454,1.0965,0.455,0.8285,0.134,-0.477,-0.103,-0.499,0.381,0.088,-0.409,0.054,-0.386,0.291,0.139,-0.172,0.407,0.45,0.153,0.314,0.129,0.084,0.2485,-0.0805,0.22,0.0225,0.1205,-0.0475,0.084,0.0915,-0.151,0.12125,0.2125,-7.978334471,3.485105671,-8.233066257,1.344738968,0.329415173,0.026576101,-4.4932288,-6.888327289,2.913226268,0.495400951,-0.253387826,-5.690778044,0.177995637,-8.105700364,2.41492232
73,145,2,1,0,6,20,1,1,3,2,20,5,2,42,15,16,-0.301864233,8,11,0.455,-0.59,0.805,-0.208,1.054,-0.031,0.839,-0.047,0.747,0.086,-0.661,0.526,0.672,1.227,-0.242,1.001,-0.115,0.909,-0.435,-0.6215,-0.397,-0.512,-0.1365,0.92,-0.52825,-0.081,0.828,-0.4545,0.2705,-0.6255,0.6655,0.232,1.1405,0.269,-0.607,0.407,-0.908,-0.372,0.359,-0.691,0.373,-0.758,-0.28,-0.477,0.172,-0.908,-0.8,-0.151,-0.613,-0.04,-0.68,0.525,0.231,0.5655,0.32,0.104,-0.652,0.378,0.1665,-0.719,0.44275,-0.0055,-6.601792682,-6.434597657,-13.03209981,-8.974675009,-0.228153885,-1.129887675,-13.03639034,-22.00677482,0.945197731,0.168200397,-0.406176223,-17.52158258,-0.67902078,-9.816946246,-7.704636333
74,147,2,1,0,6,20,1,1,3,2,20,5,2,39,7,9,0.194350945,5,22,0.499,0.898,0.786,-0.104,-1.032,0.789,0.571,0.847,0.379,-0.024,0.033,0.021,0.4,1.225,0.095,0.468,0.163,0.477,0.109,-0.1865,0.234,-0.157,0.442,0.5195,-0.03875,0.505,0.428,0.0385,0.2375,0.4655,0.4035,0.148,0.0965,-0.518,0.252,-0.106,0.427,-0.185,-0.522,0.306,-0.481,0.243,-1.042,0.24,-0.106,1.009,-0.657,-0.77,0.392,-0.766,0.325,-0.414,-0.581,-0.362,-0.5455,-0.646,0.349,-0.4975,-0.6235,0.284,-0.45375,-0.78,9.544576965,4.666267592,-4.421076533,-20.87748458,1.042846066,0.214010143,14.21084456,-25.29856111,0.023574943,-0.36265887,-0.338780428,-5.543858276,0.628428104,2.561750216,-8.105608492
75,149,2,1,0,6,19,1,1,3,2,19,5,2,44,8,16,2.179211655,5,16,0.732,0.71,-0.76,-0.747,-1.035,0.704,-0.833,0.685,-0.904,-0.235,-0.26,-0.59,0.385,-0.421,-0.364,-0.498,-0.445,-0.59,0.7685,0.067,0.7945,0.0725,0.17,-0.6655,0.41775,0.12,-0.747,0.4335,0.2485,0.225,-0.675,-0.181,-0.728,0.445,-0.455,0.831,-0.735,0.233,0.676,-0.386,0.744,-0.53,0.368,-0.335,0.831,-0.305,0.204,0.671,-0.185,0.741,-0.415,0.531,0.428,0.637,0.578,0.6735,-0.2855,0.4795,0.7425,-0.4725,0.6075,0.4065,21.95546867,12.59757265,1.273112218,-6.959057155,0.199147407,-0.45237936,34.55304132,-5.685944937,3.223725338,0.54461747,-0.647310616,14.43354819,-0.126615977,11.61429044,2.81925775
76,151,2,0,0,6,20,1,0,4,2,4,5,2,37.16129032,5,25,-0.96348447,7,9,0.658,0.782,0.091,0.188,0.059,0.604,-0.098,0.622,-0.19,0.555,-0.493,-0.296,1.371,-0.248,-0.081,0.095,0.131,0.264,0.351,-0.088,0.406,-0.0665,0.2615,-0.0015,0.1315,0.3765,0.037,0.16975,0.6065,0.1445,-0.1025,0.7795,-0.0945,0.328,0.859,-0.295,0.021,0.209,0.222,0.548,0.274,0.485,-0.994,0.729,-1.273,1.009,0.424,-0.963,0.685,-0.989,0.876,-0.163,-0.824,-0.1055,-0.9325,-0.3705,0.6165,-0.4935,-0.3575,0.6805,-0.519,-0.333,8.9041009,23.71406834,-3.283634404,-6.257527778,-0.418564656,-0.529166044,32.61816924,-9.541162181,0.081029213,1.375855529,0.01772212,11.53850353,-0.47386535,2.810233248,8.728270282
77,153,2,1,0,6,22,1,1,3,4,22,5,2,44,8,16,0.359756004,6,16,0.194,-0.084,1.01,0.487,0.985,-0.008,1.049,0.033,1.117,-0.414,-0.782,0.731,0.506,0.849,-0.553,0.939,-0.478,0.927,-0.5285,-0.746,-0.542,-0.7025,-0.2805,0.994,-0.63725,-0.2225,1.022,-0.62225,-0.11,-0.433,0.8705,0.4965,0.917,0.531,-0.127,0.367,-1.101,0.209,0.562,-0.38,0.549,-0.442,0.293,-0.59,0.367,-0.908,-0.012,0.375,-0.6,0.331,-0.576,0.471,0.4875,0.4955,0.4535,0.4685,-0.49,0.47925,0.44,-0.509,0.4745,0.412,-9.482897999,-3.553148249,-16.48616012,-13.78300783,0.373437658,-0.243966026,-13.03604625,-30.26916795,-0.013568278,0.376380788,1.295820719,-21.6526071,0.064735816,-12.98452906,-8.668078042
78,155,2,1,0,6,19,1,1,3,2,19,4,3,38,4,24,-0.467269292,8,10,0.791,1.248,-0.585,-0.818,0.298,1.053,-0.674,1.034,-0.745,0.033,-0.5,-0.448,0.938,1.463,-0.3,-0.111,-0.303,0.159,0.8635,-0.0945,0.8895,-0.231,0.3765,-0.3925,0.3845,0.3655,-0.293,0.32925,0.412,0.374,-0.5165,0.06,0.8805,0.239,-0.843,-0.527,-1.101,-0.007,0.021,-0.81,-0.021,-0.872,-0.033,-0.969,-0.719,-0.562,-0.327,-0.278,-0.723,-0.312,-0.786,0.4155,0.2225,0.4255,0.237,-0.1285,-0.7665,0.319,-0.1665,-0.829,0.33125,0.103,21.39501846,18.09580647,-8.050896036,-8.668638021,0.627930357,-0.204623792,39.49082493,-16.71953406,-0.638045294,-0.568088121,-0.707286323,11.38564544,0.211653282,6.672061214,4.713584222
79,157,2,1,0,6,18,1,1,3,1,18,5,2,42,8,18,-0.467269292,8,19,-0.708,-0.251,1.301,-0.141,-0.488,-0.389,0.957,-0.402,0.946,-1.063,0.209,0.808,0.683,-0.795,-0.432,0.799,-0.466,0.868,-0.673,-0.6155,-0.674,-0.667,-0.4105,0.878,-0.64425,-0.434,0.907,-0.6705,-0.8855,-0.021,1.0545,0.271,-0.6415,0.033,0.763,-0.568,0.32,0.72,-0.105,0.662,-0.109,0.604,0.216,0.514,-0.805,0.513,-0.417,-0.114,0.407,-0.182,0.426,-0.3835,-0.2605,-0.3565,-0.304,-0.1095,0.5345,-0.322,-0.1455,0.515,-0.33025,0.1245,-10.80729473,-7.565035466,-10.55136039,-17.05407318,-1.895995318,-0.897144119,-18.3723302,-27.60543356,-1.650786697,-0.645421233,-0.868493698,-22.98888188,-1.396569719,-10.67932756,-12.30955432
80,159,2,1,0,6,18,1,1,3,1,18,5,2,30,18,3,0.028945885,16,18,-0.436,0.51,1.232,-0.248,0.607,0.024,0.7,-0.112,0.789,0.017,-0.198,0.577,-0.514,0.847,0,0.49,-0.011,0.44,-0.338,-0.245,-0.4505,-0.2255,0.012,0.595,-0.2915,-0.0615,0.6145,-0.338,-0.2095,0.156,0.9045,-0.381,0.727,-0.325,0.028,-0.063,0.493,0.153,-0.206,0.109,-0.286,0.129,-0.815,-0.855,-0.805,1.288,0.149,-0.752,-0.182,-0.742,-0.077,-0.1575,-0.285,-0.2075,-0.3325,-0.479,-0.0365,-0.22125,-0.514,0.026,-0.27,-0.57,-6.233296139,-4.270010796,-3.761925372,-6.541001559,0.032085913,-0.227742232,-10.50330693,-10.30292693,-1.559668081,-0.581760312,-0.00609644,-10.40311693,-0.09782816,-4.997610756,-5.405506178
