"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time","S_Around_Per_Total","S_Monitor_Per_Total","S_Keyboard_Per_Total","S_Face_Per_Total","S_CompOnly_Per_Total","S_NoFace_Per_Total","S_BodyOnly_Per_Total","S_Speak_Per_Total"
"34",45,3898,18,376,309,1395,1818,168.333333333333,190.5,371.883333333333,457.704761904762,492.466666666667,435.05,1223.25,179,190.5,321.5,398.5,377,401.5,1141.5,30.6134800560673,28.5,166.288762497992,230.479068070541,325.190188979905,244.608034286911,348.208294486045,19,10,30,38,38,34,28,200,219,625,780,956,778,1725,124,162,197,222,167,157,866,3121,0,777,0,0,2593.83333333333,0,546.5,0,0,546.5,2593.83333333333,2467.5,0,546.5,0,0,546.5,2467.5,257.832770269467,0,160.5,0,0,160.5,257.832770269467,13,0,11,0,0,11,13,2933,0,707,0,0,707,2933,2381,0,386,0,0,386,2381,1704,2080,2127,9.64597229348384,7.92714212416624,35.7875833760903,46.6393022062596,43.7147255002565,53.3606977937404,54.5664443304259,19.9332991277578
"35",47,743,4,68,0,315,360,68,0,135.333333333333,131,158,135.333333333333,461.5,68,0,131,155,131,131,461.5,0,0,59.8200885394982,72.6210253741637,91.173163412577,59.8200885394982,1.5,1,0,5,5,5,5,3,68,0,201,202,269,201,463,68,0,74,36,74,74,460,743,0,0,0,0,743,0,0,0,0,0,743,743,0,0,0,0,0,743,0,0,0,0,0,0,0,2,0,0,0,0,0,2,743,0,0,0,0,0,743,743,0,0,0,0,0,743,315,383,360,9.15208613728129,0,42.3956931359354,48.4522207267833,42.3956931359354,51.5477792732167,48.4522207267833,0
"36",48,3512,16,230,302,796,2184,117.333333333333,190,256.25,375.388888888889,248.416666666667,239.940476190476,910.25,113,190,208,290,191.5,196,870.5,26.1073056497289,27,126.709230896235,318.405204230229,160.174801915269,146.14807554469,345.270999228774,9,14,24,50,43,36,30,151,217,444,902,527,479,1375,88,163,136,84,91,93,508,3419,0,93,0,0,3251,0,93,0,0,93,3251,3251,0,93,0,0,93,3251,93,0,0,0,0,0,93,9,0,3,0,0,3,9,3344,0,93,0,0,93,3344,3158,0,93,0,0,93,3158,1098,1328,2486,6.54897494305239,8.59908883826879,22.6651480637813,62.1867881548975,31.2642369020501,37.8132118451025,70.7858769931663,2.64806378132118
"37",49,3204,12,264,959,1057,924,109,419.583333333333,234.092857142857,184,467.433333333333,520.130158730159,631.275,101,420,196,165,355.5,419.5,577,29.7848317995431,72.5786923191142,140.972285522117,75.9246777516981,396.453485796087,285.540974569882,329.444334050947,8,16,28,31,33,32,24,152,505,462,319,1113,1018,1105,79,328,77,111,89,250,309,3168,0,36,0,0,3030,0,36,0,0,36,3030,3030,0,36,0,0,36,3030,136,0,0,0,0,0,136,7,0,1,0,0,1,7,3166,0,36,0,0,36,3166,2894,0,36,0,0,36,2894,2016,2280,1883,8.23970037453183,29.9313358302122,32.9900124843945,28.8389513108614,62.9213483146067,71.1610486891386,58.7702871410737,1.12359550561798
"38",50,5160,18,2738,617,1178,627,1832.08333333333,554,429.4,255.116666666667,2175.25,708.916666666667,672.5,1795,554,408.5,238.5,2235,676,639.5,491.082388864391,7,113.769824245604,150.261675719142,1034.41019521297,396.786890616135,267.537916206681,17,5,23,22,22,24,26,2399,561,579,436,3223,1164,1002,1352,547,309,110,1082,320,384,5118,0,42,0,0,4994,0,42,0,0,42,4994,4994,0,42,0,0,42,4994,77,0,0,0,0,0,77,10,0,2,0,0,2,10,5071,0,42,0,0,42,5071,4917,0,42,0,0,42,4917,1795,4533,1244,53.062015503876,11.9573643410853,22.8294573643411,12.1511627906977,34.7868217054264,87.8488372093023,24.1085271317829,0.813953488372093
"39",51,1277,8,0,0,198,1079,0,0,70.1666666666667,425.833333333333,70.1666666666667,70.1666666666667,1277,0,0,67.5,408,67.5,67.5,1277,0,0,28.722670706053,198.904728874243,28.722670706053,28.722670706053,0,0,0,11,11,11,11,4,0,0,104,649,104,104,1277,0,0,39,235,39,39,1277,1238,0,39,0,0,1238,0,39,0,0,39,1238,1238,0,39,0,0,39,1238,0,0,0,0,0,0,0,4,0,2,0,0,2,4,1238,0,39,0,0,39,1238,1238,0,39,0,0,39,1238,198,198,1079,0,0,15.505090054816,84.494909945184,15.505090054816,15.505090054816,84.494909945184,3.05403288958496
"40",52,1397,8,305,293,80,719,169,134.75,62.5,170.059523809524,210.333333333333,119,196,168.5,128.5,62.5,159,170.5,111.5,183,56.0356236397351,34.0667943816728,5.5,124.654365555345,91.5685191905432,46.3528796208657,111.657989223413,8,10,4,17,14,13,16,226,179,68,344,341,179,344,113,101,57,28,127,71,72,1136,0,261,0,0,1136,0,261,0,0,261,1136,1136,0,261,0,0,261,1136,0,0,0,0,0,0,0,4,0,3,0,0,3,4,1136,0,261,0,0,261,1136,1136,0,261,0,0,261,1136,373,678,1012,21.832498210451,20.9735146743021,5.72655690765927,51.4674302075877,26.7000715819613,48.5325697924123,72.4409448818898,18.6828919112384
"41",53,4055,12,532,1609,241,1673,284,339.440476190476,147,401.416666666667,533.095238095238,371.619047619048,471.797619047619,259,252.5,139,367,505,313,378.5,91.8807831827438,254.525511564903,18.3137084989848,181.270864643712,318.613103794646,256.035196173565,220.252744047918,10,27,8,25,26,28,25,393,726,170,702,995,779,855,200,70,132,200,179,78,279,3726,0,329,0,0,3562.5,0,329,0,0,329,3562.5,3562.5,0,329,0,0,329,3562.5,123.5,0,0,0,0,0,123.5,7,0,5,0,0,5,7,3686,0,329,0,0,329,3686,3439,0,329,0,0,329,3439,1850,2382,3282,13.1196054254007,39.6794081381011,5.94327990135635,41.2577065351418,45.6226880394575,58.7422934648582,80.9371146732429,8.1134401972873
"42",54,5504,18,1151,629,1613,2111,456.535714285714,226.25,336.111111111111,270.897348484848,444.441125541126,351.822222222222,950.511111111111,463,219.5,307,214.5,367.5,311.5,736.5,120.977186917624,57.7241974185563,176.900133187335,202.413205767177,299.841768532653,209.695769189469,735.993322943357,19,18,48,71,69,60,43,595,307,622,700,986,727,2110,310,162,143,69,125,121,273,5398,0,106,0,0,4784.66666666667,0,73.5,0,0,73.5,4784.66666666667,4721,0,73.5,0,0,73.5,4721,180.832027645056,0,3.5,0,0,3.5,180.832027645056,11,0,4,0,0,4,11,5031,0,77,0,0,77,5031,4602,0,70,0,0,70,4602,2242,3393,2740,20.9120639534884,11.4280523255814,29.3059593023256,38.3539244186046,40.734011627907,61.6460755813954,49.781976744186,1.92587209302326
"43",55,1816,10,114,58,854,790,99,19.3333333333333,257.75,338.5,292.6,258.6,1408,99,16,217.5,325.5,272,213,1392,4,9.28559218478941,153.142927330991,124.367380073369,175.019252700126,155.711339012468,37.1860188780676,3,3,15,14,16,16,9,103,32,482,487,537,482,1480,95,10,105,216,99,99,1376,1724,0,92,0,0,1546.5,0,92,0,0,92,1546.5,1546.5,0,92,0,0,92,1546.5,124.5,0,0,0,0,0,124.5,6,0,2,0,0,2,6,1671,0,92,0,0,92,1671,1422,0,92,0,0,92,1422,912,1026,848,6.27753303964758,3.19383259911894,47.0264317180617,43.5022026431718,50.2202643171806,56.4977973568282,46.6960352422907,5.06607929515418
