"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time"
"44",56,573,2,63.2222222222222,28.1111111111111,66,415.666666666667,16.8101851851852,15.2962962962963,21.3935185185185,70.5324618736383,25.7392857142857,22.0537037037037,122.790740740741,15,15,18.1111111111111,57.7222222222222,20.3333333333333,19.7222222222222,121.722222222222,7.45939048411617,3.16632361345304,9.29177412022758,53.2030387289543,12.2019934078119,8.7253483686628,49.4430163005591,2.77777777777778,1.22222222222222,2.66666666666667,6.55555555555556,6,3.77777777777778,4.66666666666667,26.8888888888889,18.6666666666667,34,153.777777777778,48.4444444444444,36.8888888888889,195.111111111111,9.55555555555556,12.2222222222222,12.4444444444444,14.6666666666667,15.1111111111111,13.3333333333333,66.7777777777778,573,0,0,0,0,573,0,0,0,0,0,573,573,0,0,0,0,0,573,0,0,0,0,0,0,0,1,0,0,0,0,0,1,573,0,0,0,0,0,573,573,0,0,0,0,0,573,94.1111111111111,157.333333333333,443.777777777778
"45",57,368.555555555556,2,35.2222222222222,7.66666666666667,141.444444444444,184.222222222222,19.9444444444444,7.66666666666667,47.4523809523809,62.6166666666667,61.139417989418,50.0708994708995,203.425925925926,19.9444444444444,7.66666666666667,47.0555555555556,57,60.1666666666667,48.1111111111111,204.055555555556,12.9444444444444,0,23.7559982250084,18.381712247002,38.6748609966364,22.7439094547279,48.0754408084623,0.666666666666667,0.555555555555556,2.88888888888889,3.33333333333333,3.33333333333333,3,1.88888888888889,32.8888888888889,7.66666666666667,74.2222222222222,90.1111111111111,105.333333333333,77.1111111111111,253.333333333333,7,7.66666666666667,21.1111111111111,45.7777777777778,20.2222222222222,25.3333333333333,152.888888888889,340.444444444444,0,28.1111111111111,0,0,282.111111111111,0,28.1111111111111,0,0,28.1111111111111,282.111111111111,282.111111111111,0,28.1111111111111,0,0,28.1111111111111,282.111111111111,42,0,0,0,0,0,42,1.33333333333333,0,0.444444444444444,0,0,0.444444444444444,1.33333333333333,324.111111111111,0,28.1111111111111,0,0,28.1111111111111,324.111111111111,240.111111111111,0,28.1111111111111,0,0,28.1111111111111,240.111111111111,149.111111111111,184.333333333333,191.888888888889
"46",58,445.428571428571,2,123.142857142857,76.4285714285714,2.42857142857143,243.428571428571,66.6428571428571,36.1428571428571,2.42857142857143,64.5285714285714,67.2738095238095,34.4047619047619,65.302380952381,68.0714285714286,37.1428571428571,2.42857142857143,58.0714285714286,64.3571428571429,34.9285714285714,58.0714285714286,24.9973549671412,12.3361000134868,0,36.4790691079556,50.8344875745584,13.5861975792979,35.521769370677,2,2,0.285714285714286,3.71428571428571,3.28571428571429,2.28571428571429,3.71428571428571,92.4285714285714,48.2857142857143,2.42857142857143,120.857142857143,128.571428571429,48.2857142857143,120.857142857143,39.4285714285714,23,2.42857142857143,25.4285714285714,12,19.2857142857143,27.8571428571429,443.857142857143,0,1.57142857142857,0,0,443.857142857143,0,1.57142857142857,0,0,1.57142857142857,443.857142857143,443.857142857143,0,1.57142857142857,0,0,1.57142857142857,443.857142857143,0,0,0,0,0,0,0,1,0,0.142857142857143,0,0,0.142857142857143,1,443.857142857143,0,1.57142857142857,0,0,1.57142857142857,443.857142857143,443.857142857143,0,1.57142857142857,0,0,1.57142857142857,443.857142857143,78.8571428571429,202,319.857142857143
"47",59,325.333333333333,2,58,9.33333333333333,94.6666666666667,163.333333333333,23.6222222222222,7.16666666666667,41.8888888888889,53.0444444444444,57.4583333333333,44.0277777777778,89.1416666666667,22.1666666666667,7.16666666666667,44,53.5,56.9166666666667,45.75,83.0833333333333,6.34787124501234,0.833333333333333,14.8463813412113,24.5784715524868,15.8407503777861,12.2574749914809,55.8885768816797,2.16666666666667,0.666666666666667,2.5,4,3.5,2.83333333333333,3.5,31.5,8,56.8333333333333,85.8333333333333,78.5,56.8333333333333,156,17,6.33333333333333,24.8333333333333,27.1666666666667,39.6666666666667,29.8333333333333,30,322.333333333333,0,3,0,0,322.333333333333,0,3,0,0,3,322.333333333333,322.333333333333,0,3,0,0,3,322.333333333333,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,1,322.333333333333,0,3,0,0,3,322.333333333333,322.333333333333,0,3,0,0,3,322.333333333333,104,162,172.666666666667
"48",60,301.75,2,24.625,20.5,7.5,249.125,16.3125,14.3125,7.5,143.779166666667,22.8145833333333,14.90625,150.03125,16.3125,14.4375,7.5,138.5,22.4375,14.75,132.625,1.8125,1.36453724098546,0,36.191722244859,4.86198987886704,2.46248204008158,47.8661973673592,1,1.25,0.5,2.75,2.5,1.75,2.5,18.125,15.875,7.5,186.625,29.25,17.875,211.5,14.5,12.625,7.5,108,17.75,12.25,107.75,289,0,12.75,0,0,289,0,12.75,0,0,12.75,289,289,0,12.75,0,0,12.75,289,0,0,0,0,0,0,0,1,0,0.625,0,0,0.625,1,289,0,12.75,0,0,12.75,289,289,0,12.75,0,0,12.75,289,28,52.625,269.625
"49",61,506,2,153.857142857143,86.8571428571429,80.4285714285714,184.857142857143,48.1761904761905,52.6071428571429,41.75,36.8486394557823,71.3265306122449,46.7448979591837,61.655612244898,47.6428571428571,52.2857142857143,42,29.5,59.2857142857143,39.2142857142857,57.4285714285714,23.8799576754394,8.19034387657288,12.834198013565,21.2438086784836,53.3993948874191,27.3981049605686,29.7716748295915,2.85714285714286,2,2.28571428571429,5.14285714285714,5,3.85714285714286,4.57142857142857,86.4285714285714,61.5714285714286,55,72,158.857142857143,83.8571428571429,112.571428571429,25,43.8571428571429,28.2857142857143,14.5714285714286,15.1428571428571,17.2857142857143,31.8571428571429,506,0,0,0,0,506,0,0,0,0,0,506,506,0,0,0,0,0,506,0,0,0,0,0,0,0,1,0,0,0,0,0,1,506,0,0,0,0,0,506,506,0,0,0,0,0,506,167.285714285714,321.142857142857,271.714285714286
"50",63,336.714285714286,2,43,3,131.857142857143,158.857142857143,37.4285714285714,3,54.8095238095238,50.2,52.7738095238095,54.1666666666667,224.785714285714,37.4285714285714,3,46.1428571428571,37.0714285714286,47.5714285714286,45.5,224.785714285714,4.42857142857143,0,23.5308244743984,35.1526084993963,27.568364094392,23.9377486498769,34.2142857142857,1,0.142857142857143,2.42857142857143,3.28571428571429,3.42857142857143,2.57142857142857,1.42857142857143,41.8571428571429,3,84.7142857142857,100.285714285714,87.7142857142857,84.7142857142857,259,33,3,33.5714285714286,18.2857142857143,23.7142857142857,32.2857142857143,190.571428571429,271.142857142857,0,65.5714285714286,0,0,244,0,65.5714285714286,0,0,65.5714285714286,244,244,0,65.5714285714286,0,0,65.5714285714286,244,23.8571428571429,0,0,0,0,0,23.8571428571429,1.14285714285714,0,0.714285714285714,0,0,0.714285714285714,1.14285714285714,267.857142857143,0,65.5714285714286,0,0,65.5714285714286,267.857142857143,220.142857142857,0,65.5714285714286,0,0,65.5714285714286,220.142857142857,134.857142857143,177.857142857143,161.857142857143
"51",64,466.111111111111,2,285.444444444444,92.6666666666667,26.3333333333333,61.6666666666667,156.574074074074,50.962962962963,21.3333333333333,25.9259259259259,177.231481481481,51.9444444444444,39.4722222222222,147.277777777778,48.7777777777778,21.3333333333333,24.1111111111111,157,49.3888888888889,35.4444444444444,38.3012024144173,21.4399146175735,2.66666666666667,7.84305609039224,98.7829126559723,29.9398301505636,12.7711037263249,2.11111111111111,1.44444444444444,0.666666666666667,2.33333333333333,2.77777777777778,1.88888888888889,2.33333333333333,207.222222222222,73.7777777777778,24,35.7777777777778,301.444444444444,84.3333333333333,56.1111111111111,116.333333333333,30.3333333333333,18.6666666666667,17.8888888888889,80.7777777777778,22.1111111111111,27,461.222222222222,0,4.88888888888889,0,0,461.222222222222,0,4.88888888888889,0,0,4.88888888888889,461.222222222222,461.222222222222,0,4.88888888888889,0,0,4.88888888888889,461.222222222222,0,0,0,0,0,0,0,1,0,0.111111111111111,0,0,0.111111111111111,1,461.222222222222,0,4.88888888888889,0,0,4.88888888888889,461.222222222222,461.222222222222,0,4.88888888888889,0,0,4.88888888888889,461.222222222222,119,404.444444444444,154.333333333333
"52",65,323,2,7.66666666666667,14.1666666666667,84.1666666666667,217,6.16666666666667,14.1666666666667,27.9,47.9583333333333,28.9722222222222,29.8333333333333,195.861111111111,6.16666666666667,14.1666666666667,26.0833333333333,43.9166666666667,29.5833333333333,30.9166666666667,194.75,0.5,0,14.3326305909097,29.8523149628144,14.483212046161,14.5711999105503,52.45542313788,0.5,0.333333333333333,3.16666666666667,4.66666666666667,3.66666666666667,3.33333333333333,1.83333333333333,6.66666666666667,14.1666666666667,44.8333333333333,96.1666666666667,47.5,47.5,251.166666666667,5.66666666666667,14.1666666666667,13,14.5,11.5,13,141.666666666667,306,0,17,0,0,253.166666666667,0,17,0,0,17,253.166666666667,253.166666666667,0,17,0,0,17,253.166666666667,39.3333333333333,0,0,0,0,0,39.3333333333333,1.33333333333333,0,0.5,0,0,0.5,1.33333333333333,292.5,0,17,0,0,17,292.5,213.833333333333,0,17,0,0,17,213.833333333333,98.3333333333333,106,231.166666666667
"53",66,687.333333333333,2,224.166666666667,110.333333333333,134,218.833333333333,35.3657407407407,29.4777777777778,27.4944444444444,31.1094696969697,62.8121813371813,33.0545634920635,55.1014957264957,28.6666666666667,27.8333333333333,25.5,20.4166666666667,41.6666666666667,26.8333333333333,53.3333333333333,20.5969892722827,14.8798963440632,10.3325292896629,23.0976251741414,60.4129233149318,20.0374938748381,38.3024985839873,5.5,3.5,4.33333333333333,7,6.83333333333333,7,6.83333333333333,71.6666666666667,50.6666666666667,43.5,70.8333333333333,195.833333333333,73.3333333333333,112.166666666667,14.8333333333333,12.8333333333333,15,6.83333333333333,12.6666666666667,12.1666666666667,11.1666666666667,682.166666666667,0,5.16666666666667,0,0,659.333333333333,0,5.16666666666667,0,0,5.16666666666667,659.333333333333,659.333333333333,0,5.16666666666667,0,0,5.16666666666667,659.333333333333,20.5,0,0,0,0,0,20.5,1.16666666666667,0,0.166666666666667,0,0,0.166666666666667,1.16666666666667,679.833333333333,0,5.16666666666667,0,0,5.16666666666667,679.833333333333,638.833333333333,0,5.16666666666667,0,0,5.16666666666667,638.833333333333,244.333333333333,468.5,329.166666666667
