"","h_typing","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",-1.81835884100133,-1.27676824055891,-1.36889802631149,-0.557784171712179,0.0067665477306129,-1.55225226547118,-1.85998775368864,-0.965577409752455,1.68103576770646
"hboredom",1.21996075593063,0.766551088133175,1.12496242333853,0.474051974547507,-0.0868969588102629,1.28461094763408,1.29372503596918,0.720652267006183,-0.324881275506855
"hsdesirability",-0.856409706091805,-0.523071227020833,-0.745056744023989,0.168378433158159,-0.352423465093183,-0.489686029656147,-0.67855550478655,-0.854168861182166,0.3695059211287
"shogan",-0.846504413368784,-2.96210266627867,0.149414056285111,2.06844375844987,1.0215906385225,1.63150720464009,-1.43380290201881,1.03370073305089,0.372301930731951
"sboredom",0.917373558008073,2.12711215306312,1.15978848681116,-2.45983329371476,-0.59068155793815,-0.789227239298554,1.26631359661482,0.287008053960313,1.34253532547587
"ssdesirability",0.4978240197552,-0.209719599613421,1.52570548059006,0.281796900367826,-0.143017112602529,1.46929214897785,0.586272992935687,0.948725806837453,0.00450107381641809
"hpabad",1.54082846346836,1.17892229675589,0.928924668871129,-0.596145229933626,0.796461125120996,0.324645610969083,1.12135193608109,1.39841138498567,-0.631721210069864
"hpabad2",0.789492861502319,0.0902119660852244,0.443456213194139,-0.373714052633211,1.26235345472002,0.0907856033532096,0.120159228770673,1.4705674182421,-0.781965224215755
"hpagood",-0.00604825796269222,-1.58342239778701,-0.189650574543522,0.625038150003414,2.06048337801024,0.30256634604248,-1.10686006022793,1.71133618464949,1.66732629966072
"hpagood2",-0.401396038741719,-1.45606147096204,-0.352647915073328,0.00567970660780094,1.67845167371757,-0.286975012929929,-1.3235543742628,1.25250325462987,2.16216881913151
"spabad",0.28701449276286,1.18699347102897,1.20591133854522,-1.84256335735788,-0.88268191878255,-0.338450882031684,0.775138600574416,0.0574088590932163,0.0242527207926174
"spabad2",0.315109806322234,0.977880699138307,0.658458527629992,-1.4600418127464,-0.354404999808828,-0.517279089791317,0.515437735900324,0.148293696594288,0.0913898187488243
"spagood",-0.564771947243643,-1.33858962373331,0.183309018009921,1.23414134904395,-0.102538819056308,1.05879858275037,-0.519576325241981,0.0380820909567079,0.129729292506722
"spagood2",-0.251645274683287,-0.827844704490514,0.724024985545677,1.20401762192035,-0.66099471130712,1.49753212859619,0.103268454756729,-0.0815663957340226,0.0467239582324011
"rapcomp2",-0.302589211185874,-0.446648628661624,0.0272348096418263,0.363121895133786,-0.182230843311843,0.289126443569951,-0.209886012483506,-0.144489371970189,2.19028362928542
