"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",1.81775692900709,2.40464649646092,-2.77676424093848,-2.84048790095965,-0.0959721196898931,-1.47151609055671,-2.04511011394849
"monitor",-0.173420584108881,0.284999990561763,0.679929561543017,-2.03118757153456,-1.40820037067693,-0.205927029202209,-0.57210428103651
"keyboard",1.23632547143801,0.433670682013569,0.469526330994958,2.15033831532606,1.87784371784584,1.22101146439687,1.78546654509883
"face",-2.1130853784576,-2.32842598622604,1.29178744510209,2.04891715379928,-0.2148180178148,0.464218409336065,0.766312071109588
"comp_only",0.931061767845042,0.634222397057155,1.01708791776978,0.0998960353521754,0.392887229387892,0.888655655437315,1.04343502821519
"no_face",2.1130853784576,2.32842598622604,-1.29178744510209,-2.04891715379928,0.214818017814799,-0.464218409336065,-0.766312071109588
"body_only",-2.63056337151971,-2.49150967940713,2.05084606544574,0.830079248245905,-1.3057355966216,0.383491441302792,0.457476164162802
"s_speak",-0.257197253243681,-0.49525036124235,-0.1879701715154,0.769504272283921,-0.796371472665907,-0.09027195897333,-0.74751113797741
"power",-0.20534296837643,-0.0409923171254836,0.698324141738984,1.26130307123141,-1.18521799730226,1.09054904961255,-0.393460266399933
"enunciated",0.0883425986319033,-0.299387313510777,0.0958068892505261,0.965962363950501,1.73569859531656,0.142215676858858,1.39078397243872
"chillness",-0.631741262384239,-2.00098200582964,1.53383617253915,0.992066491746809,0.833738328318424,1.67565095378108,1.77340424287286
"presence",0.112829143712872,-1.68488181051553,1.78330473623273,1.40930760335751,0.794306423132314,1.03880204162349,1.92537168799455
"motherease",1.74151715799914,-1.64823289958892,-0.0807736392363568,0.332721109973987,0.622438755586816,2.39362779123261,0.417632721008561
"calmness",-1.03692832886467,-0.919307092235078,0.0893645592905817,1.21108803337251,-0.938759017281391,0.956980703949633,-0.652039112652529
"dominance",-0.278974102780109,-1.91062353666906,0.951529760770077,0.735590622854106,1.1783280831542,0.412417106567168,1.61280619483864
"responsivity",-0.868559359351072,-1.4186985647474,1.24790011606125,1.17696064323697,0.218192139557014,1.53743798782672,1.07348944087582
