"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",-0.143478189844793,-0.27335691839711,0.302002718704178,0.866653518365859,0.0267163553082643,-0.120687648825941,0.614572302949262,2.7265295101465
"hboredom",0.690640885809333,0.89672846494157,0.201365827205086,-1.27358582021895,0.94655869174225,1.43753622561833,-0.508725115862246,-0.362172772423636
"hsdesirability",0.0786968762501303,-0.0669400777346075,0.415246814424986,-0.308166700527537,0.301960669624876,0.314221878651281,-0.348646617559941,0.715085961759019
"shogan",-3.86415095507834,0.436692897263802,2.47208202620359,1.3778568906489,2.53910931799617,-1.5751733598656,1.68217559470609,0.601994629814445
"sboredom",2.49018895934239,0.891304534763052,-2.50444628804252,-1.17019775439907,-1.32957513027429,1.34030610258337,-0.416458632262858,0.724280643275612
"ssdesirability",-0.709755060845381,1.05618862159381,0.0564261676625151,-0.31300841303642,0.955308876674342,0.0451207362452471,0.523907659191077,-0.308232063057142
"hpabad",1.53677263076943,0.477131295216427,-1.10260139333013,-0.160399070337051,-0.53845837819968,1.07905665720249,0.220434930331519,-0.746104524994365
"hpabad2",0.341475902316547,0.280095368254931,-0.780041439635287,0.637141441133455,-0.432767184467496,-0.00168310777408242,0.834341464041862,-0.707550123143823
"hpagood",-2.19195146229755,-0.672471724788846,0.390394570223316,1.87625144151713,-0.238098038435019,-2.37007989050778,1.24311348520963,1.05437108894067
"hpagood2",-1.58234345399115,-0.513009990470265,-0.0296389906365122,1.54824023251807,-0.466338142974115,-1.95162499245662,1.06716834519292,1.72373378966789
"spabad",1.78594578380885,0.947434474574708,-2.30525003256815,-0.740371107933296,-1.12325881979059,0.855009842817724,0.0315814484485476,0.532018630169083
"spabad2",1.52239377098322,0.462188724781637,-2.05966269878506,-0.113160704595773,-1.35144539265363,0.433551299189829,0.254135737384069,0.640116213101351
"spagood",-1.73780172354966,0.692251668506983,2.10081231522295,-0.433938533396284,2.46022707888719,0.166695918380139,0.126008149057626,-0.116145268000963
"spagood2",-1.24551875272905,1.19869268309352,1.95054996431834,-1.24307533591872,2.81750269559389,0.874525118005476,-0.248080103111095,-0.408579445453799
"rapcomp2",-0.60125606020562,0.232237644647814,0.15084842999637,-0.33346795564715,0.326722969385326,-0.342186025672572,-0.139319865393527,1.30301744902986
