"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",-0.629315291453919,-1.57865281910771,0.288093050415943,-0.716634334795061,-2.0160625232124,-1.15620909770559,-0.127247090270877,1.00789679966804
"hboredom",0.156737712843953,1.79641071586726,-0.419030633148367,0.166005671940272,1.31341985526927,1.35598272217942,0.180520480204708,-0.0964751310978073
"hsdesirability",-0.233811809131341,-0.884113248235917,1.46701099726984,-0.88664673401217,-0.779320269710865,-0.0294399109064136,-0.628899492719695,0.304864271572768
"shogan",-3.53406711540108,0.00167998675811124,0.593049113712089,0.0347815567846076,-2.78513955595204,0.514402927691891,1.55078847416286,0.155504467885672
"sboredom",2.66285373062054,0.949353327033135,-1.22918007681185,-0.149918264561027,2.01820622666207,0.044730024245232,-1.5059378493526,1.63623312197107
"ssdesirability",-1.81822131278531,1.26434126009634,-0.993021946789746,0.828005856059151,-1.55344210890229,0.31865897733901,0.394412115762146,0.490773425393087
"hpabad",1.95559927878388,1.65600030675299,0.260419061174272,0.684461638791599,2.15257890717405,2.16488879341812,0.196749846922537,-0.797770876726215
"hpabad2",1.26274548061879,1.21351042365842,0.70258629057604,1.39206474906118,1.58996095274818,2.19204668398937,0.774313556897944,-1.00356712764192
"hpagood",-2.41614754276917,-0.680626257306465,0.997044812558928,1.11113627972056,-2.6622173707078,-0.267509439707886,1.00073333047194,1.94830819011672
"hpagood2",-2.21244593003695,-0.666878403739165,0.634573827983721,1.0363000726422,-2.60190961560693,-0.532564043010327,0.863247001087699,2.50347080090568
"spabad",1.10367110286392,0.791014944865505,-0.842596616815734,-0.159541745145532,0.717367214051587,0.156804445481696,-1.17439118541826,-0.213224246220976
"spabad2",0.801148028104831,-0.0535148863396835,-0.655438712333187,-0.0707986215156689,0.124286600138622,-0.41182672854762,-0.964754141255098,-0.210110079203889
"spagood",-1.42290104232506,-0.393664053464896,1.57768084853451,-1.27083984043334,-1.1160027583641,0.759699762395736,0.0390015785520571,-0.483330757061196
"spagood2",-0.926096126852374,0.269196764043374,1.55123090701049,-1.44605761867016,-0.305802872217965,1.41464076910293,-0.299622011600074,-0.222847821991055
"rapcomp2",-1.46144920738005,-0.136218999481572,0.613467582086746,-0.591393088735668,-1.50382899898035,0.0227185770591,-0.730091349296011,2.68102452356153
