"dyad","clip","conv","minu","raid","rsex","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","speaking","contribution","content","tsex","power","enunciated","chillness","presence","motherease","calmness","dominance","responsivity"
6,2,2,3,2,1,5,5,4,5,5,1,4,5,7,7,6,7,7,7,6,80,75,1,0,4.75,6,4.5,77.5,1,6,6,7
6,3,3,1,2,1,5,5,4,5,6,1,4,5,7,6,6,6,7,6,4,38,55,1,0,5,6,4.5,46.5,1,6,4,6.25
6,4,3,2,2,1,5,5,4,5,6,1,5,5,7,7,6,7,7,7,5,46,58,1,0,5.25,6,4.5,52,1,6,5,7
7,1,1,3,2,1,3,4,3,4,4,2,4,5,6,6,5,5,6,5,4,59,45,1,1,4,5.5,3,52,2,5,4,5.5
7,2,2,3,2,1,5,4,3,5,4,1,5,5,6,5,6,5,6,5,4,71,60,1,1,4.5,5.5,4,65.5,1,6,4,5.25
7,3,3,1,2,1,4,5,3,5,5,1,4,5,7,6,6,6,7,6,5,75,66,1,1,4.75,6,3.5,70.5,1,6,5,6.25
7,4,3,2,2,1,4,5,4,5,4,1,4,5,6,6,6,6,6,6,4,40,40,1,1,4.5,5.5,4,40,1,6,4,6
8,1,1,3,2,1,5,4,4,4,4,1,3,5,7,6,5,6,6,6,4,45,45,1,0,3.75,6,4.5,45,1,5,4,6
8,2,2,3,2,1,4,4,4,4,5,1,4,4,7,6,5,6,6,6,4,75,80,1,0,4.25,5.5,4,77.5,1,5,4,6
8,3,3,1,2,1,3,5,3,4,4,1,4,5,7,6,6,6,6,7,3,30,30,1,0,4.25,6,3,30,1,6,3,6.25
8,4,3,2,2,1,3,4,3,4,5,1,4,4,5,6,6,6,6,7,3,58,50,1,0,4.25,4.5,3,54,1,6,3,6.25
9,1,1,3,2,1,5,5,5,5,4,4,6,6,7,6,6,7,6,7,6,80,88,2,1,5,6.5,5,84,4,6,6,6.5
9,2,2,3,2,1,5,5,6,5,4,5,5,6,7,6,6,6,7,6,6,87,90,2,1,4.75,6.5,5.5,88.5,5,6,6,6.25
9,3,3,1,2,1,4,5,5,5,5,4,5,6,7,6,6,6,7,6,6,77,90,1,1,5,6.5,4.5,83.5,4,6,6,6.25
9,4,3,2,2,1,5,5,5,5,5,3,4,5,6,6,6,6,7,6,7,84,90,1,1,4.75,5.5,5,87,3,6,7,6.25
10,1,1,3,2,1,4,4,3,4,4,1,3,5,6,5,5,5,6,5,3,58,42,1,1,3.75,5.5,3.5,50,1,5,3,5.25
10,2,2,3,2,1,4,4,3,4,4,1,3,4,6,5,5,6,6,5,4,55,55,1,1,3.75,5,3.5,55,1,5,4,5.5
10,3,3,1,2,1,3,4,4,4,5,1,3,4,6,5,5,5,6,5,2,15,8,1,1,4,5,3.5,11.5,1,5,2,5.25
10,4,3,2,2,1,4,4,4,4,5,1,3,4,4,5,5,5,6,5,2,18,10,1,1,4,4,4,14,1,5,2,5.25
11,1,1,3,2,1,4,2,5,2,4,1,3,4,4,5,4,5,6,5,3,21,30,2,1,2.75,4,4.5,25.5,1,4,3,5.25
11,2,2,3,2,1,4,3,5,4,4,2,3,4,6,5,6,6,6,6,3,4,40,1,1,3.5,5,4.5,22,2,6,3,5.75
11,3,3,1,2,1,4,2,4,3,4,1,3,2,5,5,5,5,5,5,3,37,37,1,1,3,3.5,4,37,1,5,3,5
11,4,3,2,2,1,3,2,3,3,3,1,3,2,6,5,5,4,5,4,4,30,40,1,1,2.75,4,3,35,1,5,4,4.5
12,1,1,3,2,1,3,4,4,4,5,1,3,5,6,6,5,6,6,6,6,31,41,1,1,4,5.5,3.5,36,1,5,6,6
12,2,2,3,2,1,5,5,4,4,5,1,3,5,7,6,5,6,6,6,6,19,83,1,1,4.25,6,4.5,51,1,5,6,6
12,3,3,1,2,1,5,4,4,3,4,1,3,4,7,5,5,6,6,6,3,37,37,1,1,3.5,5.5,4.5,37,1,5,3,5.75
12,4,3,2,2,1,4,3,4,4,5,1,3,5,7,6,5,6,6,6,6,64,64,1,1,3.75,6,4,64,1,5,6,6
13,1,1,3,2,1,5,5,5,5,4,2,4,5,7,6,5,5,6,5,4,29,37,1,1,4.5,6,5,33,2,5,4,5.5
13,2,2,3,2,1,4,5,5,5,4,1,4,6,7,5,5,5,6,5,5,11,42,1,1,4.5,6.5,4.5,26.5,1,5,5,5.25
13,3,3,1,2,1,4,4,4,4,3,1,3,5,7,6,6,5,6,6,4,39,39,1,1,3.5,6,4,39,1,6,4,5.75
13,4,3,2,2,1,4,3,4,4,3,1,3,4,7,3,4,4,5,3,3,20,48,2,1,3.25,5.5,4,34,1,4,3,3.75
14,1,1,3,2,1,5,4,4,4,4,1,3,5,7,5,5,6,6,5,4,58,40,1,1,3.75,6,4.5,49,1,5,4,5.5
14,2,2,3,2,1,4,4,4,4,3,1,3,5,5,5,4,6,5,5,4,85,82,2,1,3.5,5,4,83.5,1,4,4,5.25
14,3,3,1,2,1,5,5,4,5,5,1,5,5,6,6,5,6,6,6,5,71,71,1,1,5,5.5,4.5,71,1,5,5,6
14,4,3,2,2,1,5,5,4,4,5,1,4,5,6,6,6,6,6,5,4,67,67,1,1,4.5,5.5,4.5,67,1,6,4,5.75
15,1,1,3,2,1,3,3,4,4,3,1,3,5,6,5,6,5,6,5,5,28,40,1,1,3.25,5.5,3.5,34,1,6,5,5.25
15,2,2,3,2,1,3,3,3,3,3,1,2,5,6,5,5,5,5,4,3,8,40,1,1,2.75,5.5,3,24,1,5,3,4.75
15,3,3,1,2,1,4,4,4,4,5,1,3,4,7,6,6,5,6,4,3,30,38,1,1,4,5.5,4,34,1,6,3,5.25
15,4,3,2,2,1,4,4,3,3,4,1,3,4,7,5,4,5,5,5,3,20,31,1,1,3.5,5.5,3.5,25.5,1,4,3,5
16,1,1,3,2,1,5,5,4,5,5,1,4,5,5,6,5,6,5,6,4,54,67,2,1,4.75,5,4.5,60.5,1,5,4,5.75
16,2,2,3,2,1,5,5,4,4,5,1,3,5,4,7,6,6,6,7,5,26,74,1,1,4.25,4.5,4.5,50,1,6,5,6.5
16,3,3,1,2,1,6,5,5,5,6,1,4,6,7,7,6,7,6,6,4,44,44,1,1,5,6.5,5.5,44,1,6,4,6.5
16,4,3,2,2,1,6,5,4,5,5,1,4,5,6,7,6,7,6,7,5,54,54,2,1,4.75,5.5,5,54,1,6,5,6.75
17,1,1,3,2,1,6,4,5,4,4,1,3,6,7,7,6,6,7,6,3,38,41,2,1,3.75,6.5,5.5,39.5,1,6,3,6.5
17,2,2,3,2,1,6,3,5,4,5,1,3,6,7,7,6,6,7,7,5,9,62,1,1,3.75,6.5,5.5,35.5,1,6,5,6.75
17,3,3,1,2,1,6,5,5,4,4,1,3,6,7,7,6,7,6,6,5,41,43,1,1,4,6.5,5.5,42,1,6,5,6.5
17,4,3,2,2,1,6,5,5,4,4,1,3,6,7,6,5,6,7,6,6,81,81,1,1,4,6.5,5.5,81,1,5,6,6.25
18,1,1,3,2,1,3,4,2,4,4,1,3,4,5,6,5,6,6,5,4,52,60,2,0,3.75,4.5,2.5,56,1,5,4,5.75
18,2,2,3,2,1,3,4,2,4,4,1,3,4,5,5,4,6,6,6,3,78,61,1,0,3.75,4.5,2.5,69.5,1,4,3,5.75
18,3,3,1,2,1,4,4,2,4,4,1,4,4,6,6,6,6,6,6,3,38,35,1,0,4,5,3,36.5,1,6,3,6
18,4,3,2,2,1,3,4,2,4,4,1,3,4,7,6,5,6,6,6,3,32,40,1,0,3.75,5.5,2.5,36,1,5,3,6
19,1,1,3,2,1,3,4,3,5,6,1,5,5,4,5,6,6,6,6,6,62,78,1,1,5,4.5,3,70,1,6,6,5.75
19,2,2,3,2,1,4,4,3,4,5,1,4,4,3,6,6,6,6,6,5,85,78,1,1,4.25,3.5,3.5,81.5,1,6,5,6
19,3,3,1,2,1,5,5,3,5,5,1,5,5,5,5,6,6,6,6,5,87,62,1,1,5,5,4,74.5,1,6,5,5.75
19,4,3,2,2,1,4,5,3,5,5,1,5,5,7,6,6,6,6,6,5,87,85,1,1,5,6,3.5,86,1,6,5,6
20,1,1,3,2,1,3,2,4,2,3,1,2,4,3,4,4,4,6,4,3,61,25,1,1,2.25,3.5,3.5,43,1,4,3,4.5
20,2,2,3,2,1,2,2,4,2,3,1,2,3,4,5,4,4,6,6,4,44,50,1,1,2.25,3.5,3,47,1,4,4,5.25
20,3,3,1,2,1,3,2,4,3,3,1,3,4,4,5,5,5,6,5,3,52,48,1,1,2.75,4,3.5,50,1,5,3,5.25
20,4,3,2,2,1,3,3,4,3,3,1,2,3,4,4,5,4,5,3,2,31,39,1,1,2.75,3.5,3.5,35,1,5,2,4
21,1,1,3,2,1,4,3,5,3,4,1,2,6,7,5,5,5,5,4,3,22,35,1,1,3,6.5,4.5,28.5,1,5,3,4.75
21,2,2,3,2,1,5,3,5,3,3,2,2,4,6,3,4,4,5,3,3,10,39,1,1,2.75,5,5,24.5,2,4,3,3.75
21,3,3,1,2,1,5,3,5,3,5,1,3,6,7,6,5,6,6,6,4,46,46,1,1,3.5,6.5,5,46,1,5,4,6
21,4,3,2,2,1,4,3,5,4,5,1,4,4,7,6,5,6,6,5,4,50,50,1,1,4,5.5,4.5,50,1,5,4,5.75
22,1,1,3,2,1,4,5,3,3,4,1,3,5,7,6,4,6,6,6,4,58,70,1,0,3.75,6,3.5,64,1,4,4,6
22,2,2,3,2,1,4,5,3,4,4,1,4,5,7,6,5,7,6,7,6,85,90,1,0,4.25,6,3.5,87.5,1,5,6,6.5
22,3,3,1,2,1,5,4,3,4,5,1,,4,7,6,6,6,7,7,3,39,39,1,0,4.3333333333,5.5,4,39,1,6,3,6.5
22,4,3,2,2,1,5,4,3,5,4,1,4,5,7,6,6,7,7,7,3,59,59,1,0,4.25,6,4,59,1,6,3,6.75
23,1,1,3,2,1,4,5,4,4,5,1,3,6,7,6,3,6,6,5,5,38,41,1,1,4.25,6.5,4,39.5,1,3,5,5.75
