"dyad","clip","conv","minu","raid","rsex","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","speaking","contribution","content","tsex","power","enunciated","chillness","presence","motherease","calmness","dominance","responsivity"
41,4,3,2,2,1,5,4,3,4,4,1,3,6,7,6,6,6,6,6,5,39,51,1,1,3.75,6.5,4,45,1,6,5,6
42,1,1,3,2,1,3,5,2,4,4,1,4,5,6,5,5,5,5,4,4,39,32,2,0,4.25,5.5,2.5,35.5,1,5,4,4.75
42,2,2,3,2,1,3,4,2,5,4,1,4,3,5,4,5,4,3,5,4,40,35,3,0,4.25,4,2.5,37.5,1,5,4,4
42,3,3,1,2,1,4,5,2,5,5,1,5,4,7,6,6,6,6,6,5,68,70,1,0,5,5.5,3,69,1,6,5,6
42,4,3,2,2,1,4,4,2,5,4,1,4,4,5,6,6,6,6,5,4,68,68,1,0,4.25,4.5,3,68,1,6,4,5.75
43,1,1,3,2,1,5,4,5,4,4,2,3,4,6,6,3,5,6,5,3,40,58,1,1,3.75,5,5,49,2,3,3,5.5
43,2,2,3,2,1,4,4,5,3,5,1,3,5,5,5,2,6,6,6,4,12,70,1,1,3.75,5,4.5,41,1,2,4,5.75
43,3,3,1,2,1,6,6,5,5,5,1,5,6,7,6,5,6,6,6,5,41,41,2,1,5.25,6.5,5.5,41,1,5,5,6
43,4,3,2,2,1,5,5,5,5,6,1,4,5,6,5,5,6,6,5,3,40,40,1,1,5,5.5,5,40,1,5,3,5.5
44,1,1,3,2,1,5,5,4,4,4,1,4,5,6,7,4,6,7,6,5,70,87,2,0,4.25,5.5,4.5,78.5,1,4,5,6.5
44,2,2,3,2,1,5,5,4,4,4,1,3,5,7,7,4,7,7,7,5,92,90,3,0,4,6,4.5,91,1,4,5,7
44,3,3,1,2,1,5,4,4,3,4,1,3,4,7,6,4,6,7,7,3,30,25,1,0,3.5,5.5,4.5,27.5,1,4,3,6.5
44,4,3,2,2,1,4,3,4,4,5,1,3,4,7,6,5,6,6,6,5,43,52,1,0,3.75,5.5,4,47.5,1,5,5,6
45,1,1,3,2,1,3,5,5,3,4,1,3,4,4,5,3,5,5,6,5,41,72,1,1,3.75,4,4,56.5,1,3,5,5.25
45,2,2,3,2,1,4,4,4,3,4,2,2,3,3,5,2,5,6,6,4,15,78,2,1,3.25,3,4,46.5,2,2,4,5.5
45,3,3,1,2,1,5,5,4,4,5,1,5,5,7,6,5,6,6,6,5,57,57,1,1,4.75,6,4.5,57,1,5,5,6
45,4,3,2,2,1,4,5,4,5,5,1,4,5,5,6,5,6,6,6,5,71,73,3,1,4.75,5,4,72,1,5,5,6
46,1,1,3,2,1,4,3,4,3,3,2,3,5,6,5,5,5,6,6,3,29,44,1,1,3,5.5,4,36.5,2,5,3,5.5
46,2,2,3,2,1,4,3,3,3,4,3,3,5,5,6,5,6,6,6,6,6,90,2,1,3.25,5,3.5,48,3,5,6,6
46,3,3,1,2,1,5,4,3,5,4,1,4,5,7,6,6,6,6,6,5,41,41,1,1,4.25,6,4,41,1,6,5,6
46,4,3,2,2,1,4,5,3,5,5,1,5,5,7,6,6,7,6,6,5,46,46,1,1,5,6,3.5,46,1,6,5,6.25
47,1,1,3,2,1,5,4,5,5,5,1,4,5,6,6,5,6,6,4,5,46,67,1,1,4.5,5.5,5,56.5,1,5,5,5.5
47,2,2,3,2,1,5,4,4,5,4,1,3,4,4,5,5,5,6,6,5,12,71,1,1,4,4,4.5,41.5,1,5,5,5.5
47,3,3,1,2,1,5,4,5,5,5,1,4,5,6,6,6,6,6,6,4,40,40,3,1,4.5,5.5,5,40,1,6,4,6
47,4,3,2,2,1,4,3,4,4,5,1,3,5,4,6,5,5,6,5,4,32,39,2,1,3.75,4.5,4,35.5,1,5,4,5.5
48,1,1,3,2,1,5,6,5,5,4,2,5,6,6,6,3,6,7,5,5,29,46,2,1,5,6,5,37.5,2,3,5,6
48,2,2,3,2,1,5,4,3,4,3,2,4,5,5,6,3,6,6,6,4,23,86,3,1,3.75,5,4,54.5,2,3,4,6
48,3,3,1,2,1,6,5,3,4,5,1,5,5,6,6,3,5,6,6,4,39,47,2,1,4.75,5.5,4.5,43,1,3,4,5.75
48,4,3,2,2,1,5,4,3,4,4,1,3,5,5,6,2,6,6,5,4,32,41,1,1,3.75,5,4,36.5,1,2,4,5.75
49,1,1,3,2,1,5,5,4,4,4,1,4,5,3,6,5,6,6,6,4,67,55,1,0,4.25,4,4.5,61,1,5,4,6
49,2,2,3,2,1,4,4,4,4,3,1,4,5,5,6,5,6,6,6,4,75,60,1,0,3.75,5,4,67.5,1,5,4,6
49,3,3,1,2,1,5,5,4,5,5,1,5,5,7,7,6,6,6,6,3,40,40,1,0,5,6,4.5,40,1,6,3,6.25
49,4,3,2,2,1,5,5,4,5,5,1,4,4,4,6,6,6,6,6,4,61,50,1,0,4.75,4,4.5,55.5,1,6,4,6
50,1,1,3,2,1,4,4,4,3,4,1,3,5,7,6,6,5,6,6,3,36,30,2,0,3.5,6,4,33,1,6,3,5.75
50,2,2,3,2,1,4,4,4,3,3,1,3,5,7,6,6,5,6,6,5,57,68,1,0,3.25,6,4,62.5,1,6,5,5.75
50,3,3,1,2,1,5,4,4,4,5,1,4,5,7,6,6,6,6,6,3,40,34,1,0,4.25,6,4.5,37,1,6,3,6
50,4,3,2,2,1,4,4,4,3,4,1,3,4,7,6,6,5,6,6,3,30,32,1,0,3.5,5.5,4,31,1,6,3,5.75
51,1,1,3,2,1,4,3,5,4,5,2,3,5,6,6,4,5,6,6,4,39,65,2,1,3.75,5.5,4.5,52,2,4,4,5.75
51,2,2,3,2,1,5,4,5,3,5,2,4,4,3,5,4,5,6,6,4,8,76,1,1,4,3.5,5,42,2,4,4,5.5
51,3,3,1,2,1,5,5,5,5,5,2,4,,7,6,6,6,6,6,4,46,46,2,1,4.75,7,5,46,2,6,4,6
51,4,3,2,2,1,6,5,5,6,6,1,5,6,6,,6,7,6,7,5,48,48,1,1,5.5,6,5.5,48,1,6,5,6.6666666667
52,1,1,3,2,1,6,5,5,6,5,1,5,4,6,6,5,5,3,6,5,38,72,4,1,5.25,5,5.5,55,1,5,5,5
52,2,2,3,2,1,6,4,5,5,5,1,4,3,5,6,5,5,3,6,6,21,79,4,1,4.5,4,5.5,50,1,5,6,5
52,3,3,1,2,1,3,3,4,4,4,1,3,5,7,6,6,6,6,7,3,40,40,2,1,3.5,6,3.5,40,1,6,3,6.25
52,4,3,2,2,1,3,3,4,4,4,1,3,4,7,6,6,5,5,5,4,52,52,2,1,3.5,5.5,3.5,52,1,6,4,5.25
53,1,1,3,2,1,5,5,5,4,4,2,5,3,3,6,6,6,5,6,5,47,78,2,1,4.5,3,5,62.5,2,6,5,5.75
53,2,2,3,2,1,5,3,5,3,6,2,3,2,3,6,2,5,6,6,5,19,72,4,1,3.75,2.5,5,45.5,2,2,5,5.75
53,3,3,1,2,1,5,5,5,5,6,1,4,5,7,7,6,6,6,6,6,68,70,3,1,5,6,5,69,1,6,6,6.25
53,4,3,2,2,1,5,4,4,5,5,1,3,3,4,7,4,7,6,6,5,48,53,2,1,4.25,3.5,4.5,50.5,1,4,5,6.5
54,1,1,3,2,1,5,5,4,4,4,1,3,5,7,6,5,6,7,5,4,39,40,1,0,4,6,4.5,39.5,1,5,4,6
54,2,2,3,2,1,5,4,4,4,4,1,4,4,7,6,6,6,6,6,5,65,65,1,0,4,5.5,4.5,65,1,6,5,6
54,3,3,1,2,1,4,4,3,4,4,1,3,4,7,6,6,6,6,6,5,67,67,1,0,3.75,5.5,3.5,67,1,6,5,6
54,4,3,2,2,1,4,4,3,4,4,1,3,4,7,6,6,6,6,6,5,68,70,1,0,3.75,5.5,3.5,69,1,6,5,6
55,1,1,3,2,1,3,4,3,3,4,1,3,5,7,5,3,4,5,4,3,25,20,2,0,3.5,6,3,22.5,1,3,3,4.5
55,2,2,3,2,1,3,4,3,3,4,1,3,4,7,6,4,6,6,5,5,92,90,2,0,3.5,5.5,3,91,1,4,5,5.75
55,3,3,1,2,1,5,4,3,5,5,1,4,6,7,6,6,7,6,6,4,53,50,1,0,4.5,6.5,4,51.5,1,6,4,6.25
55,4,3,2,2,1,5,5,4,5,5,1,5,5,7,7,6,7,6,7,4,45,45,1,0,5,6,4.5,45,1,6,4,6.75
56,1,1,3,2,1,3,4,4,4,4,1,4,5,6,6,5,5,6,6,5,65,55,1,0,4,5.5,3.5,60,1,5,5,5.75
56,2,2,3,2,1,3,5,3,4,4,1,3,5,7,6,4,6,6,7,3,68,65,2,0,4,6,3,66.5,1,4,3,6.25
56,3,3,1,2,1,3,4,3,4,4,1,4,4,7,6,5,6,7,6,4,45,45,2,0,4,5.5,3,45,1,5,4,6.25
56,4,3,2,2,1,4,5,3,5,4,1,4,5,7,6,6,7,7,7,4,45,40,1,0,4.5,6,3.5,42.5,1,6,4,6.75
57,1,1,3,2,1,5,5,5,6,4,5,3,6,7,7,6,7,7,7,3,66,40,2,1,4.5,6.5,5,53,5,6,3,7
57,2,2,3,2,1,5,3,5,4,4,3,2,6,6,7,6,6,7,6,5,67,83,1,1,3.25,6,5,75,3,6,5,6.5
57,3,3,1,2,1,4,4,5,5,4,2,2,6,6,6,6,5,6,5,3,19,9,1,1,3.75,6,4.5,14,2,6,3,5.5
57,4,3,2,2,1,5,3,5,5,4,3,3,6,6,6,7,6,7,7,4,41,55,1,1,3.75,6,5,48,3,7,4,6.5
58,1,1,3,2,1,2,3,3,4,5,1,4,5,6,6,5,5,5,6,5,37,70,2,1,4,5.5,2.5,53.5,1,5,5,5.5
58,2,2,3,2,1,2,3,3,5,5,1,4,2,3,5,5,5,6,6,5,12,74,,1,4.25,2.5,2.5,43,1,5,5,5.5
58,3,3,1,2,1,2,4,3,5,5,1,4,3,6,6,6,5,6,6,3,39,39,2,1,4.5,4.5,2.5,39,1,6,3,5.75
58,4,3,2,2,1,3,4,3,5,5,1,4,4,6,6,6,5,6,5,4,41,41,1,1,4.5,5,3,41,1,6,4,5.5
59,1,1,3,2,1,3,3,4,3,4,2,3,4,6,4,5,5,4,5,4,24,70,1,1,3.25,5,3.5,47,2,5,4,4.5
59,2,2,3,2,1,2,3,3,3,4,2,2,3,3,5,3,5,5,6,5,23,75,2,1,3,3,2.5,49,2,3,5,5.25
59,3,3,1,2,1,2,2,2,4,5,1,3,3,6,5,5,5,5,5,3,31,41,1,1,3.5,4.5,2,36,1,5,3,5
59,4,3,2,2,1,2,2,2,3,4,1,3,4,6,6,5,5,5,5,4,41,41,1,1,3,5,2,41,1,5,4,5.25
60,1,1,3,2,1,5,5,3,5,5,1,5,6,7,6,6,6,6,7,4,68,50,1,0,5,6.5,4,59,1,6,4,6.25
60,2,2,3,2,1,5,5,3,5,5,1,5,6,7,6,6,6,6,7,6,67,85,1,0,5,6.5,4,76,1,6,6,6.25
60,3,3,1,2,1,5,5,3,5,5,1,5,6,7,6,6,6,6,7,4,40,31,1,0,5,6.5,4,35.5,1,6,4,6.25
60,4,3,2,2,1,5,5,3,5,6,1,5,6,7,7,6,7,6,7,5,40,43,1,0,5.25,6.5,4,41.5,1,6,5,6.75
61,1,1,3,2,1,4,3,4,4,5,2,3,5,6,7,5,6,6,6,4,41,68,1,1,3.75,5.5,4,54.5,2,5,4,6.25
61,2,2,3,2,1,5,5,4,3,3,2,3,4,4,5,3,5,6,6,6,18,81,2,1,3.5,4,4.5,49.5,2,3,6,5.5
61,3,3,1,2,1,5,6,5,6,6,1,5,6,7,6,7,7,6,6,5,46,46,1,1,5.75,6.5,5,46,1,7,5,6.25
61,4,3,2,2,1,6,5,4,6,6,1,5,6,7,6,7,7,6,6,4,41,41,1,1,5.5,6.5,5,41,1,7,4,6.25
62,1,1,3,2,1,5,5,3,5,5,1,5,5,7,7,7,7,6,5,5,42,40,1,0,5,6,4,41,1,7,5,6.25
62,2,2,3,2,1,5,5,3,5,5,1,4,6,7,6,6,7,4,6,5,90,90,4,0,4.75,6.5,4,90,1,6,5,5.75
62,3,3,1,2,1,5,5,4,5,6,1,5,6,7,7,7,7,6,6,3,30,32,1,0,5.25,6.5,4.5,31,1,7,3,6.5
62,4,3,2,2,1,4,5,4,5,5,1,4,5,7,7,6,7,7,6,2,12,10,1,0,4.75,6,4,11,1,6,2,6.75
63,1,1,3,2,1,4,5,2,5,4,1,5,5,6,6,6,6,6,6,5,42,67,1,1,4.75,5.5,3,54.5,1,6,5,6
63,2,2,3,2,1,3,4,2,4,4,2,4,4,6,6,5,6,6,6,4,18,66,2,1,4,5,2.5,42,2,5,4,6
63,3,3,1,2,1,3,4,3,3,4,1,3,5,7,6,5,5,6,5,2,30,28,2,1,3.5,6,3,29,1,5,2,5.5
63,4,3,2,2,1,2,3,2,3,4,1,3,4,7,5,6,6,6,6,5,31,42,1,1,3.25,5.5,2,36.5,1,6,5,5.75
64,1,1,3,2,1,3,5,3,4,3,1,5,5,6,4,5,5,5,5,2,37,41,1,1,4.25,5.5,3,39,1,5,2,4.75
64,2,2,3,2,1,3,4,3,4,5,3,4,5,5,5,3,5,5,5,4,78,73,1,1,4.25,5,3,75.5,3,3,4,5
64,3,3,1,2,1,5,5,3,5,5,1,5,6,7,7,5,6,6,6,5,50,44,1,1,5,6.5,4,47,1,5,5,6.25
64,4,3,2,2,1,5,5,4,5,5,1,5,6,6,6,6,6,7,6,5,78,83,1,1,5,6,4.5,80.5,1,6,5,6.25
65,1,1,3,2,1,5,3,4,6,6,1,3,3,4,6,6,6,5,6,3,30,48,3,1,4.5,3.5,4.5,39,1,6,3,5.75
65,2,2,3,2,1,4,3,3,4,4,1,3,2,3,4,5,5,4,6,5,8,78,1,1,3.5,2.5,3.5,43,1,5,5,4.75
65,3,3,1,2,1,4,4,3,5,5,1,3,6,6,6,6,5,5,5,4,37,37,1,1,4.25,6,3.5,37,1,6,4,5.25
65,4,3,2,2,1,3,4,3,5,5,1,4,4,5,6,6,5,6,5,4,41,41,2,1,4.5,4.5,3,41,1,6,4,5.5
66,1,1,3,2,1,4,3,3,4,5,1,3,3,5,6,5,5,6,6,3,27,41,2,1,3.75,4,3.5,34,1,5,3,5.75
66,2,2,3,2,1,3,2,3,3,3,1,2,3,6,5,5,4,6,5,3,14,57,1,1,2.5,4.5,3,35.5,1,5,3,5
66,3,3,1,2,1,4,4,4,5,5,1,4,5,5,6,6,6,7,6,5,41,41,2,1,4.5,5,4,41,1,6,5,6.25
66,4,3,2,2,1,3,3,3,2,4,1,3,3,6,6,5,5,6,6,2,37,37,1,1,3,4.5,3,37,1,5,2,5.75
67,1,1,3,2,1,4,3,2,3,3,2,3,3,4,6,6,6,6,7,5,66,72,1,1,3,3.5,3,69,2,6,5,6.25
67,2,2,3,2,1,4,2,3,3,3,3,2,3,4,6,6,5,6,6,5,9,75,1,1,2.5,3.5,3.5,42,3,6,5,5.75
67,3,3,1,2,1,4,3,3,4,4,1,3,5,6,6,6,6,6,7,3,21,21,2,1,3.5,5.5,3.5,21,1,6,3,6.25
67,4,3,2,2,1,3,2,3,3,3,1,2,3,3,4,5,5,6,5,3,35,35,1,1,2.5,3,3,35,1,5,3,5
68,1,1,3,2,1,4,2,5,2,2,1,2,3,3,5,4,3,4,3,1,27,38,2,1,2,3,4.5,32.5,1,4,1,3.75
68,2,2,3,2,1,2,2,4,2,1,2,1,3,5,5,5,5,6,6,5,18,67,1,1,1.5,4,3,42.5,2,5,5,5.5
68,3,3,1,2,1,2,4,4,3,4,1,3,5,7,6,6,4,5,4,1,3,3,1,1,3.5,6,3,3,1,6,1,4.75
68,4,3,2,2,1,2,2,4,2,3,1,2,3,6,5,5,5,6,5,2,27,32,1,1,2.25,4.5,3,29.5,1,5,2,5.25
69,1,1,3,2,1,3,4,3,4,4,1,3,6,5,6,6,5,6,6,5,37,48,1,1,3.75,5.5,3,42.5,1,6,5,5.75
69,2,2,3,2,1,3,4,2,4,4,1,3,5,6,6,5,5,6,5,5,6,41,1,1,3.75,5.5,2.5,23.5,1,5,5,5.5
69,3,3,1,2,1,4,4,2,4,5,1,3,4,7,6,6,5,6,6,5,74,74,1,1,4,5.5,3,74,1,6,5,5.75
69,4,3,2,2,1,4,4,2,4,5,1,3,4,6,5,6,5,6,5,5,47,47,2,1,4,5,3,47,1,6,5,5.25
70,1,1,3,2,1,6,3,5,4,5,2,5,6,5,7,4,6,6,6,6,41,62,2,1,4.25,5.5,5.5,51.5,2,4,6,6.25
70,2,2,3,2,1,5,4,5,4,6,2,5,5,5,6,3,6,6,6,4,18,57,1,1,4.75,5,5,37.5,2,3,4,6
70,3,3,1,2,1,5,3,3,4,3,1,4,5,6,6,4,6,7,6,3,34,42,1,1,3.5,5.5,4,38,1,4,3,6.25
70,4,3,2,2,1,6,4,5,4,5,1,3,4,5,5,4,6,6,5,4,38,46,2,1,4,4.5,5.5,42,1,4,4,5.5
71,1,1,3,2,1,6,5,6,6,6,2,5,6,2,7,4,7,6,7,6,42,81,3,1,5.5,4,6,61.5,2,4,6,6.75
71,2,2,3,2,1,5,3,6,5,6,1,4,4,2,6,5,6,6,6,6,12,64,2,1,4.5,3,5.5,38,1,5,6,6
71,3,3,1,2,1,6,6,6,7,6,1,6,5,6,7,6,7,7,7,5,48,48,1,1,6.25,5.5,6,48,1,6,5,7
71,4,3,2,2,1,6,5,6,5,6,1,5,5,3,6,6,6,7,6,5,58,67,1,1,5.25,4,6,62.5,1,6,5,6.25
72,1,1,3,2,1,5,4,4,6,5,1,5,6,7,7,6,7,7,7,4,45,50,1,0,5,6.5,4.5,47.5,1,6,4,7
72,2,2,3,2,1,5,4,4,5,4,1,4,5,6,6,6,6,6,4,3,42,40,1,0,4.25,5.5,4.5,41,1,6,3,5.5
72,3,3,1,2,1,4,4,4,4,5,1,3,5,6,5,6,6,6,5,3,30,30,1,0,4,5.5,4,30,1,6,3,5.5
72,4,3,2,2,1,5,4,4,5,4,1,4,6,7,6,6,6,6,6,4,47,40,1,0,4.25,6.5,4.5,43.5,1,6,4,6
73,1,1,3,2,1,5,5,5,5,5,1,4,4,6,6,5,6,5,6,5,31,61,1,1,4.75,5,5,46,1,5,5,5.75
73,2,2,3,2,1,4,3,4,3,4,1,3,4,3,5,4,5,6,5,4,8,72,1,1,3.25,3.5,4,40,1,4,4,5.25
73,3,3,1,2,1,4,5,4,5,5,1,4,5,6,6,7,5,6,5,2,27,27,1,1,4.75,5.5,4,27,1,7,2,5.5
73,4,3,2,2,1,3,4,3,4,5,1,4,6,7,6,6,6,6,6,5,55,57,2,1,4.25,6.5,3,56,1,6,5,6
74,1,1,3,2,1,5,6,3,6,5,2,5,6,7,6,6,6,5,6,5,45,72,1,1,5.5,6.5,4,58.5,2,6,5,5.75
74,2,2,3,2,1,5,5,3,5,4,2,4,6,7,6,6,6,5,5,5,7,59,2,1,4.5,6.5,4,33,2,6,5,5.5
74,3,3,1,2,1,5,6,4,5,5,1,4,6,7,6,7,6,6,6,3,36,36,1,1,5,6.5,4.5,36,1,7,3,6
74,4,3,2,2,1,5,5,4,5,5,1,4,5,6,6,6,6,6,7,3,31,31,1,1,4.75,5.5,4.5,31,1,6,3,6.25
75,1,1,3,2,1,4,3,4,5,4,1,4,4,3,6,5,5,6,6,5,47,78,1,1,4,3.5,4,62.5,1,5,5,5.75
75,2,2,3,2,1,3,2,4,3,4,1,2,3,3,6,5,4,6,5,4,9,66,2,1,2.75,3,3.5,37.5,1,5,4,5.25
75,3,3,1,2,1,5,4,5,4,4,1,3,5,5,6,5,5,6,6,3,39,39,1,1,3.75,5,5,39,1,5,3,5.75
75,4,3,2,2,1,4,4,3,5,4,1,3,3,5,6,6,6,6,6,6,76,76,1,1,4,4,3.5,76,1,6,6,6
76,1,1,3,2,1,5,3,6,3,4,2,3,5,6,6,2,5,5,5,3,36,56,3,1,3.25,5.5,5.5,46,2,2,3,5.25
76,2,2,3,2,1,5,3,5,4,4,3,3,4,5,6,2,5,6,5,4,19,83,3,1,3.5,4.5,5,51,3,2,4,5.5
76,3,3,1,2,1,4,3,6,3,4,1,2,5,5,6,5,5,6,6,4,52,52,1,1,3,5,5,52,1,5,4,5.75
76,4,3,2,2,1,5,4,4,5,5,1,4,6,6,7,7,6,6,6,6,87,87,2,1,4.5,6,4.5,87,1,7,6,6.25
77,1,1,3,2,1,5,5,3,5,4,1,4,6,4,6,5,6,6,5,4,43,82,1,1,4.5,5,4,62.5,1,5,4,5.75
77,2,2,3,2,1,4,4,3,4,4,1,3,5,4,6,5,5,6,5,4,12,71,1,1,3.75,4.5,3.5,41.5,1,5,4,5.5
77,3,3,1,2,1,6,5,4,5,4,1,4,5,4,6,6,6,6,6,5,79,79,2,1,4.5,4.5,5,79,1,6,5,6
77,4,3,2,2,1,4,4,4,3,4,1,3,3,3,5,5,5,6,5,5,47,67,1,1,3.5,3,4,57,1,5,5,5.25
78,1,1,3,2,1,5,5,5,5,6,1,5,6,7,7,6,6,6,6,5,38,61,2,1,5.25,6.5,5,49.5,1,6,5,6.25
78,2,2,3,2,1,5,5,4,5,5,1,4,6,7,6,6,6,6,6,5,12,74,,1,4.75,6.5,4.5,43,1,6,5,6
78,3,3,1,2,1,5,5,5,6,5,1,5,6,7,6,6,6,7,6,3,43,43,1,1,5.25,6.5,5,43,1,6,3,6.25
78,4,3,2,2,1,5,4,4,5,5,1,5,5,7,6,6,5,6,5,3,38,40,2,1,4.75,6,4.5,39,1,6,3,5.5
79,1,1,3,2,1,5,2,4,2,3,1,1,4,2,3,2,2,4,3,2,19,32,2,1,2,3,4.5,25.5,1,2,2,3
79,2,2,3,2,1,5,4,4,4,5,2,4,5,4,5,3,4,4,5,5,36,82,2,1,4.25,4.5,4.5,59,2,3,5,4.5
79,3,3,1,2,1,5,5,4,5,5,1,4,5,7,6,6,6,5,5,2,29,33,1,1,4.75,6,4.5,31,1,6,2,5.5
79,4,3,2,2,1,5,4,3,4,3,2,4,5,3,4,4,5,5,4,4,36,51,1,1,3.75,4,4,43.5,2,4,4,4.5
80,1,1,3,2,1,5,6,3,6,4,2,6,7,7,6,5,6,6,6,5,24,68,2,1,5.5,7,4,46,2,5,5,6
80,2,2,3,2,1,5,6,3,6,4,2,5,4,7,6,5,6,6,6,5,17,64,1,1,5.25,5.5,4,40.5,2,5,5,6
80,3,3,1,2,1,3,5,3,5,4,1,3,5,7,6,7,6,6,6,3,32,34,2,1,4.25,6,3,33,1,7,3,6
80,4,3,2,2,1,3,5,4,5,3,1,4,5,6,6,5,5,6,5,3,33,38,2,1,4.25,5.5,3.5,35.5,1,5,3,5.5
1,1,1,3,3,1,3,3,3,5,5,1,3,4,6,6,5,5,6,5,4,25,30,1,1,4,5,3,27.5,1,5,4,5.5
1,2,2,3,3,1,4,4,4,5,4,1,3,4,6,6,5,5,6,5,4,20,50,1,1,4,5,4,35,1,5,4,5.5
1,3,3,1,3,1,3,4,3,4,4,1,3,4,6,6,6,5,6,6,4,10,30,1,1,3.75,5,3,20,1,6,4,5.75
1,4,3,2,3,1,4,4,4,5,4,1,4,4,6,6,6,5,6,5,4,25,40,1,1,4.25,5,4,32.5,1,6,4,5.5
2,1,1,3,3,1,3,3,3,2,4,1,3,5,5,6,4,4,5,4,3,25,35,1,1,3,5,3,30,1,4,3,4.75
2,2,2,3,3,1,3,3,3,2,4,1,3,5,5,6,5,5,6,5,3,20,50,1,1,3,5,3,35,1,5,3,5.5
2,3,3,1,3,1,3,3,3,3,4,1,3,4,5,6,5,4,6,4,4,20,30,1,1,3.25,4.5,3,25,1,5,4,5
2,4,3,2,3,1,3,3,2,3,4,1,2,3,5,5,5,4,5,4,3,10,20,1,1,3,4,2.5,15,1,5,3,4.5
3,1,1,3,3,1,2,3,3,4,4,1,3,6,6,5,6,5,5,4,4,30,30,1,1,3.5,6,2.5,30,1,6,4,4.75
3,2,2,3,3,1,3,4,3,4,4,1,3,5,6,5,6,5,6,5,4,30,50,1,1,3.75,5.5,3,40,1,6,4,5.25
3,3,3,1,3,1,3,4,3,4,3,1,3,5,6,6,6,6,6,5,4,50,50,1,1,3.5,5.5,3,50,1,6,4,5.75
3,4,3,2,3,1,3,4,3,5,3,1,4,5,6,6,6,6,6,6,5,65,65,1,1,4,5.5,3,65,1,6,5,6
4,1,1,3,3,1,4,3,3,3,4,2,3,5,6,4,6,3,4,4,4,15,30,1,1,3.25,5.5,3.5,22.5,2,6,4,3.75
4,2,2,3,3,1,3,3,3,3,4,1,2,5,6,6,6,5,6,5,4,25,35,1,1,3,5.5,3,30,1,6,4,5.5
4,3,3,1,3,1,3,3,2,3,4,1,1,4,6,6,6,5,6,5,4,20,30,1,1,2.75,5,2.5,25,1,6,4,5.5
4,4,3,2,3,1,3,3,2,3,4,1,2,5,5,6,6,5,6,5,3,20,30,1,1,3,5,2.5,25,1,6,3,5.5
5,1,1,3,3,1,3,4,5,4,4,2,4,5,6,6,6,5,6,5,4,30,40,1,1,4,5.5,4,35,2,6,4,5.5
5,2,2,3,3,1,3,3,4,3,4,1,2,6,6,6,6,5,6,4,4,30,40,1,1,3,6,3.5,35,1,6,4,5.25
5,3,3,1,3,1,4,5,4,4,4,1,4,4,5,6,6,5,6,6,4,30,30,1,1,4.25,4.5,4,30,1,6,4,5.75
5,4,3,2,3,1,3,4,4,4,4,1,3,5,6,6,6,6,6,7,4,70,50,1,1,3.75,5.5,3.5,60,1,6,4,6.25
6,1,1,3,3,1,6,4,3,5,6,5,5,5,6,6,5,7,6,6,5,30,70,1,0,5,5.5,4.5,50,5,5,5,6.25
6,2,2,3,3,1,7,4,5,6,6,5,6,5,6,6,5,6,7,6,5,10,70,1,0,5.5,5.5,6,40,5,5,5,6.25
6,3,3,1,3,1,6,4,4,6,6,2,6,4,6,6,5,6,7,7,4,25,40,1,0,5.5,5,5,32.5,2,5,4,6.5
6,4,3,2,3,1,4,4,3,5,6,2,5,4,6,6,5,6,6,6,4,50,50,1,0,5,5,3.5,50,2,5,4,6
7,1,1,3,3,1,3,3,2,2,3,1,2,4,6,5,7,4,5,4,3,10,30,1,1,2.5,5,2.5,20,1,7,3,4.5
7,2,2,3,3,1,3,3,2,2,3,1,2,5,6,5,7,4,5,5,3,50,50,1,1,2.5,5.5,2.5,50,1,7,3,4.75
7,3,3,1,3,1,3,4,3,4,4,1,3,6,6,5,7,5,5,5,3,40,40,1,1,3.75,6,3,40,1,7,3,5
7,4,3,2,3,1,3,3,3,3,3,1,3,6,6,5,7,5,5,5,3,20,30,1,1,3,6,3,25,1,7,3,5
8,1,1,3,3,1,3,4,2,3,4,1,4,6,6,6,4,5,6,5,4,20,40,1,0,3.75,6,2.5,30,1,4,4,5.5
8,2,2,3,3,1,2,4,2,3,4,1,4,6,6,6,4,5,6,5,4,5,50,1,0,3.75,6,2,27.5,1,4,4,5.5
8,3,3,1,3,1,2,4,2,5,4,1,5,6,6,6,6,5,6,5,4,15,30,1,0,4.5,6,2,22.5,1,6,4,5.5
8,4,3,2,3,1,2,4,2,5,4,1,4,5,5,6,6,5,6,5,3,18,30,1,0,4.25,5,2,24,1,6,3,5.5
9,1,1,3,3,1,6,5,6,6,4,5,6,7,7,7,7,6,7,6,5,20,60,1,1,5.25,7,6,40,5,7,5,6.5
9,2,2,3,3,1,7,5,6,6,4,6,5,7,7,7,7,6,7,6,6,5,50,1,1,5,7,6.5,27.5,6,7,6,6.5
9,3,3,1,3,1,6,5,5,6,4,5,5,7,7,7,7,7,7,7,6,70,70,1,1,5,7,5.5,70,5,7,6,7
9,4,3,2,3,1,6,5,6,6,4,6,5,7,7,7,7,7,7,7,6,60,70,1,1,5,7,6,65,6,7,6,7
10,1,1,3,3,1,3,3,2,2,3,1,2,5,5,5,6,4,5,4,3,15,30,1,1,2.5,5,2.5,22.5,1,6,3,4.5
