Dyad,Cov,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency
8,1,2658.0,3552.0,0.0,2790.0,59.06666666666667,56.38095238095238,0.0,48.94736842105263,107.06896551724138,56.38095238095238,39.0,49.0,0.0,38.0,83.0,49.0,56.339605173546531,28.768605337437275,0.0,32.306873448573775,82.00333510227108,28.768605337437275,45.0,63.0,0.0,57.0,58.0,63.0,2983.0,4254.0,1763.0,0.0,0.0,129.69565217391303,177.25,76.652173913043484,0.0,0.0,76.652173913043484,301.54166666666669,127.0,159.5,67.0,0.0,0.0,67.0,274.5,54.771013265594121,119.84825475019095,33.561894406360125,0.0,0.0,33.561894406360125,139.99731520243125,23.0,24.0,23.0,0.0,0.0,23.0,24.0,7018.0,0.0,1982.0,0.0,0.0,292.41666666666669,0.0,86.173913043478265,0.0,0.0,86.173913043478265,292.41666666666669,267.0,0.0,83.0,0.0,0.0,83.0,267.0,168.53434780153535,0.0,54.035135247446448,0.0,0.0,54.035135247446448,168.53434780153535,24.0,0.0,23.0,0.0,0.0,23.0,24.0
8,2,551.0,3677.0,343.0,4429.0,45.916666666666664,61.283333333333331,42.875,77.701754385964918,80.192982456140356,67.0,46.0,53.5,34.0,63.0,64.0,61.0,16.585427003513921,32.171981426217577,32.13423991632601,68.654478115729503,62.694032452379723,39.118623015983914,12.0,60.0,8.0,57.0,57.0,60.0,1477.0,6978.0,545.0,0.0,0.0,147.69999999999999,536.76923076923072,45.416666666666664,0.0,0.0,45.416666666666664,650.38461538461536,113.5,522.0,43.0,0.0,0.0,43.0,683.0,110.94147105568773,353.49075797866539,13.028547714751463,0.0,0.0,13.028547714751463,308.89095373897754,10.0,13.0,12.0,0.0,0.0,12.0,13.0,7495.0,0.0,1505.0,0.0,0.0,499.66666666666669,0.0,107.5,0.0,0.0,107.5,499.66666666666669,316.0,0.0,51.0,0.0,0.0,51.0,316.0,408.82215639022741,0.0,166.01667300089383,0.0,0.0,166.01667300089383,408.82215639022741,15.0,0.0,14.0,0.0,0.0,14.0,15.0
10,1,1230.0,3277.0,3142.0,1351.0,61.5,55.542372881355931,62.840000000000003,31.418604651162791,173.84090909090909,128.38,44.0,35.0,42.0,25.0,82.0,77.0,47.444177724985387,58.898166077143607,73.796845461035815,25.235848033303306,169.76507071696813,124.39483751345954,20.0,59.0,50.0,43.0,44.0,50.0,576.0,7086.0,480.0,0.0,858.0,115.2,885.75,68.571428571428569,0.0,143.0,68.571428571428569,1065.0,113.0,275.0,65.0,0.0,142.0,65.0,450.0,40.375239937367553,1701.1337212282872,24.359551619478566,0.0,65.693733846286037,24.359551619478566,1749.7980597771848,5.0,8.0,7.0,0.0,6.0,7.0,8.0,7617.0,0.0,1383.0,0.0,0.0,423.16666666666669,0.0,76.833333333333329,0.0,0.0,76.833333333333329,423.16666666666669,471.0,0.0,55.0,0.0,0.0,55.0,471.0,203.861404444839,0.0,66.879867424111026,0.0,0.0,66.879867424111026,203.861404444839,18.0,0.0,18.0,0.0,0.0,18.0,18.0
10,2,4607.0,2013.0,1297.0,1083.0,184.28,61.0,56.391304347826086,57.0,395.85000000000002,106.7741935483871,109.0,35.0,49.0,29.0,291.5,87.0,217.49749791664269,63.286266402368177,38.198268946021486,78.064750452159231,426.11257608758746,74.959218881451648,25.0,33.0,23.0,19.0,20.0,31.0,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,0.0,9000.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,1,950.0,44.0,1315.0,6691.0,41.304347826086953,22.0,36.527777777777779,117.3859649122807,40.508771929824562,35.763157894736842,27.0,22.0,32.0,89.0,34.0,29.5,36.879869355857323,3.0,19.408597910191919,84.718678813225239,27.42077763048059,19.179806006546404,23.0,2.0,36.0,57.0,57.0,38.0,3280.0,4168.0,1552.0,0.0,0.0,164.0,208.40000000000001,77.599999999999994,0.0,0.0,77.599999999999994,372.39999999999998,106.0,160.0,73.5,0.0,0.0,73.5,311.0,137.15210534293669,127.39560431977236,31.447416428062891,0.0,0.0,31.447416428062891,212.61006561308429,20.0,20.0,20.0,0.0,0.0,20.0,20.0,6398.0,0.0,2602.0,0.0,0.0,304.66666666666669,0.0,130.09999999999999,0.0,0.0,130.09999999999999,304.66666666666669,265.0,0.0,59.5,0.0,0.0,59.5,265.0,179.25755169941891,0.0,162.42933848292307,0.0,0.0,162.42933848292307,179.25755169941891,21.0,0.0,20.0,0.0,0.0,20.0,21.0
12,2,714.0,43.0,455.0,7788.0,42.0,14.333333333333334,35.0,243.375,37.875,31.125,33.0,16.0,36.0,131.0,33.0,33.0,25.353964767108216,3.0912061651652345,14.021960797812287,292.58991673500987,21.858565254837746,15.053550245706161,17.0,3.0,13.0,32.0,32.0,16.0,1308.0,7367.0,325.0,0.0,0.0,327.0,1473.4000000000001,81.25,0.0,0.0,81.25,1735.0,257.0,1687.0,84.5,0.0,0.0,84.5,1687.0,281.67356993512897,753.69664985324164,11.366067921669305,0.0,0.0,11.366067921669305,854.61546908536593,4.0,5.0,4.0,0.0,0.0,4.0,5.0,7734.0,0.0,1266.0,0.0,0.0,1289.0,0.0,253.19999999999999,0.0,0.0,253.19999999999999,1289.0,1355.0,0.0,74.0,0.0,0.0,74.0,1355.0,851.99608762794992,0.0,291.82282295941144,0.0,0.0,291.82282295941144,851.99608762794992,6.0,0.0,5.0,0.0,0.0,5.0,6.0
14,1,995.0,511.0,3339.0,4155.0,29.264705882352942,25.550000000000001,46.375,49.464285714285715,57.0,49.358974358974358,24.0,17.5,33.0,36.5,48.0,39.5,22.834840284001277,18.405094403452541,36.639170561633136,39.862396180507034,42.397280711912479,37.054697739815481,34.0,20.0,72.0,84.0,85.0,78.0,2674.0,4103.0,1928.0,72.0,223.0,121.54545454545455,146.53571428571428,71.407407407407405,72.0,74.333333333333329,74.074074074074076,250.0,79.5,106.0,74.0,72.0,64.0,74.0,231.5,93.611249941994032,95.843057034052563,27.223708702171454,0.0,28.311756490114767,27.541115292414514,147.49188839681028,22.0,28.0,27.0,1.0,3.0,27.0,28.0,7581.0,0.0,1419.0,0.0,0.0,399.0,0.0,78.833333333333329,0.0,0.0,78.833333333333329,399.0,399.0,0.0,52.0,0.0,0.0,52.0,399.0,209.84706210400995,0.0,76.784149116569324,0.0,0.0,76.784149116569324,209.84706210400995,19.0,0.0,18.0,0.0,0.0,18.0,19.0
14,2,1506.0,1293.0,1514.0,4687.0,53.785714285714285,35.916666666666664,36.047619047619051,62.493333333333332,57.506666666666668,41.279411764705884,40.0,28.5,30.0,40.0,49.0,34.5,39.825832555961838,28.302311448596086,23.714524764524722,65.462329795251108,43.212150554624749,26.927378145144882,28.0,36.0,42.0,75.0,75.0,68.0,553.0,6955.0,814.0,152.0,526.0,42.53846153846154,316.13636363636363,47.882352941176471,38.0,105.2,48.299999999999997,382.57142857142856,35.0,250.0,44.0,37.5,59.0,43.5,309.0,22.224779603009946,221.50462655840141,12.750466441023551,3.2403703492039302,85.564946093596063,13.069429979918787,246.46985161496332,13.0,22.0,17.0,4.0,5.0,20.0,21.0,7381.0,0.0,1619.0,0.0,0.0,351.47619047619048,0.0,80.950000000000003,0.0,0.0,80.950000000000003,351.47619047619048,222.0,0.0,61.0,0.0,0.0,61.0,222.0,318.17240295873427,0.0,71.007376377387715,0.0,0.0,71.007376377387715,318.17240295873427,21.0,0.0,20.0,0.0,0.0,20.0,21.0
15,1,2585.0,2079.0,1243.0,3093.0,103.40000000000001,56.189189189189186,49.719999999999999,48.328125,92.296875,61.518518518518519,77.0,45.0,31.0,36.5,73.5,49.0,85.037403535150347,37.334744225313948,47.825114741106482,35.82730047023324,88.60969185272215,44.725392878940511,25.0,37.0,25.0,64.0,64.0,54.0,1668.0,4429.0,1287.0,0.0,1616.0,104.25,260.52941176470586,99.0,0.0,101.0,99.0,550.92857142857144,67.0,213.0,97.0,0.0,67.0,97.0,585.5,96.612952030253169,148.05687208043472,37.584775968673597,0.0,88.19367891181318,37.584775968673597,218.36125516011771,16.0,17.0,13.0,0.0,16.0,13.0,14.0,6892.0,0.0,2108.0,0.0,0.0,362.73684210526318,0.0,110.94736842105263,0.0,0.0,110.94736842105263,362.73684210526318,312.0,0.0,104.0,0.0,0.0,104.0,312.0,255.6111030669058,0.0,94.974497232961113,0.0,0.0,94.974497232961113,255.6111030669058,19.0,0.0,19.0,0.0,0.0,19.0,19.0
15,2,4483.0,2053.0,773.0,1691.0,263.70588235294116,136.86666666666667,55.214285714285715,56.366666666666667,252.0344827586207,122.8695652173913,215.0,96.0,29.0,35.0,159.0,83.0,335.84971511357355,129.62246033084784,55.919813216820401,57.224984830831438,286.19230124812577,127.44727958541918,17.0,15.0,14.0,30.0,29.0,23.0,314.0,8336.0,278.0,72.0,0.0,78.5,1190.8571428571429,69.5,36.0,0.0,58.333333333333336,1235.7142857142858,64.0,926.0,56.5,36.0,0.0,52.5,926.0,39.852854351978351,831.47758814765223,27.023138233743321,0.0,0.0,27.133415233291629,826.26746176244103,4.0,7.0,4.0,2.0,0.0,6.0,7.0,8693.0,0.0,307.0,0.0,0.0,1086.625,0.0,43.857142857142854,0.0,0.0,43.857142857142854,1086.625,1140.0,0.0,43.0,0.0,0.0,43.0,1140.0,903.84068528419323,0.0,19.917175441086531,0.0,0.0,19.917175441086531,903.84068528419323,8.0,0.0,7.0,0.0,0.0,7.0,8.0
