Dyad,Cov,StartFrame,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency
8,2,6000,425.0,1215.0,0.0,1360.0,47.222222222222221,55.227272727272727,0.0,75.555555555555557,86.315789473684205,55.227272727272727,11.801862167356639,29.068777092490365,0.0,87.47394673858436,88.686350122557982,29.068777092490365,9.0,22.0,0.0,18.0,19.0,22.0,584.0,2226.0,190.0,0.0,0.0,116.8,445.19999999999999,47.5,0.0,0.0,47.5,562.0,35.863072930244002,368.84977972068788,17.698870020427858,0.0,0.0,17.698870020427858,351.576449723243,5.0,5.0,4.0,0.0,0.0,4.0,5.0,2407.0,0.0,593.0,0.0,0.0,481.39999999999998,0.0,118.59999999999999,0.0,0.0,118.59999999999999,481.39999999999998,434.7604397826463,0.0,138.07331385897854,0.0,0.0,138.07331385897854,434.7604397826463,5.0,0.0,5.0,0.0,0.0,5.0,5.0
10,1,0,300.0,1098.0,1024.0,578.0,42.857142857142854,39.214285714285715,46.545454545454547,32.111111111111114,127.47368421052632,96.454545454545453,25.396448409900444,29.88233728530372,40.353807157021947,20.872333865374383,124.44798889117563,81.397859739970642,7.0,28.0,22.0,18.0,19.0,22.0,398.0,1501.0,375.0,0.0,726.0,99.5,214.42857142857142,62.5,0.0,145.19999999999999,62.5,375.0,28.376927247325423,145.37720114324975,20.838665984174707,0.0,71.761828293320406,20.838665984174707,124.84161394113971,4.0,7.0,6.0,0.0,5.0,6.0,7.0,2652.0,0.0,348.0,0.0,0.0,331.5,0.0,49.714285714285715,0.0,0.0,49.714285714285715,331.5,164.43767816409959,0.0,36.082105916187032,0.0,0.0,36.082105916187032,164.43767816409959,8.0,0.0,7.0,0.0,0.0,7.0,8.0
10,1,3000,614.0,787.0,1196.0,403.0,87.714285714285708,43.722222222222221,85.428571428571431,33.583333333333336,199.76923076923077,132.19999999999999,59.994557576296124,26.520025045143942,104.1891921223216,34.395877498457409,149.82099773044746,115.04677309685832,7.0,18.0,14.0,12.0,13.0,15.0,178.0,2585.0,105.0,0.0,132.0,178.0,1292.5,105.0,0.0,132.0,105.0,1447.5,0.0,1084.5,0.0,0.0,0.0,0.0,1239.5,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2452.0,0.0,548.0,0.0,0.0,408.66666666666669,0.0,109.59999999999999,0.0,0.0,109.59999999999999,408.66666666666669,124.2251540103247,0.0,86.852979223513103,0.0,0.0,86.852979223513103,124.2251540103247,6.0,0.0,5.0,0.0,0.0,5.0,6.0
10,1,6000,316.0,1392.0,922.0,370.0,52.666666666666664,99.428571428571431,61.466666666666669,28.46153846153846,187.85714285714286,154.26666666666668,35.584016386886717,97.503636771524938,61.163024414719352,19.93688265353509,211.54427336100764,161.31975149442249,6.0,14.0,15.0,13.0,14.0,15.0,0.0,5292.0,0.0,0.0,0.0,0.0,5292.0,0.0,0.0,0.0,0.0,5292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2513.0,0.0,487.0,0.0,0.0,418.83333333333331,0.0,81.166666666666671,0.0,0.0,81.166666666666671,418.83333333333331,288.59684490459853,0.0,61.984989222301948,0.0,0.0,61.984989222301948,288.59684490459853,6.0,0.0,6.0,0.0,0.0,6.0,6.0
10,2,0,1093.0,903.0,394.0,610.0,136.625,112.875,65.666666666666671,122.0,398.33333333333331,144.11111111111111,115.079252582731,93.106709613217461,44.37216344611663,128.57215872808544,313.08447564337791,82.077801092005174,8.0,8.0,6.0,5.0,6.0,9.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,2,3000,2041.0,477.0,177.0,305.0,204.09999999999999,43.363636363636367,35.399999999999999,38.125,299.44444444444446,59.454545454545453,305.6244263798298,32.611411073907931,9.2217135067188032,22.234193823928045,532.63811169000235,41.711920328853971,10.0,11.0,5.0,8.0,9.0,11.0,0.0,5911.0,0.0,0.0,0.0,0.0,5911.0,0.0,0.0,0.0,0.0,5911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5911.0,0.0,0.0,0.0,0.0,5911.0,0.0,0.0,0.0,0.0,5911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,2,6000,1473.0,633.0,726.0,168.0,184.125,45.214285714285715,55.846153846153847,28.0,404.57142857142856,113.25,124.90640245800053,40.251315100837864,40.412957087940448,5.1316014394468841,237.63949716376041,71.836765192576237,8.0,14.0,13.0,6.0,7.0,12.0,0.0,8911.0,0.0,0.0,0.0,0.0,8911.0,0.0,0.0,0.0,0.0,8911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8911.0,0.0,0.0,0.0,0.0,8911.0,0.0,0.0,0.0,0.0,8911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,1,0,94.0,25.0,430.0,2451.0,18.800000000000001,25.0,28.666666666666668,116.71428571428571,26.142857142857142,28.4375,10.067770358922575,0.0,11.591184389679754,97.662266855459265,11.728214715299309,11.25815676520806,5.0,1.0,15.0,21.0,21.0,16.0,907.0,1454.0,639.0,0.0,0.0,82.454545454545453,145.40000000000001,63.899999999999999,0.0,0.0,63.899999999999999,214.63636363636363,24.114739500086351,94.068273078652823,15.738170160472912,0.0,0.0,15.738170160472912,110.74727390634024,11.0,10.0,10.0,0.0,0.0,10.0,11.0,2521.0,0.0,479.0,0.0,0.0,252.09999999999999,0.0,47.899999999999999,0.0,0.0,47.899999999999999,252.09999999999999,110.10036330548596,0.0,15.319595294915594,0.0,0.0,15.319595294915594,110.10036330548596,10.0,0.0,10.0,0.0,0.0,10.0,10.0
12,1,3000,495.0,19.0,551.0,1935.0,55.0,19.0,45.916666666666664,96.75,53.25,43.846153846153847,43.81780460041329,0.0,21.414396766868983,61.882045053472496,32.21626142183478,21.788656730743583,9.0,1.0,12.0,20.0,20.0,13.0,1223.0,1357.0,420.0,0.0,0.0,244.59999999999999,339.25,105.0,0.0,0.0,105.0,516.0,149.89276166646607,130.48251798612716,46.124830622995248,0.0,0.0,46.124830622995248,237.61902280751852,5.0,4.0,4.0,0.0,0.0,4.0,5.0,1832.0,0.0,1168.0,0.0,0.0,458.0,0.0,233.59999999999999,0.0,0.0,233.59999999999999,458.0,235.3178701246465,0.0,231.9022207741875,0.0,0.0,231.9022207741875,235.3178701246465,4.0,0.0,5.0,0.0,0.0,5.0,4.0
12,1,6000,361.0,0.0,334.0,2305.0,36.100000000000001,0.0,37.111111111111114,135.58823529411765,40.882352941176471,37.111111111111114,28.828631601239767,0.0,21.226003153597784,87.898376364265388,25.286318907176518,21.226003153597784,10.0,0.0,9.0,17.0,17.0,9.0,1150.0,1357.0,493.0,0.0,0.0,191.66666666666666,226.16666666666666,82.166666666666671,0.0,0.0,82.166666666666671,417.83333333333331,102.49986449855543,98.260566296398309,25.122477761735386,0.0,0.0,25.122477761735386,126.37169602231172,6.0,6.0,6.0,0.0,0.0,6.0,6.0,2045.0,0.0,955.0,0.0,0.0,292.14285714285717,0.0,136.42857142857142,0.0,0.0,136.42857142857142,292.14285714285717,172.91817104500907,0.0,102.95194044220986,0.0,0.0,102.95194044220986,172.91817104500907,7.0,0.0,7.0,0.0,0.0,7.0,7.0
