0.000,110.000,1.000
110.000,543.000,2.000
543.000,581.000,3.000
581.000,714.000,1.000
714.000,934.000,2.000
934.000,972.000,4.000
972.000,1132.000,2.000
1132.000,1172.000,3.000
1172.000,1249.000,1.000
1249.000,3032.000,2.000
3032.000,3126.000,3.000
3126.000,3256.000,1.000
3256.000,3452.000,5.000
3452.000,4011.000,2.000
4011.000,4066.000,3.000
4066.000,4117.000,1.000
4117.000,5390.000,2.000
5390.000,5469.000,3.000
5469.000,6008.000,1.000
6008.000,6176.000,2.000
6176.000,6210.000,3.000
6210.000,6245.000,1.000
6245.000,6556.000,2.000
6556.000,6596.000,3.000
6596.000,8478.000,2.000
8478.000,8627.000,3.000
8627.000,8714.000,1.000
8714.000,9552.000,2.000
