0.000,442.000,1.000
442.000,471.000,3.000
471.000,773.000,1.000
773.000,960.000,3.000
960.000,1881.000,1.000
1881.000,1965.000,3.000
1965.000,2230.000,1.000
2230.000,2255.000,3.000
2255.000,2430.000,1.000
2430.000,2509.000,3.000
2509.000,3154.000,1.000
3154.000,3420.000,3.000
3420.000,4000.000,1.000
4000.000,4239.000,3.000
4239.000,5733.000,1.000
5733.000,5774.000,3.000
5774.000,6348.000,1.000
6348.000,6383.000,3.000
6383.000,6684.000,1.000
6684.000,6827.000,3.000
6827.000,7234.000,1.000
7234.000,7265.000,3.000
7265.000,7711.000,1.000
7711.000,7824.000,3.000
7824.000,8017.000,1.000
8017.000,8177.000,3.000
8177.000,9047.000,1.000
9047.000,9161.000,3.000
9161.000,9205.000,1.000
