0.000,17.000,2.000
17.000,44.000,4.000
44.000,97.000,2.000
97.000,171.000,4.000
171.000,281.000,2.000
281.000,314.000,4.000
314.000,372.000,2.000
372.000,433.000,4.000
433.000,470.000,2.000
470.000,488.000,3.000
488.000,716.000,4.000
716.000,734.000,1.000
734.000,860.000,4.000
860.000,899.000,2.000
899.000,1060.000,1.000
1060.000,1114.000,4.000
1114.000,1191.000,2.000
1191.000,1232.000,3.000
1232.000,1254.000,3.000
1254.000,1404.000,4.000
1404.000,1434.000,3.000
1434.000,1475.000,4.000
1475.000,1549.000,2.000
1549.000,1748.000,4.000
1748.000,1835.000,2.000
1835.000,1893.000,1.000
1893.000,1952.000,4.000
1952.000,2117.000,2.000
2117.000,2693.000,4.000
2693.000,2880.000,1.000
2880.000,2938.000,2.000
2938.000,2960.000,4.000
2960.000,3077.000,2.000
3077.000,3131.000,4.000
3131.000,3155.000,1.000
3155.000,3166.000,2.000
3166.000,3228.000,4.000
3228.000,3276.000,2.000
3276.000,3530.000,4.000
3530.000,3551.000,2.000
3551.000,3560.000,3.000
3560.000,3632.000,4.000
3632.000,3678.000,2.000
3678.000,3968.000,4.000
3968.000,4145.000,2.000
4145.000,4260.000,4.000
4260.000,4331.000,2.000
4331.000,4363.000,1.000
4363.000,4381.000,4.000
4381.000,4483.000,2.000
4483.000,4529.000,3.000
4529.000,4556.000,4.000
4556.000,4664.000,2.000
4664.000,4688.000,4.000
4688.000,4733.000,1.000
4733.000,4744.000,2.000
4744.000,4845.000,4.000
4845.000,4981.000,2.000
4981.000,5053.000,4.000
5053.000,5067.000,3.000
5067.000,5112.000,2.000
5112.000,5132.000,4.000
5132.000,5161.000,2.000
5161.000,5350.000,1.000
5350.000,5402.000,2.000
5402.000,5455.000,1.000
5455.000,5483.000,4.000
5483.000,5505.000,1.000
5505.000,5640.000,4.000
5640.000,5663.000,2.000
5663.000,5721.000,1.000
5721.000,5735.000,4.000
5735.000,5820.000,2.000
5820.000,5863.000,1.000
5863.000,5888.000,4.000
5888.000,5903.000,2.000
5903.000,6017.000,4.000
6017.000,6051.000,2.000
6051.000,6091.000,1.000
6091.000,6194.000,4.000
6194.000,6287.000,2.000
6287.000,6334.000,1.000
6334.000,6403.000,4.000
6403.000,6506.000,2.000
6506.000,6548.000,1.000
6548.000,6607.000,4.000
6607.000,6623.000,1.000
6623.000,6681.000,4.000
6681.000,6697.000,2.000
6697.000,6784.000,4.000
6784.000,6822.000,3.000
6822.000,7103.000,4.000
7103.000,7141.000,1.000
7141.000,7271.000,4.000
7271.000,7287.000,1.000
7287.000,7638.000,4.000
7638.000,7668.000,2.000
7668.000,7864.000,4.000
7864.000,7898.000,2.000
7898.000,8080.000,4.000
8080.000,8085.000,2.000
8085.000,8101.000,4.000
8101.000,8114.000,2.000
8114.000,8167.000,4.000
8167.000,8198.000,3.000
8198.000,8223.000,1.000
8223.000,8291.000,2.000
8291.000,8330.000,1.000
8330.000,8353.000,4.000
8353.000,8372.000,2.000
8372.000,8419.000,1.000
8419.000,8544.000,4.000
8544.000,8574.000,1.000
8574.000,8624.000,2.000
8624.000,8680.000,4.000
8680.000,8737.000,2.000
8737.000,8851.000,4.000
8851.000,8888.000,1.000
8888.000,8964.000,4.000
8964.000,8978.000,3.000
8978.000,9053.000,2.000
9053.000,9072.000,3.000
9072.000,9217.000,4.000
