Dyad,Cov,StartFrame,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,216.0,91.0,530.0,2163.0,15.428571428571429,13.0,25.238095238095237,60.083333333333336,23.25,25.875,128.23809523809524,14.0,14.0,15.0,33.0,14.5,14.5,57.0,9.0924952234111771,4.4721359549995796,24.442166457451901,66.688069481063181,22.627877349263969,24.866832830097202,152.51476267714912,14.0,7.0,21.0,36.0,36.0,24.0,21.0,31.0,18.0,107.0,259.0,107.0,107.0,660.0,4.0,5.0,1.0,4.0,1.0,1.0,4.0,170.0,1834.0,404.0,0.0,592.0,56.666666666666664,305.66666666666669,80.799999999999997,0.0,118.40000000000001,80.799999999999997,432.66666666666669,48.0,369.5,106.0,0.0,121.0,106.0,516.0,24.458581770458856,141.2476155157633,38.280020898635883,0.0,73.194535315144932,38.280020898635883,160.91474623400913,3.0,6.0,5.0,0.0,5.0,5.0,6.0,90.0,445.0,119.0,0.0,245.0,119.0,602.0,32.0,60.0,24.0,0.0,21.0,24.0,182.0,2550.0,0.0,450.0,0.0,0.0,510.0,0.0,112.5,0.0,0.0,112.5,510.0,361.0,0.0,96.5,0.0,0.0,96.5,361.0,331.67031823785499,0.0,74.453005312075888,0.0,0.0,74.453005312075888,331.67031823785499,5.0,0.0,4.0,0.0,0.0,4.0,5.0,1134.0,0.0,230.0,0.0,0.0,230.0,1134.0,232.0,0.0,27.0,0.0,0.0,27.0,232.0
1,1,3000,417.0,244.0,385.0,1954.0,29.785714285714285,20.333333333333332,27.5,54.277777777777779,28.27027027027027,25.16,93.560000000000002,21.0,20.5,19.5,31.0,23.0,20.0,57.0,22.624823823871523,7.951240294584375,19.107777025524001,60.369975572442335,19.855761841473935,16.858659495938582,83.797412847891678,14.0,12.0,14.0,36.0,37.0,25.0,25.0,91.0,31.0,73.0,251.0,91.0,73.0,282.0,7.0,9.0,9.0,7.0,7.0,9.0,10.0,148.0,1863.0,510.0,0.0,479.0,37.0,232.875,85.0,0.0,159.66666666666666,85.0,355.71428571428572,29.5,143.5,57.5,0.0,154.0,57.5,249.0,27.649593125396983,148.67703042164919,57.685931271555859,0.0,17.211107524567449,57.685931271555859,231.82981090552138,4.0,8.0,6.0,0.0,3.0,6.0,7.0,80.0,483.0,203.0,0.0,183.0,203.0,709.0,9.0,86.0,39.0,0.0,142.0,39.0,120.0,2581.0,0.0,419.0,0.0,0.0,322.625,0.0,59.857142857142854,0.0,0.0,59.857142857142854,322.625,319.0,0.0,58.0,0.0,0.0,58.0,319.0,214.01047725520357,0.0,39.901409110200497,0.0,0.0,39.901409110200497,214.01047725520357,8.0,0.0,7.0,0.0,0.0,7.0,8.0,690.0,0.0,124.0,0.0,0.0,124.0,690.0,55.0,0.0,16.0,0.0,0.0,16.0,55.0
1,1,6000,324.0,191.0,341.0,2144.0,19.058823529411764,23.875,22.733333333333334,73.931034482758619,28.533333333333335,29.555555555555557,112.95454545454545,18.0,9.5,22.0,39.0,21.0,22.5,64.5,9.6982144398749668,31.338624331645445,11.874154940691804,85.265075938463298,24.306012059205067,24.056004614746215,120.14857365805936,17.0,8.0,15.0,29.0,30.0,18.0,22.0,37.0,104.0,45.0,376.0,104.0,104.0,471.0,6.0,7.0,7.0,8.0,6.0,7.0,11.0,366.0,1656.0,590.0,0.0,388.0,45.75,184.0,84.285714285714292,0.0,77.599999999999994,84.285714285714292,301.25,35.0,107.0,49.0,0.0,47.0,49.0,316.5,28.860656610687151,172.3658898970443,59.360194179780315,0.0,70.774571704815003,59.360194179780315,174.70242556988154,8.0,9.0,7.0,0.0,5.0,7.0,8.0,96.0,589.0,184.0,0.0,206.0,184.0,654.0,11.0,17.0,34.0,0.0,8.0,34.0,23.0,2498.0,0.0,502.0,0.0,0.0,499.60000000000002,0.0,125.5,0.0,0.0,125.5,499.60000000000002,572.0,0.0,128.0,0.0,0.0,128.0,572.0,325.78127631894381,0.0,87.170809334317866,0.0,0.0,87.170809334317866,325.78127631894381,5.0,0.0,4.0,0.0,0.0,4.0,5.0,901.0,0.0,220.0,0.0,0.0,220.0,901.0,73.0,0.0,26.0,0.0,0.0,26.0,73.0
1,2,0,1072.0,146.0,112.0,1670.0,82.461538461538467,24.333333333333332,22.399999999999999,83.5,66.5,23.454545454545453,99.0,29.0,17.5,19.0,52.5,27.5,18.0,89.5,144.62184928267521,15.744487571492726,17.928747864811978,78.387180074295316,123.70105092520436,16.800236125849466,78.524589213259247,13.0,6.0,5.0,20.0,20.0,11.0,18.0,558.0,57.0,57.0,275.0,558.0,57.0,275.0,7.0,9.0,8.0,7.0,7.0,8.0,7.0,0.0,2961.0,0.0,39.0,0.0,0.0,1480.5,0.0,39.0,0.0,39.0,1480.5,0.0,1480.5,0.0,39.0,0.0,39.0,1480.5,0.0,885.5,0.0,0.0,0.0,0.0,885.5,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2366.0,0.0,39.0,0.0,39.0,2366.0,0.0,595.0,0.0,39.0,0.0,39.0,595.0,2563.0,0.0,437.0,0.0,0.0,640.75,0.0,145.66666666666666,0.0,0.0,145.66666666666666,640.75,283.0,0.0,98.0,0.0,0.0,98.0,283.0,772.94222778937365,0.0,80.474978858165741,0.0,0.0,80.474978858165741,772.94222778937365,4.0,0.0,3.0,0.0,0.0,3.0,4.0,1963.0,0.0,259.0,0.0,0.0,259.0,1963.0,34.0,0.0,80.0,0.0,0.0,80.0,34.0
1,2,3000,1661.0,158.0,7.0,1174.0,166.09999999999999,31.600000000000001,7.0,83.857142857142861,121.73333333333333,27.5,90.84615384615384,40.0,22.0,7.0,65.0,35.0,18.0,78.0,241.84021584509054,23.846173697262209,0.0,60.583893596114358,207.67714259290923,23.620259665521601,65.132818330459486,10.0,5.0,1.0,14.0,15.0,6.0,13.0,798.0,72.0,7.0,240.0,798.0,72.0,240.0,14.0,6.0,7.0,12.0,6.0,6.0,12.0,0.0,2902.0,98.0,0.0,0.0,0.0,1451.0,98.0,0.0,0.0,98.0,1451.0,0.0,1451.0,98.0,0.0,0.0,98.0,1451.0,0.0,342.0,0.0,0.0,0.0,0.0,342.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1793.0,98.0,0.0,0.0,98.0,1793.0,0.0,1109.0,98.0,0.0,0.0,98.0,1109.0,2275.0,0.0,725.0,0.0,0.0,455.0,0.0,181.25,0.0,0.0,181.25,455.0,144.0,0.0,170.5,0.0,0.0,170.5,144.0,506.67070173831843,0.0,146.01947644064472,0.0,0.0,146.01947644064472,506.67070173831843,5.0,0.0,4.0,0.0,0.0,4.0,5.0,1368.0,0.0,376.0,0.0,0.0,376.0,1368.0,54.0,0.0,8.0,0.0,0.0,8.0,54.0
1,2,6000,2275.0,43.0,128.0,554.0,227.5,14.333333333333334,64.0,55.399999999999999,222.36363636363637,34.200000000000003,68.200000000000003,255.0,13.0,64.0,32.0,188.0,14.0,32.0,181.55178324654375,5.7927157323275891,50.0,49.669306417545229,199.93283996349317,40.151712292254736,71.524541242848954,10.0,3.0,2.0,10.0,11.0,5.0,10.0,526.0,22.0,114.0,138.0,556.0,114.0,225.0,3.0,8.0,14.0,10.0,3.0,8.0,10.0,0.0,2910.0,90.0,0.0,0.0,0.0,1455.0,90.0,0.0,0.0,90.0,1455.0,0.0,1455.0,90.0,0.0,0.0,90.0,1455.0,0.0,583.0,0.0,0.0,0.0,0.0,583.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2038.0,90.0,0.0,0.0,90.0,2038.0,0.0,872.0,90.0,0.0,0.0,90.0,872.0,2970.0,0.0,30.0,0.0,0.0,1485.0,0.0,30.0,0.0,0.0,30.0,1485.0,1485.0,0.0,30.0,0.0,0.0,30.0,1485.0,455.0,0.0,0.0,0.0,0.0,0.0,455.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1940.0,0.0,30.0,0.0,0.0,30.0,1940.0,1030.0,0.0,30.0,0.0,0.0,30.0,1030.0
3,1,0,1004.0,1095.0,339.0,562.0,52.842105263157897,73.0,30.818181818181817,28.100000000000001,116.0952380952381,59.75,47.421052631578945,37.0,54.0,31.0,25.0,66.0,45.0,39.0,53.973934408822444,55.742264037263503,12.096717675154558,14.979652866471907,94.750250539638486,47.879405802495086,33.655086093257857,19.0,15.0,11.0,20.0,21.0,24.0,19.0,269.0,201.0,48.0,63.0,286.0,201.0,156.0,18.0,13.0,13.0,6.0,18.0,13.0,13.0,1211.0,741.0,445.0,0.0,603.0,201.83333333333334,105.85714285714286,63.571428571428569,0.0,120.59999999999999,63.571428571428569,319.375,143.5,123.0,67.0,0.0,114.0,67.0,276.5,172.79411319705181,36.976550760210849,13.091514622152809,0.0,47.894049734805265,13.091514622152809,198.47162108220914,6.0,7.0,7.0,0.0,5.0,7.0,8.0,551.0,142.0,79.0,0.0,175.0,79.0,798.0,34.0,32.0,39.0,0.0,41.0,39.0,102.0,2028.0,0.0,972.0,0.0,0.0,289.71428571428572,0.0,138.85714285714286,0.0,0.0,138.85714285714286,289.71428571428572,261.0,0.0,129.0,0.0,0.0,129.0,261.0,87.414798168133458,0.0,136.51941627625047,0.0,0.0,136.51941627625047,87.414798168133458,7.0,0.0,7.0,0.0,0.0,7.0,7.0,412.0,0.0,433.0,0.0,0.0,433.0,412.0,156.0,0.0,12.0,0.0,0.0,12.0,156.0
3,1,3000,1398.0,1060.0,268.0,274.0,63.545454545454547,55.789473684210527,29.777777777777779,24.90909090909091,227.16666666666666,60.363636363636367,30.111111111111111,48.0,55.0,20.0,20.0,188.0,60.0,21.0,39.780908249523719,31.663658310715277,19.222543349918766,16.356564128283321,156.36700063916584,31.13102143951863,23.501510327090067,22.0,19.0,9.0,11.0,12.0,22.0,18.0,160.0,115.0,70.0,63.0,652.0,115.0,99.0,5.0,12.0,12.0,5.0,79.0,12.0,5.0,1703.0,691.0,235.0,0.0,371.0,567.66666666666663,172.75,78.333333333333329,0.0,123.66666666666667,78.333333333333329,691.25,753.0,147.5,80.0,0.0,75.0,80.0,698.0,348.88138703895083,57.551607275557473,17.594190960528863,0.0,87.85341326449543,17.594190960528863,265.57614256555502,3.0,4.0,3.0,0.0,3.0,3.0,4.0,871.0,271.0,99.0,0.0,247.0,99.0,1014.0,79.0,125.0,56.0,0.0,49.0,56.0,355.0,1705.0,0.0,1295.0,0.0,0.0,568.33333333333337,0.0,431.66666666666669,0.0,0.0,431.66666666666669,568.33333333333337,537.0,0.0,577.0,0.0,0.0,577.0,537.0,187.47503537508371,0.0,217.66385909368501,0.0,0.0,217.66385909368501,187.47503537508371,3.0,0.0,3.0,0.0,0.0,3.0,3.0,812.0,0.0,594.0,0.0,0.0,594.0,812.0,356.0,0.0,124.0,0.0,0.0,124.0,356.0
3,1,6000,1978.0,745.0,170.0,107.0,131.86666666666667,49.666666666666664,34.0,26.75,578.60000000000002,61.0,39.571428571428569,69.0,25.0,30.0,23.0,411.0,56.0,30.0,203.97642565311861,48.326206371100788,14.587666023048376,14.060138690638865,421.57874709240264,49.380157958435085,24.447361194774274,15.0,15.0,5.0,4.0,5.0,15.0,7.0,871.0,206.0,56.0,49.0,1247.0,206.0,84.0,16.0,16.0,12.0,12.0,107.0,16.0,12.0,1889.0,879.0,232.0,0.0,0.0,944.5,293.0,116.0,0.0,0.0,116.0,922.66666666666663,944.5,155.0,116.0,0.0,0.0,116.0,1176.0,76.5,234.38429981549532,26.0,0.0,0.0,26.0,595.06768989380987,2.0,3.0,2.0,0.0,0.0,2.0,3.0,1021.0,623.0,142.0,0.0,0.0,142.0,1491.0,868.0,101.0,90.0,0.0,0.0,90.0,101.0,1376.0,0.0,1624.0,0.0,0.0,458.66666666666669,0.0,812.0,0.0,0.0,812.0,458.66666666666669,265.0,0.0,812.0,0.0,0.0,812.0,265.0,283.12816100761779,0.0,70.0,0.0,0.0,70.0,283.12816100761779,3.0,0.0,2.0,0.0,0.0,2.0,3.0,859.0,0.0,882.0,0.0,0.0,882.0,859.0,252.0,0.0,742.0,0.0,0.0,742.0,252.0
3,2,0,1091.0,1369.0,91.0,449.0,47.434782608695649,59.521739130434781,30.333333333333332,29.933333333333334,159.4375,58.399999999999999,33.75,41.0,43.0,24.0,26.0,68.0,43.0,31.0,32.519995303166304,47.533850240797406,14.197026292697903,16.047706655123307,187.71087100578379,46.499032247994151,18.626258346753382,23.0,23.0,3.0,15.0,16.0,25.0,16.0,128.0,202.0,50.0,74.0,698.0,202.0,74.0,12.0,14.0,17.0,13.0,15.0,14.0,13.0,54.0,2570.0,123.0,48.0,205.0,54.0,642.5,61.5,48.0,205.0,57.0,707.25,54.0,461.5,61.5,48.0,205.0,48.0,591.0,0.0,485.5164775782589,24.5,0.0,0.0,20.992061991778385,467.94464149084985,1.0,4.0,2.0,1.0,1.0,3.0,4.0,54.0,1459.0,86.0,48.0,205.0,86.0,1459.0,54.0,188.0,37.0,48.0,205.0,37.0,188.0,2714.0,0.0,286.0,0.0,0.0,678.5,0.0,95.333333333333329,0.0,0.0,95.333333333333329,678.5,469.0,0.0,78.0,0.0,0.0,78.0,469.0,504.68083973933466,0.0,74.499813571727969,0.0,0.0,74.499813571727969,504.68083973933466,4.0,0.0,3.0,0.0,0.0,3.0,4.0,1532.0,0.0,194.0,0.0,0.0,194.0,1532.0,244.0,0.0,14.0,0.0,0.0,14.0,244.0
