Dyad,Conv,Timid,Yielding,Awkward,Shy,Meek
33.0,3.0,38.0,55.0,40.0,41.0,45.0
34.0,1.0,49.0,53.0,49.0,53.0,49.0
34.0,2.0,49.0,56.0,51.0,46.0,49.0
34.0,3.0,37.0,52.0,36.0,34.0,35.0
35.0,1.0,48.0,53.0,55.0,44.0,48.0
35.0,2.0,41.0,50.0,47.0,38.0,39.0
35.0,3.0,25.0,40.0,38.0,21.0,25.0
36.0,1.0,53.0,60.0,52.0,58.0,53.0
36.0,2.0,50.0,55.0,53.0,57.0,54.0
36.0,3.0,45.0,54.0,44.0,44.0,47.0
37.0,1.0,50.0,55.0,51.0,48.0,55.0
37.0,2.0,57.0,59.0,63.0,56.0,55.0
37.0,3.0,27.0,48.0,37.0,28.0,35.0
38.0,1.0,50.0,51.0,53.0,52.0,48.0
38.0,2.0,47.0,55.0,54.0,50.0,53.0
38.0,3.0,53.0,57.0,59.0,54.0,51.0
39.0,1.0,50.0,48.0,49.0,51.0,45.0
39.0,2.0,55.0,56.0,52.0,50.0,51.0
39.0,3.0,36.0,47.0,29.0,34.0,39.0
40.0,1.0,44.0,60.0,47.0,46.0,51.0
40.0,2.0,56.0,61.0,57.0,51.0,48.0
40.0,3.0,55.0,62.0,47.0,62.0,56.0
41.0,1.0,56.0,53.0,48.0,54.0,46.0
41.0,2.0,57.0,60.0,54.0,55.0,53.0
41.0,3.0,29.0,36.0,29.0,29.0,32.0
42.0,1.0,51.0,55.0,46.0,55.0,52.0
42.0,2.0,44.0,51.0,52.0,44.0,42.0
42.0,3.0,41.0,50.0,46.0,42.0,41.0
43.0,1.0,51.0,61.0,51.0,50.0,49.0
43.0,2.0,62.0,62.0,59.0,59.0,55.0
43.0,3.0,26.0,58.0,33.0,31.0,34.0
44.0,1.0,50.0,57.0,52.0,52.0,52.0
44.0,2.0,46.0,56.0,46.0,54.0,44.0
44.0,3.0,48.0,48.0,45.0,41.0,41.0
45.0,1.0,58.0,58.0,55.0,54.0,57.0
45.0,2.0,50.0,59.0,51.0,49.0,47.0
45.0,3.0,35.0,44.0,32.0,29.0,32.0
46.0,1.0,58.0,57.0,63.0,60.0,59.0
46.0,2.0,58.0,57.0,54.0,61.0,52.0
46.0,3.0,56.0,56.0,55.0,53.0,49.0
47.0,1.0,62.0,60.0,59.0,59.0,61.0
47.0,2.0,53.0,60.0,57.0,56.0,52.0
47.0,3.0,51.0,53.0,53.0,48.0,48.0
48.0,1.0,50.0,59.0,42.0,38.0,44.0
48.0,2.0,54.0,60.0,54.0,49.0,49.0
48.0,3.0,48.0,64.0,48.0,48.0,45.0
49.0,1.0,56.0,55.0,59.0,58.0,51.0
49.0,2.0,55.0,55.0,58.0,57.0,52.0
49.0,3.0,42.0,43.0,45.0,45.0,42.0
50.0,1.0,47.0,57.0,56.0,47.0,39.0
50.0,2.0,53.0,49.0,58.0,55.0,48.0
50.0,3.0,55.0,55.0,62.0,58.0,56.0
51.0,1.0,59.0,60.0,47.0,52.0,58.0
51.0,2.0,48.0,54.0,46.0,44.0,49.0
51.0,3.0,46.0,54.0,38.0,50.0,53.0
52.0,1.0,47.0,55.0,43.0,43.0,44.0
52.0,2.0,49.0,57.0,51.0,45.0,48.0
52.0,3.0,38.0,55.0,42.0,34.0,33.0
53.0,1.0,59.0,60.0,60.0,59.0,59.0
53.0,2.0,55.0,54.0,53.0,49.0,54.0
53.0,3.0,41.0,55.0,51.0,46.0,45.0
54.0,1.0,53.0,56.0,53.0,46.0,46.0
54.0,2.0,42.0,52.0,45.0,48.0,42.0
54.0,3.0,58.0,53.0,65.0,56.0,52.0
55.0,1.0,47.0,56.0,64.0,59.0,52.0
55.0,2.0,55.0,58.0,62.0,58.0,49.0
55.0,3.0,48.0,47.0,49.0,49.0,48.0
56.0,1.0,51.0,65.0,51.0,47.0,48.0
56.0,2.0,45.0,52.0,55.0,48.0,44.0
56.0,3.0,52.0,56.0,51.0,52.0,52.0
57.0,1.0,58.0,59.0,51.0,52.0,54.0
57.0,2.0,57.0,61.0,57.0,57.0,53.0
57.0,3.0,57.0,62.0,56.0,52.0,54.0
58.0,1.0,60.0,58.0,58.0,55.0,56.0
58.0,2.0,54.0,57.0,54.0,56.0,49.0
58.0,3.0,48.0,53.0,46.0,53.0,53.0
59.0,1.0,59.0,58.0,56.0,60.0,57.0
59.0,2.0,58.0,57.0,57.0,60.0,56.0
59.0,3.0,58.0,58.0,51.0,60.0,60.0
60.0,1.0,57.0,57.0,52.0,53.0,53.0
60.0,2.0,53.0,57.0,57.0,51.0,50.0
60.0,3.0,29.0,41.0,36.0,29.0,30.0
