0.000,312.000,2.000
312.000,384.000,3.000
384.000,494.000,1.000
494.000,999.000,2.000
999.000,1187.000,3.000
1187.000,1403.000,1.000
1403.000,1616.000,2.000
1616.000,1721.000,3.000
1721.000,1825.000,1.000
1825.000,2299.000,2.000
2299.000,2486.000,3.000
2486.000,2691.000,1.000
2691.000,3306.000,2.000
3306.000,3508.000,3.000
3508.000,3699.000,1.000
3699.000,4794.000,2.000
4794.000,5046.000,3.000
5046.000,5424.000,1.000
5424.000,5807.000,2.000
5807.000,5922.000,3.000
5922.000,5937.000,1.000
5937.000,6232.000,2.000
6232.000,6371.000,3.000
6371.000,6529.000,1.000
6529.000,7376.000,2.000
7376.000,7672.000,3.000
7672.000,7961.000,1.000
7961.000,8724.000,2.000
8724.000,8906.000,3.000
8906.000,9206.000,1.000
