Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
49,1,3000,6,4545,4887,343,7,67.0,136.0,70.0,70.0,67.0,68.0,35.0,23.333333333333332,136.5,206.0,67.0,68.0,35.0,28.0,136.5,206.0,0.0,37.0,3.0,11.115554667022044,69.5,0.0,1.0,2.0,2.0,3.0,2.0,1.0,67.0,105.0,38.0,34.0,206.0,206.0,67.0,31.0,32.0,8.0,67.0,206.0,307.0,0.0,36.0,0.0,0.0,153.5,0.0,36.0,0.0,0.0,36.0,153.5,153.5,0.0,36.0,0.0,0.0,36.0,153.5,120.5,0.0,0.0,0.0,0.0,0.0,120.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,274.0,0.0,36.0,0.0,0.0,36.0,274.0,33.0,0.0,36.0,0.0,0.0,36.0,33.0
49,1,3000,7,4888,4993,106,6,0.0,37.0,0.0,69.0,0.0,18.5,0.0,34.5,18.5,18.5,0.0,18.5,0.0,34.5,18.5,18.5,0.0,17.5,0.0,25.5,17.5,17.5,0.0,2.0,0.0,2.0,2.0,2.0,0.0,36.0,0.0,60.0,36.0,36.0,0.0,1.0,0.0,9.0,1.0,1.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0
49,1,3000,8,4994,5640,647,7,120.0,74.0,228.0,225.0,40.0,24.666666666666668,28.5,28.125,46.888888888888886,30.199999999999999,37.0,18.0,24.5,25.5,44.0,31.5,18.493242008906929,17.782638224465519,15.22333734763833,15.511588409959826,27.962055418189067,15.954936540143306,3.0,3.0,8.0,8.0,9.0,10.0,64.0,49.0,58.0,58.0,100.0,58.0,19.0,7.0,11.0,9.0,7.0,7.0,437.0,0.0,210.0,0.0,0.0,218.5,0.0,210.0,0.0,0.0,210.0,218.5,218.5,0.0,210.0,0.0,0.0,210.0,218.5,205.5,0.0,0.0,0.0,0.0,0.0,205.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,424.0,0.0,210.0,0.0,0.0,210.0,424.0,13.0,0.0,210.0,0.0,0.0,210.0,13.0
49,1,3000,9,5641,5750,110,6,0.0,51.0,0.0,59.0,0.0,51.0,0.0,59.0,51.0,51.0,0.0,51.0,0.0,59.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,51.0,0.0,59.0,51.0,51.0,0.0,51.0,0.0,59.0,51.0,51.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,110.0
49,1,3000,10,5751,5999,249,7,84.0,7.0,0.0,158.0,42.0,7.0,0.0,52.666666666666664,30.333333333333332,7.0,42.0,7.0,0.0,37.0,25.0,7.0,17.0,0.0,0.0,31.030450993965413,21.561282171728305,0.0,2.0,1.0,0.0,3.0,3.0,1.0,59.0,7.0,0.0,96.0,59.0,7.0,25.0,7.0,0.0,25.0,7.0,7.0,122.0,0.0,127.0,0.0,0.0,61.0,0.0,127.0,0.0,0.0,127.0,61.0,61.0,0.0,127.0,0.0,0.0,127.0,61.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,88.0,0.0,127.0,0.0,0.0,127.0,88.0,34.0,0.0,127.0,0.0,0.0,127.0,34.0
49,1,6000,0,6000,6062,63,7,26.0,0.0,0.0,37.0,13.0,0.0,0.0,37.0,13.0,0.0,13.0,0.0,0.0,37.0,13.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0,37.0,16.0,0.0,10.0,0.0,0.0,37.0,10.0,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0
49,1,6000,1,6063,6104,42,6,1.0,0.0,0.0,41.0,1.0,0.0,0.0,41.0,1.0,0.0,1.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,41.0,1.0,0.0,1.0,0.0,0.0,41.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0
49,1,6000,2,6105,6455,351,7,84.0,54.0,84.0,129.0,28.0,27.0,28.0,18.428571428571427,31.714285714285715,34.5,27.0,27.0,37.0,19.0,32.0,39.5,2.9439202887759488,6.0,19.442222095223581,7.8714156079748063,16.507264943604902,21.266170318136737,3.0,2.0,3.0,7.0,7.0,4.0,32.0,33.0,46.0,34.0,58.0,58.0,25.0,21.0,1.0,7.0,1.0,1.0,168.0,0.0,183.0,0.0,0.0,84.0,0.0,183.0,0.0,0.0,183.0,84.0,84.0,0.0,183.0,0.0,0.0,183.0,84.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,133.0,0.0,183.0,0.0,0.0,183.0,133.0,35.0,0.0,183.0,0.0,0.0,183.0,35.0
49,1,6000,3,6456,6495,40,6,0.0,0.0,8.0,32.0,0.0,0.0,8.0,32.0,8.0,8.0,0.0,0.0,8.0,32.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,32.0,8.0,8.0,0.0,0.0,8.0,32.0,8.0,8.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0
49,1,6000,4,6496,6928,433,7,34.0,112.0,118.0,169.0,34.0,37.333333333333336,39.333333333333336,42.25,88.0,76.666666666666671,34.0,29.0,27.0,35.0,88.0,71.0,0.0,11.785113019775793,26.386023236217735,22.796655456447994,13.880441875771343,21.202725191719001,1.0,3.0,3.0,4.0,3.0,3.0,34.0,54.0,76.0,79.0,105.0,105.0,34.0,29.0,15.0,20.0,71.0,54.0,319.0,0.0,114.0,0.0,0.0,159.5,0.0,114.0,0.0,0.0,114.0,159.5,159.5,0.0,114.0,0.0,0.0,114.0,159.5,108.5,0.0,0.0,0.0,0.0,0.0,108.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,268.0,0.0,114.0,0.0,0.0,114.0,268.0,51.0,0.0,114.0,0.0,0.0,114.0,51.0
