Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
43,1,0,44,8811,8856,45,2,31.0,0.0,0.0,14.0,31.0,0.0,0.0,14.0,31.0,0.0,31.0,0.0,0.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,31.0,0.0,0.0,14.0,31.0,0.0,31.0,0.0,0.0,14.0,31.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0
43,1,0,45,8856,8907,51,5,20.0,6.0,0.0,25.0,20.0,6.0,0.0,25.0,26.0,6.0,20.0,6.0,0.0,25.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,20.0,6.0,0.0,25.0,26.0,6.0,20.0,6.0,0.0,25.0,26.0,6.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0
43,1,0,46,8907,8951,44,2,23.0,21.0,0.0,0.0,23.0,10.5,0.0,0.0,44.0,10.5,23.0,10.5,0.0,0.0,44.0,10.5,0.0,4.5,0.0,0.0,0.0,4.5,1.0,2.0,0.0,0.0,1.0,2.0,23.0,15.0,0.0,0.0,44.0,15.0,23.0,6.0,0.0,0.0,44.0,6.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0
43,1,0,47,8951,9000,49,5,2.0,26.0,0.0,21.0,2.0,26.0,0.0,21.0,14.0,26.0,2.0,26.0,0.0,21.0,14.0,26.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,26.0,0.0,21.0,26.0,26.0,2.0,26.0,0.0,21.0,2.0,26.0,21.0,0.0,28.0,0.0,0.0,21.0,0.0,28.0,0.0,0.0,28.0,21.0,21.0,0.0,28.0,0.0,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,0.0,28.0,0.0,0.0,28.0,21.0,21.0,0.0,28.0,0.0,0.0,28.0,21.0
43,2,0,0,0,48,48,5,26.0,0.0,0.0,22.0,26.0,0.0,0.0,22.0,26.0,0.0,26.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,22.0,26.0,0.0,26.0,0.0,0.0,22.0,26.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0
43,2,0,1,48,1948,1900,2,880.0,584.0,221.0,215.0,293.33333333333331,97.333333333333329,73.666666666666671,30.714285714285715,240.71428571428572,115.0,227.0,37.0,53.0,28.0,130.0,77.0,110.47272162041732,143.18829871497493,40.301640440833452,16.489947463437801,216.25561217207371,128.23638886280068,3.0,6.0,3.0,7.0,7.0,7.0,449.0,417.0,130.0,53.0,644.0,417.0,204.0,22.0,38.0,10.0,22.0,22.0,1900.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,1900.0,1900.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1900.0,0.0,0.0,0.0,0.0,0.0,1900.0,1900.0,0.0,0.0,0.0,0.0,0.0,1900.0
43,2,0,2,1948,2018,70,3,43.0,27.0,0.0,0.0,43.0,27.0,0.0,0.0,70.0,27.0,43.0,27.0,0.0,0.0,70.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,43.0,27.0,0.0,0.0,70.0,27.0,43.0,27.0,0.0,0.0,70.0,27.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0
43,2,0,3,2018,2495,477,1,315.0,58.0,0.0,104.0,157.5,58.0,0.0,34.666666666666664,124.33333333333333,58.0,157.5,58.0,0.0,31.0,58.0,58.0,135.5,0.0,0.0,26.662499674428293,120.16747572543173,0.0,2.0,1.0,0.0,3.0,3.0,1.0,293.0,58.0,0.0,69.0,293.0,58.0,22.0,58.0,0.0,4.0,22.0,58.0,109.0,0.0,368.0,0.0,0.0,109.0,0.0,368.0,0.0,0.0,368.0,109.0,109.0,0.0,368.0,0.0,0.0,368.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,109.0,0.0,368.0,0.0,0.0,368.0,109.0,109.0,0.0,368.0,0.0,0.0,368.0,109.0
43,2,0,4,2495,4296,1801,2,910.0,483.0,75.0,333.0,151.66666666666666,53.666666666666664,75.0,41.625,183.5,69.75,59.5,42.0,75.0,41.5,65.0,36.0,161.19829058922707,43.77975178854566,0.0,21.517071710620847,213.57551357775077,79.678651469512204,6.0,9.0,1.0,8.0,8.0,8.0,457.0,132.0,75.0,81.0,565.0,258.0,22.0,11.0,75.0,7.0,25.0,11.0,1583.0,0.0,218.0,0.0,0.0,527.66666666666663,0.0,72.666666666666671,0.0,0.0,72.666666666666671,527.66666666666663,129.0,0.0,68.0,0.0,0.0,68.0,129.0,644.6194398420065,0.0,37.703521792473914,0.0,0.0,37.703521792473914,644.6194398420065,3.0,0.0,3.0,0.0,0.0,3.0,3.0,1437.0,0.0,121.0,0.0,0.0,121.0,1437.0,17.0,0.0,29.0,0.0,0.0,29.0,17.0
43,2,0,5,4296,4393,97,3,64.0,10.0,0.0,23.0,64.0,10.0,0.0,23.0,74.0,10.0,64.0,10.0,0.0,23.0,74.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,64.0,10.0,0.0,23.0,74.0,10.0,64.0,10.0,0.0,23.0,74.0,10.0,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0
