Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min
35,1,0,11,4113,4503,390,3,189.0,49.0,0.0,152.0,63.0,24.5,0.0,38.0,59.5,24.5,50.0,24.5,0.0,41.0,36.5,24.5,39.064049969249218,8.5,0.0,22.967368155711704,53.209491634481907,8.5,3.0,2.0,0.0,4.0,4.0,2.0,116.0,33.0,0.0,61.0,149.0,33.0,23.0,16.0,0.0,9.0,16.0,16.0,325.0,65.0,0.0,0.0,0.0,325.0,65.0,0.0,0.0,0.0,0.0,390.0,325.0,65.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,325.0,65.0,0.0,0.0,0.0,0.0,390.0,325.0,65.0,0.0,0.0,0.0,0.0,390.0
35,1,0,12,4503,4917,414,1,0.0,226.0,0.0,188.0,0.0,45.200000000000003,0.0,37.600000000000001,45.200000000000003,45.200000000000003,0.0,29.0,0.0,25.0,29.0,29.0,0.0,31.185894247239411,0.0,21.932624102008408,31.185894247239411,31.185894247239411,0.0,5.0,0.0,5.0,5.0,5.0,0.0,102.0,0.0,75.0,102.0,102.0,0.0,18.0,0.0,18.0,18.0,18.0,18.0,310.0,86.0,0.0,0.0,18.0,310.0,86.0,0.0,0.0,86.0,164.0,18.0,310.0,86.0,0.0,0.0,86.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,18.0,310.0,86.0,0.0,0.0,86.0,310.0,18.0,310.0,86.0,0.0,0.0,86.0,18.0
35,1,0,13,4917,4961,44,3,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,0.0,44.0,36.0,8.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,8.0,0.0,0.0,0.0,0.0,44.0,36.0,8.0,0.0,0.0,0.0,0.0,44.0
35,1,0,14,4961,5330,369,1,50.0,66.0,12.0,241.0,50.0,66.0,12.0,80.333333333333329,42.666666666666664,39.0,50.0,66.0,12.0,100.0,50.0,39.0,0.0,0.0,0.0,32.887011958454899,22.647050335284039,27.0,1.0,1.0,1.0,3.0,3.0,2.0,50.0,66.0,12.0,107.0,66.0,66.0,50.0,66.0,12.0,34.0,12.0,12.0,37.0,233.0,99.0,0.0,0.0,37.0,233.0,99.0,0.0,0.0,99.0,135.0,37.0,233.0,99.0,0.0,0.0,99.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,37.0,233.0,99.0,0.0,0.0,99.0,233.0,37.0,233.0,99.0,0.0,0.0,99.0,37.0
35,1,0,15,5330,5586,256,3,91.0,47.0,0.0,118.0,22.75,47.0,0.0,59.0,46.0,47.0,19.5,47.0,0.0,59.0,48.0,47.0,16.207637088730731,0.0,0.0,45.0,33.506218328344168,0.0,4.0,1.0,0.0,2.0,3.0,1.0,48.0,47.0,0.0,104.0,86.0,47.0,4.0,47.0,0.0,14.0,4.0,47.0,169.0,87.0,0.0,0.0,0.0,169.0,87.0,0.0,0.0,0.0,0.0,256.0,169.0,87.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,169.0,87.0,0.0,0.0,0.0,0.0,256.0,169.0,87.0,0.0,0.0,0.0,0.0,256.0
35,1,0,16,5586,6338,752,1,218.0,346.0,0.0,188.0,27.25,31.454545454545453,0.0,26.857142857142858,70.5,31.454545454545453,20.5,32.0,0.0,16.0,38.0,32.0,23.998697881343478,15.287330680627113,0.0,26.013340376641757,67.24395883646352,15.287330680627113,8.0,11.0,0.0,7.0,8.0,11.0,86.0,66.0,0.0,86.0,220.0,66.0,8.0,10.0,0.0,8.0,8.0,10.0,11.0,520.0,221.0,0.0,0.0,11.0,520.0,221.0,0.0,0.0,221.0,265.5,11.0,520.0,221.0,0.0,0.0,221.0,265.5,0.0,0.0,0.0,0.0,0.0,0.0,254.5,1.0,1.0,1.0,0.0,0.0,1.0,2.0,11.0,520.0,221.0,0.0,0.0,221.0,520.0,11.0,520.0,221.0,0.0,0.0,221.0,11.0
35,1,0,17,6338,6960,622,3,422.0,85.0,0.0,115.0,70.333333333333329,28.333333333333332,0.0,28.75,101.40000000000001,28.333333333333332,67.5,26.0,0.0,29.0,114.0,26.0,34.13046862978721,11.953614051360738,0.0,6.8693158320170431,35.165892566519624,11.953614051360738,6.0,3.0,0.0,4.0,5.0,3.0,119.0,44.0,0.0,38.0,144.0,44.0,28.0,15.0,0.0,19.0,40.0,15.0,500.0,122.0,0.0,0.0,0.0,500.0,122.0,0.0,0.0,0.0,0.0,622.0,500.0,122.0,0.0,0.0,0.0,0.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,500.0,122.0,0.0,0.0,0.0,0.0,622.0,500.0,122.0,0.0,0.0,0.0,0.0,622.0
35,1,0,18,6960,7422,462,1,104.0,126.0,136.0,96.0,34.666666666666664,42.0,136.0,48.0,122.0,87.333333333333329,33.0,34.0,136.0,48.0,68.0,68.0,3.8586123009300755,18.83259585576738,0.0,28.0,102.12084344866462,53.224889749898857,3.0,3.0,1.0,2.0,3.0,3.0,40.0,68.0,136.0,76.0,265.0,160.0,31.0,24.0,136.0,20.0,33.0,34.0,93.0,162.0,207.0,0.0,0.0,46.5,81.0,103.5,0.0,0.0,103.5,85.0,46.5,81.0,103.5,0.0,0.0,103.5,49.0,2.5,62.0,7.5,0.0,0.0,7.5,73.157364632687532,2.0,2.0,2.0,0.0,0.0,2.0,3.0,49.0,143.0,111.0,0.0,0.0,111.0,187.0,44.0,19.0,96.0,0.0,0.0,96.0,19.0
35,1,0,19,7422,8260,838,3,388.0,134.0,5.0,311.0,48.5,33.5,5.0,34.555555555555557,52.700000000000003,27.800000000000001,33.0,22.0,5.0,26.0,37.5,21.0,44.771642811047265,28.587584717845612,0.0,22.677012889272849,66.148393782464581,27.995713957675736,8.0,4.0,1.0,9.0,10.0,5.0,161.0,82.0,5.0,82.0,243.0,82.0,14.0,8.0,5.0,8.0,5.0,5.0,702.0,136.0,0.0,0.0,0.0,351.0,68.0,0.0,0.0,0.0,0.0,838.0,351.0,68.0,0.0,0.0,0.0,0.0,838.0,306.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,657.0,98.0,0.0,0.0,0.0,0.0,838.0,45.0,38.0,0.0,0.0,0.0,0.0,838.0
35,1,0,20,8260,8621,361,1,58.0,100.0,161.0,42.0,29.0,33.333333333333336,80.5,14.0,79.75,65.25,29.0,31.0,80.5,13.0,58.5,53.5,3.0,15.195028426721974,26.5,2.9439202887759488,40.170729393427749,34.585943676586304,2.0,3.0,2.0,3.0,4.0,4.0,32.0,53.0,107.0,18.0,149.0,123.0,26.0,16.0,54.0,11.0,53.0,31.0,40.0,218.0,103.0,0.0,0.0,40.0,218.0,103.0,0.0,0.0,103.0,129.0,40.0,218.0,103.0,0.0,0.0,103.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,40.0,218.0,103.0,0.0,0.0,103.0,218.0,40.0,218.0,103.0,0.0,0.0,103.0,40.0
35,1,0,21,8621,9000,379,3,166.0,124.0,0.0,89.0,55.333333333333336,41.333333333333336,0.0,44.5,96.666666666666671,41.333333333333336,57.0,27.0,0.0,44.5,101.0,27.0,3.8586123009300755,29.169999809545576,0.0,13.5,36.463071120731939,29.169999809545576,3.0,3.0,0.0,2.0,3.0,3.0,59.0,82.0,0.0,58.0,139.0,82.0,50.0,15.0,0.0,31.0,50.0,15.0,175.0,204.0,0.0,0.0,0.0,87.5,102.0,0.0,0.0,0.0,0.0,379.0,87.5,102.0,0.0,0.0,0.0,0.0,379.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,107.0,102.0,0.0,0.0,0.0,0.0,379.0,68.0,102.0,0.0,0.0,0.0,0.0,379.0
35,2,0,0,0,37,37,1,13.0,0.0,0.0,24.0,13.0,0.0,0.0,24.0,13.0,0.0,13.0,0.0,0.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,24.0,13.0,0.0,13.0,0.0,0.0,24.0,13.0,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0
35,2,0,1,37,97,60,3,53.0,0.0,0.0,7.0,53.0,0.0,0.0,7.0,53.0,0.0,53.0,0.0,0.0,7.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,53.0,0.0,0.0,7.0,53.0,0.0,53.0,0.0,0.0,7.0,53.0,0.0,25.0,0.0,35.0,0.0,0.0,25.0,0.0,35.0,0.0,0.0,35.0,25.0,25.0,0.0,35.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,0.0,35.0,0.0,0.0,35.0,25.0,25.0,0.0,35.0,0.0,0.0,35.0,25.0
35,2,0,2,97,146,49,1,1.0,6.0,0.0,42.0,1.0,6.0,0.0,21.0,3.5,6.0,1.0,6.0,0.0,21.0,3.5,6.0,0.0,0.0,0.0,19.0,2.5,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,6.0,0.0,40.0,6.0,6.0,1.0,6.0,0.0,2.0,1.0,6.0,12.0,20.0,17.0,0.0,0.0,12.0,20.0,17.0,0.0,0.0,17.0,32.0,12.0,20.0,17.0,0.0,0.0,17.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,20.0,17.0,0.0,0.0,17.0,32.0,12.0,20.0,17.0,0.0,0.0,17.0,32.0
35,2,0,3,146,252,106,3,0.0,0.0,36.0,70.0,0.0,0.0,36.0,35.0,36.0,36.0,0.0,0.0,36.0,35.0,36.0,36.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,36.0,44.0,36.0,36.0,0.0,0.0,36.0,26.0,36.0,36.0,0.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,106.0
35,2,0,4,252,1201,949,1,361.0,404.0,39.0,145.0,72.200000000000003,67.333333333333329,19.5,29.0,160.80000000000001,88.599999999999994,38.0,47.5,19.5,15.0,50.0,56.0,77.098378711876947,48.995464642715206,9.5,29.522872488970311,224.54701066814494,68.104625393581017,5.0,6.0,2.0,5.0,5.0,5.0,226.0,176.0,29.0,87.0,609.0,223.0,24.0,37.0,10.0,7.0,33.0,40.0,0.0,882.0,0.0,67.0,0.0,0.0,441.0,0.0,67.0,0.0,67.0,441.0,0.0,441.0,0.0,67.0,0.0,67.0,441.0,0.0,435.0,0.0,0.0,0.0,0.0,435.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,876.0,0.0,67.0,0.0,67.0,876.0,0.0,6.0,0.0,67.0,0.0,67.0,6.0
