"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time"
"27",35,1087.42857142857,2,435.571428571429,414.285714285714,12.2857142857143,225.285714285714,107.790476190476,95.8309523809524,5.14285714285714,84.2272108843537,200.151700680272,99.1738095238095,85.293537414966,78.2142857142857,87.5,5.71428571428571,73.5,135,90.3571428571429,72.5714285714286,81.5241732849323,49.3935579273818,1.56926257650325,30.4488298598307,147.495290199357,53.3467954938343,34.1869377525844,4,4,0.571428571428571,4.42857142857143,4.28571428571429,3.85714285714286,4.57142857142857,246.857142857143,172.142857142857,6.71428571428571,139.571428571429,436.857142857143,181,151.285714285714,38.4285714285714,38.1428571428571,3,56.7142857142857,66.1428571428571,38.1428571428571,57.1428571428571,602.571428571429,0,484.857142857143,0,0,335,0,446.214285714286,0,0,446.214285714286,335,335,0,446.214285714286,0,0,446.214285714286,335,232.571428571429,0,33.7857142857143,0,0,33.7857142857143,232.571428571429,1.71428571428571,0,1.14285714285714,0,0,1.14285714285714,1.71428571428571,567.571428571429,0,480,0,0,480,567.571428571429,102.428571428571,0,412.428571428571,0,0,412.428571428571,102.428571428571,426.571428571429,862.142857142857,639.571428571429
"28",36,1334.66666666667,2,411.666666666667,395.166666666667,357.833333333333,170,69.0327380952381,56.6751984126984,63.046398046398,32.8194444444444,200.821164021164,112.3375,54.9150793650794,59.5833333333333,49.0833333333333,51.3333333333333,29.4166666666667,164,93.6666666666667,35.5833333333333,34.018729877271,25.599414756882,49.4147134363984,16.9041948869085,169.529124777439,72.1729611010765,46.2866416966492,6.33333333333333,7.16666666666667,6.66666666666667,5.66666666666667,6.16666666666667,8.16666666666667,10.5,146,95.3333333333333,143,63.3333333333333,532.5,252.333333333333,150.833333333333,32.8333333333333,25.8333333333333,15.5,14.6666666666667,43,42.5,12,1202,0,132.666666666667,0,0,654.833333333333,0,132.666666666667,0,0,132.666666666667,654.833333333333,654.833333333333,0,132.666666666667,0,0,132.666666666667,654.833333333333,517,0,0,0,0,0,517,1.83333333333333,0,1,0,0,1,1.83333333333333,1171.83333333333,0,132.666666666667,0,0,132.666666666667,1171.83333333333,137.833333333333,0,132.666666666667,0,0,132.666666666667,137.833333333333,753,1164.66666666667,565.166666666667
"29",37,757.909090909091,2,377.545454545455,97.8181818181818,22.4545454545455,260.090909090909,68.2659090909091,30.0313131313131,10.6666666666667,40.8515151515152,80.6217171717172,33.1247474747475,48.0328463203463,55,24.0909090909091,9.54545454545454,32,64.1363636363636,26.9090909090909,33.3636363636364,43.5664567888467,19.1693780526602,2.62781979578569,23.8610671868977,51.5441174677656,22.633824254958,32.1585203355752,5,3.18181818181818,1.27272727272727,5.90909090909091,6.27272727272727,3.81818181818182,5.72727272727273,156.636363636364,56.7272727272727,14.9090909090909,80.0909090909091,182.909090909091,65.5454545454545,100.818181818182,26.9090909090909,12.7272727272727,8.54545454545454,16.0909090909091,27.6363636363636,11.5454545454545,17.9090909090909,590.818181818182,0,167.090909090909,0,0,141.362770562771,0,41.8694805194805,0,0,41.8694805194805,141.362770562771,114.454545454545,0,38.5,0,0,38.5,114.454545454545,120.906194908259,0,18.9900181170018,0,0,18.9900181170018,120.906194908259,4.27272727272727,0,3.54545454545455,0,0,3.54545454545455,4.27272727272727,314.636363636364,0,68.2727272727273,0,0,68.2727272727273,314.636363636364,22.6363636363636,0,20.1818181818182,0,0,20.1818181818182,22.6363636363636,120.272727272727,497.818181818182,357.909090909091
"30",38,780.125,2,289.875,335.5,61.5,93.25,51.0551587301587,79.0104166666667,27.5625,33.93125,207.866666666667,79.6584821428571,44.2083333333333,38.9375,65.4375,27.0625,31.5,187.625,66.6875,38.3125,38.6124804297372,47.5287631702661,8.15095635730541,10.1887643804368,141.059432799094,51.149085219869,19.5210689321043,4.75,4.25,1.75,3,3.625,5.25,3.875,120,153.375,37,50.25,384.25,162.875,76.5,16.75,32,19.125,24.875,61.125,28.625,24.625,697.75,0,82.375,0,0,613.25,0,82.375,0,0,82.375,613.25,613.25,0,82.375,0,0,82.375,613.25,69.625,0,0,0,0,0,69.625,1.25,0,0.75,0,0,0.75,1.25,682.875,0,82.375,0,0,82.375,682.875,543.625,0,82.375,0,0,82.375,543.625,397,686.875,428.75
"31",41,698.363636363636,2,24.9090909090909,38.7272727272727,352.454545454545,282.272727272727,17.1818181818182,20.8030303030303,114.761904761905,63.8477272727273,108.975757575758,121.112878787879,299.909090909091,17.5454545454545,20.8636363636364,108.727272727273,52.5,100.227272727273,106.545454545455,255.363636363636,3.0794552612738,9.67469160788586,34.096662431849,48.8776400793077,52.9441367640973,41.4171238424112,160.641313721006,0.909090909090909,0.727272727272727,3.18181818181818,4.81818181818182,4.45454545454545,3.63636363636364,2.54545454545455,20.1818181818182,30.5454545454545,167.909090909091,131.272727272727,193.909090909091,191.545454545455,538.272727272727,13.8181818181818,11,80.0909090909091,14.3636363636364,52.6363636363636,82.0909090909091,162.909090909091,595.909090909091,0,102.454545454545,0,0,387.909090909091,0,80.7272727272727,0,0,80.7272727272727,387.909090909091,360.727272727273,0,80.7272727272727,0,0,80.7272727272727,360.727272727273,157.726960622174,0,13.3636363636364,0,0,13.3636363636364,157.726960622174,1.72727272727273,0,1.18181818181818,0,0,1.18181818181818,1.72727272727273,563.363636363636,0,94.0909090909091,0,0,94.0909090909091,563.363636363636,239.636363636364,0,67.3636363636364,0,0,67.3636363636364,239.636363636364,391.181818181818,416.090909090909,321
"32",42,900.666666666667,2,426.888888888889,267.666666666667,116.222222222222,89.8888888888889,110.938888888889,67.8203703703704,35.6722222222222,24.5185185185185,317.657407407407,74.0568783068783,40.8179894179894,88.3333333333333,61.7777777777778,35.6666666666667,23.5555555555556,283,58.6666666666667,33.5555555555556,70.8026114089638,36.8808722409056,10.0290248199071,9.95037998126752,123.598640138794,51.0282249806839,24.3262321271227,3.77777777777778,4,3.44444444444444,3.55555555555556,4,5.11111111111111,5.11111111111111,220,124.666666666667,50.1111111111111,37.2222222222222,510,158.555555555556,85.3333333333333,40.8888888888889,28.8888888888889,23.3333333333333,13,212.222222222222,22.5555555555556,17,673,0,227.666666666667,0,0,442.055555555556,0,227.666666666667,0,0,227.666666666667,442.055555555556,442.055555555556,0,227.666666666667,0,0,227.666666666667,442.055555555556,197.944444444444,0,0,0,0,0,197.944444444444,1.77777777777778,0,0.888888888888889,0,0,0.888888888888889,1.77777777777778,640,0,227.666666666667,0,0,227.666666666667,640,244.111111111111,0,227.666666666667,0,0,227.666666666667,244.111111111111,383.888888888889,810.777777777778,357.555555555556
"33",43,2002,2,1187.25,420,100.25,294.5,231.25625,59.235119047619,64.9166666666667,40.5400432900433,248.549918831169,71.0714285714286,53.1714015151515,129.75,37.875,60.5,36.375,108.875,48.125,43.375,207.631801810457,58.4027948662751,10.7709743704499,19.8071360179157,258.028125355094,66.3886891119733,35.5853081467499,5.5,7.25,1.5,6.75,7.5,7.5,7.25,616.5,189.75,79.75,68.75,695.25,225.5,118.5,81,19.25,54.5,13.75,35.25,19.25,13.75,1889.5,0,112.5,0,0,1182.25,0,56.25,0,0,56.25,1182.25,1182.25,0,56.25,0,0,56.25,1182.25,651.5,0,26,0,0,26,651.5,1.75,0,1.5,0,0,1.5,1.75,1833.75,0,82.25,0,0,82.25,1833.75,530.75,0,30.25,0,0,30.25,530.75,520.25,1707.5,714.5
"34",44,450.1,2,159.7,108.3,0,182.1,74.0866666666667,64.25,0,63.0966666666667,92.1516666666667,64.25,63.0966666666667,72.2,67.05,0,61.65,87.3,67.05,61.65,22.2792841856006,8.2071601404562,0,18.4194356220003,30.227916721758,8.2071601404562,18.4194356220003,1.8,1.3,0,3.1,2.9,1.3,3.1,105.8,72,0,87.3,137.8,72,87.3,50,53.7,0,43.3,58.8,53.7,43.3,360,0,90.1,0,0,349.7,0,88.85,0,0,88.85,349.7,349.7,0,88.85,0,0,88.85,349.7,5,0,0.25,0,0,0.25,5,0.9,0,0.8,0,0,0.8,0.9,354.7,0,89.1,0,0,89.1,354.7,344.7,0,88.6,0,0,88.6,344.7,108.3,268,290.4
"35",45,751.6,2,124.6,71.7,298.8,256.5,42.2428571428571,21.02,72.0466666666667,55.5316666666667,82.2447619047619,63.3011111111111,183.153571428571,41.2,21.05,50.25,49.45,52,41.9,159.55,14.1944700497498,5.38515214321276,48.638460213551,25.4300600229792,68.6214536123289,49.251824928927,59.1045650061819,2.4,1.6,3.8,5.1,5.4,4.8,4.5,62.8,28.5,146.2,98.4,201.2,153.2,295.7,24.8,14.1,28,28.2,15.6,19.6,127.7,614.1,0,137.5,0,0,396.286666666667,0,68.2583333333333,0,0,68.2583333333333,396.286666666667,356.6,0,63.85,0,0,63.85,356.6,125.767898041754,0,22.6899228504165,0,0,22.6899228504165,125.767898041754,2.1,0,1.6,0,0,1.6,2.1,550.6,0,99.7,0,0,99.7,550.6,283.9,0,46.3,0,0,46.3,283.9,370.5,495.1,328.2
"36",47,694.625,2,67.375,43.25,306.125,277.875,39.4375,23.65625,68.7552083333333,55.6930555555556,104.568055555556,80.4708333333333,191.383333333333,39.4375,23.375,67.6875,41.5625,92.5,70.4375,175.25,12.5625,2.95211911011819,33.6000335170555,34.5190103722318,54.7734651713924,44.8300020965295,115.909666360201,1.5,1.25,4.375,4.125,4.75,4.375,3,52,27.375,120.5,118.875,196.875,156.625,339.75,26.875,20.5,26.875,24,50.5,38.625,80.25,616.875,0,77.75,0,0,539.75,0,77.75,0,0,77.75,539.75,539.75,0,77.75,0,0,77.75,539.75,76.625,0,0,0,0,0,76.625,1.125,0,0.5,0,0,0.5,1.125,616.375,0,77.75,0,0,77.75,616.375,463.125,0,77.75,0,0,77.75,463.125,349.375,416.75,321.125
