"","Effort","Irritated","Patient","Interested","Responsible","Responsive"
"around",0.239484836923149,0.231383583706097,0.222251725718762,-0.0301782504865251,0.345394526011032,0.0846198847549121
"monitor",0.0699715727711321,0.0301732699885139,-0.0910054675929785,-0.0202825543459474,0.0419914916768625,-0.0178134455612984
"keyboard",-0.0695952666934138,0.0882459067988401,0.0559984521306703,-0.0108094413460947,-0.00174332953230997,-0.0884479603922943
"face",-0.175300248407215,-0.248239390545874,-0.144188264820491,0.0421769799095148,-0.280770966794422,0.00680031503136574
"comp_only",-0.00258738603065104,0.105087947379059,-0.0276342469652289,-0.0270750109495973,0.0343903473044556,-0.0946860791010037
"no_face",0.175300248407215,0.248239390545874,0.144188264820491,-0.0421769799095147,0.280770966794422,-0.00680031503136578
"body_only",-0.158355261838745,-0.276382222132124,-0.242648725387464,0.0354916961332261,-0.306652034839176,-0.00528084790157323
"s_speak",-0.216817166539671,-0.101205658700035,0.0413150610108185,-0.0809883764328499,-0.205699543692829,-0.0368210182364876
