"","Effort","Irritated","Patient","Interested","Responsible","Responsive"
"around",0.645880237773973,0.375167939683506,0.137602239789813,0.064659402287026,0.0424680800940728,0.133378341208432
"monitor",0.43278607323857,0.857172551552413,0.71796544672148,0.585610107883518,0.539847198957145,0.897556438895755
"keyboard",0.207251938045721,0.829197738759747,0.948807084716452,0.341016812135077,0.159031273012793,0.825950368931998
"face",0.87800403916079,0.199626023352152,0.0486618003097087,0.088252733964918,0.00426867399766556,0.0877507372712883
"comp_only",0.70256505674112,0.731508961848243,0.708957553278447,0.740524755119641,0.511703065177465,0.940654466181832
"no_face",0.87800403916079,0.199626023352152,0.0486618003097086,0.0882527339649179,0.00426867399766556,0.0877507372712882
"body_only",0.660683000242953,0.292376239835492,0.121704723552945,0.243909956637113,0.001697802341391,0.0930574030116861
"s_speak",0.0539991125058621,0.71247551837492,0.513503216868717,0.140859058198939,0.062811961914429,0.311264951744828
