"","Effort","Irritated","Patient","Interested","Responsible","Responsive"
"around",0.949043434103921,1.30040870683977,-1.41570742149839,-1.8556990222279,-2.67453536407348,-2.19089172371909
"monitor",0.978888549149701,-0.749307770964189,-2.6872172137407,-2.49586458819473,-0.547407255383362,-3.2967582110654
"keyboard",0.352050255343776,0.254544359130087,1.77705887379509,0.450599476250903,0.221842073340974,1.4034297581621
"face",-1.56744098169251,-0.651314980514002,1.51621433937875,2.67400484527629,2.14785489986453,2.71170225616878
"comp_only",1.15968129825953,-0.41093346533639,-0.627363934025798,-1.67324289031567,-0.268657093181166,-1.39382060087845
"no_face",1.56744098169251,0.651314980514002,-1.51621433937875,-2.67400484527629,-2.14785489986453,-2.71170225616878
"body_only",-1.13056678490006,-1.36597229656794,-0.133763700002281,1.2717080782136,2.16241568947419,0.792857841532453
"s_speak",-0.665533059635298,0.282627199686575,-1.11659141886395,-0.39807266915883,0.344444866692956,-0.773375416428634
