"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time","S_Around_Per_Total","S_Monitor_Per_Total","S_Keyboard_Per_Total","S_Face_Per_Total","S_CompOnly_Per_Total","S_NoFace_Per_Total","S_BodyOnly_Per_Total","S_Speak_Per_Total"
"1",1,8773,8,5008,275,247,3243,614.128787878788,48.1111111111111,159.25,301.369047619048,558.382783882784,160.876923076923,342.10641025641,448,40,152.5,204.5,441.5,155,235,669.783805014265,21.0153434641526,22.0926732881531,261.394573701117,619.718639103864,21.6841092615716,309.409243884006,31,13,8,46,43,21,43,2340,88,194,834,2484,202,948,119,23,138,41,86,136,50,7581,0,1192,0,0,2685.83333333333,0,478.75,0,0,478.75,2685.83333333333,1430.5,0,468,0,0,468,1430.5,2995.19273096668,0,235.519476440645,0,0,235.519476440645,2995.19273096668,12,0,8,0,0,8,12,6839,0,763,0,0,763,6839,342,0,216,0,0,216,342,522,5530,3518,57.0842357232418,3.13461757665565,2.81545651430526,36.9656901857973,5.9500740909609,63.0343098142027,40.100307762453,13.587142368631
"2",3,7052,12,2801,3278,340,633,405.206746031746,460.82196969697,195.333333333333,174.583333333333,1338.81666666667,436.229797979798,191.557142857143,343,347,190,156.5,1003.5,340.5,172,245.451054088846,294.402384105908,19.1888973927663,92.7701365424999,1206.38958531297,317.853641601979,101.60627208527,44,46,10,24,29,52,31,786,944,221,298,3284,1012,357,93,115,175,77,225,84,80,6464,0,588,0,0,3326,0,433,0,0,433,3326,2783,0,433,0,0,433,2783,2400.27163348016,0,73,0,0,73,2400.27163348016,13,0,8,0,0,8,13,6099,0,506,0,0,506,6099,1096,0,360,0,0,360,1096,3618,6419,3911,39.7192285876347,46.483267158253,4.82132728304027,8.97617697107204,51.3045944412932,91.023823028928,55.459444129325,8.33806012478729
"3",5,7828,14,1526,3614,424,2264,333.822222222222,544.528571428571,182.166666666667,371.757142857143,767.971428571429,618.290476190476,425.128968253968,238,416.5,182.5,242.5,473.5,512.5,305,266.144440237557,507.714360474431,30.0717889205708,320.28061736334,949.474268459649,517.883332131871,327.596750739658,23,46,16,46,50,44,52,962,1621,215,980,3003,1642,1045,156,91,149,99,84,118,111,6974,0,854,0,0,5230,0,854,0,0,854,5230,5230,0,854,0,0,854,5230,1511,0,0,0,0,0,1511,10,0,4,0,0,4,10,6741,0,854,0,0,854,6741,3719,0,854,0,0,854,3719,4038,5564,5878,19.4941236586612,46.1676034747062,5.41645375574859,28.921819110884,51.5840572304548,71.078180889116,75.0894225855902,10.9095554420031
"4",6,6034,10,1357,1355,653,2669,229.441666666667,174.795454545455,201.7,283.164646464646,333.080710955711,198.365079365079,399.442857142857,215,138,186.5,176.5,200.5,145.5,203.5,144.205883124015,131.67873371611,100.828086439967,309.16479485256,393.289373114583,151.938782130751,463.006884104268,25,35,16,49,50,48,45,455,424,334,1044,1439,531,1454,55,44,100,39,47,44,53,5737,0,297,0,0,5348,0,297,0,0,297,5348,5348,0,297,0,0,297,5348,369,0,0,0,0,0,369,6,0,4,0,0,4,6,5717,0,297,0,0,297,5717,4979,0,297,0,0,297,4979,2008,3365,4024,22.4892277096453,22.4560822008618,10.8220086178323,44.2326814716606,33.2780908186941,55.7673185283394,66.6887636725224,4.92210805435863
"5",7,8133,10,2568,41,2797,2727,928.083333333333,20.5,1031.94444444444,433.966666666667,1536.21538461538,988.677777777778,1392.01388888889,864,20.5,848.5,362,1340.5,812.5,1119.5,247.564799484518,5.5,490.755810687112,250.473572737069,494.967690858688,480.399636212483,762.466168297271,22,2,18,34,35,20,26,1390,26,1754,913,2598,1754,2896,671,15,571,186,1119,554,679,7361,0,772,0,0,4533,0,612,0,0,612,4533,4570,0,612,0,0,612,4570,944.130053282216,0,48,0,0,48,944.130053282216,9,0,5,0,0,5,9,5591,0,660,0,0,660,5591,3438,0,564,0,0,564,3438,2838,5406,2768,31.5750645518259,0.504119021271364,34.3907537194147,33.530062707488,34.8948727406861,66.469937292512,34.0341817287594,9.49219230296324
"6",8,5774,14,373,2895,288,2218,148,448.535714285714,106.666666666667,390.617857142857,633.866666666667,496.680158730159,457.242857142857,149,404,104,401,470.5,439,439.5,7.57187779440036,227.942934774509,56.5792850095896,180.491957084019,365.909715002594,273.195980624376,254.161157626528,8,45,7,40,40,45,41,157,843,176,642,1221,947,823,135,169,40,129,256,159,107,5570,0,204,0,0,3474,0,204,0,0,204,3474,3474,0,204,0,0,204,3474,1958,0,0,0,0,0,1958,12,0,6,0,0,6,12,5432,0,204,0,0,204,5432,1516,0,204,0,0,204,1516,3183,3556,5113,6.45999307239349,50.138552130239,4.98787668860409,38.4135781087634,55.1264288188431,61.5864218912366,88.5521302390024,3.53307932109456
"7",12,6942,8,102,43,356,6441,44.3333333333333,29.5,101.333333333333,1769.58928571429,77.5357142857143,88.5833333333333,2878.33333333333,43,29.5,101.5,1582,78,91,2917,10.8432153734889,3.5,26.5792851524194,687.939306621867,39.1012320060112,34.4730244350166,865.674027123142,6,3,10,20,19,13,12,58,33,134,2843,134,134,4046,32,26,63,1007,24,38,1967,6799,0,143,0,0,5732.5,0,87,0,0,87,5732.5,5732.5,0,87,0,0,87,5732.5,940.5,0,5,0,0,5,940.5,5,0,3,0,0,3,5,6673,0,92,0,0,92,6673,4792,0,82,0,0,82,4792,399,501,6484,1.46931719965428,0.619418035148372,5.12820512820513,92.7830596369922,5.7476231633535,7.21694036300778,93.4024776721406,2.05992509363296
"8",14,3808,12,673,628,1071,1436,266.25,228.95,216.428571428571,224.85,393.913492063492,282.417857142857,555.566666666667,256,206,219,221,330.5,258,379,146.275563789616,99.1834000436017,88.0004194437782,107.905404828171,249.788775882989,174.355389096325,439.782880328417,16,15,26,39,38,37,28,436,384,368,420,833,567,1298,117,135,110,101,100,79,167,3430,0,378,0,0,1964,0,264,0,0,264,1964,1964,0,264,0,0,264,1964,1105,0,0,0,0,0,1105,11,0,7,0,0,7,11,3069,0,264,0,0,264,3069,859,0,264,0,0,264,859,1699,2372,2064,17.6733193277311,16.4915966386555,28.125,37.7100840336134,44.6165966386555,62.2899159663866,54.2016806722689,9.92647058823529
"9",15,7693,10,4133,1632,641,1287,2013.46428571429,510.083333333333,419.833333333333,274.071428571429,1748.3,670.75,603.125,1990,408.5,417.5,225,1677,600,510.5,422.766698759846,317.442678884507,95.5720922897661,157.504333753374,1186.61417927843,379.152456495309,259.896056032189,16,11,9,21,22,16,21,2674,956,521,559,3246,1125,1088,1552,226,321,130,462,291,387,7514,0,179,0,0,5762.5,0,179,0,0,179,5762.5,5762.5,0,179,0,0,179,5762.5,1722.5,0,0,0,0,0,1722.5,7,0,4,0,0,4,7,7485,0,179,0,0,179,7485,4040,0,179,0,0,179,4040,2273,6406,2919,53.7241648251657,21.2140907318341,8.33225009749123,16.7294943455089,29.5463408293254,83.2705056544911,37.943585077343,2.326790588847
"10",16,6730,12,3021,577,756,2376,479.264935064935,215.25,206.833333333333,365.032478632479,605.173809523809,236.1,579.803571428571,333,207,186.5,226,416,210.5,509.5,351.083094995645,125.585574189114,108.585341846574,278.891285636054,560.703087746102,136.399068053051,430.95947401559,38,16,22,45,45,33,42,1193,358,359,848,1824,470,1247,153,82,85,98,120,80,137,4559,0,2171,0,0,2661,0,1214.16666666667,0,0,1214.16666666667,2661,2658,0,1182.5,0,0,1182.5,2658,1276.0171640232,0,654.86206042849,0,0,654.86206042849,1276.0171640232,12,0,10,0,0,10,12,4006,0,1889,0,0,1889,4006,1319,0,571,0,0,571,1319,1333,4354,2953,44.888558692422,8.57355126300149,11.2332838038633,35.3046062407132,19.8068350668648,64.6953937592868,43.8781575037147,32.258543833581
"11",17,5570,10,323,2496,1088,1663,76.7777777777778,249.911437908497,149.577272727273,140.990890688259,332.365034965035,282.034299516908,246.036414565826,75.5,226.5,133,115,316.5,271,209,18.9658143276634,113.489619727969,77.1918745319803,92.4120389096019,198.599465397456,152.907703062378,190.472444257701,18,53,35,62,61,66,60,107,466,311,337,645,590,753,55,101,66,34,69,79,47,5560,0,10,0,0,5560,0,10,0,0,10,5560,5560,0,10,0,0,10,5560,0,0,0,0,0,0,0,5,0,1,0,0,1,5,5560,0,10,0,0,10,5560,5560,0,10,0,0,10,5560,3584,3907,4159,5.79892280071813,44.8114901256732,19.5332136445242,29.8563734290844,64.3447037701975,70.1436265709156,74.6678635547576,0.179533213644524
"12",18,2708,6,1893,105,96,614,555.166666666667,105,32,166.933333333333,568.666666666667,123,190,466,105,35,166,404.5,122,179,319.726307650412,0,12.8322510366134,49.5893458698026,452.014769694734,15.2151240547029,80.9566065990173,12,3,3,12,13,6,11,1008,105,46,241,1376,143,328,221,105,15,91,234,105,92,1859,0,849,0,0,1639,0,432.333333333333,0,0,432.333333333333,1639,1600,0,269,0,0,269,1600,78.1067645384615,0,243.108114952084,0,0,243.108114952084,78.1067645384615,5,0,5,0,0,5,5,1748,0,776,0,0,776,1748,1569,0,252,0,0,252,1569,201,2094,719,69.903988183161,3.87740029542097,3.54505169867061,22.6735598227474,7.42245199409158,77.3264401772526,26.5509601181684,31.3515509601182
"13",19,6260,14,101,400,390,5369,62.5,241,311.333333333333,2630.41666666667,423.166666666667,374.666666666667,3310.33333333333,62.5,241,311,2704,429.5,369,3442,27.5,48,20.8219969156552,936.564620575764,129.969139050549,130.331043316525,960.24470647301,3,9,8,16,13,13,14,90,289,337,3627,561,522,4295,35,193,286,1638,279,233,2194,6169,0,91,0,0,5880,0,91,0,0,91,5880,5880,0,91,0,0,91,5880,252,0,0,0,0,0,252,8,0,3,0,0,3,8,6132,0,91,0,0,91,6132,5628,0,91,0,0,91,5628,790,891,5769,1.61341853035144,6.38977635782748,6.23003194888179,85.7667731629393,12.6198083067093,14.2332268370607,92.1565495207668,1.45367412140575
"14",21,6569,12,550,2370,2880,769,384.5,725.02380952381,882.166666666667,206.866666666667,1617.55,1316.31428571429,840.883333333333,381.5,681,812.5,152,1196.5,993.5,672.5,23.9932420089069,351.938397349283,455.609954501368,117.221027906951,1149.21732751917,819.989699244853,533.493800589645,7,27,22,23,25,29,26,414,1305,1471,408,3507,2821,1660,358,347,391,96,552,521,259,6227,0,342,0,0,6227,0,342,0,0,342,6227,6227,0,342,0,0,342,6227,0,0,0,0,0,0,0,6,0,3,0,0,3,6,6227,0,342,0,0,342,6227,6227,0,342,0,0,342,6227,5250,5800,3139,8.37265946110519,36.0785507687624,43.8422895417872,11.7065002283453,79.9208403105496,88.2934997716547,47.7850509971076,5.20627188308723
"15",23,7430,10,5820,585,700,325,3561.16666666667,195,267.25,202.333333333333,4692.5,574.5,393.85,3482.5,127,266.5,187,4449.5,574.5,357.5,1875.06143420132,130.056398022807,96.3988756175263,50.1752484354144,1813.54706533741,162.638016306625,175.596078633503,10,3,10,7,9,8,13,5511,377,371,270,6681,742,632,1690,81,165,150,2947,407,228,7285,0,145,0,0,5881,0,145,0,0,145,5881,5881,0,145,0,0,145,5881,1335,0,0,0,0,0,1335,7,0,5,0,0,5,7,7216,0,145,0,0,145,7216,4546,0,145,0,0,145,4546,1285,7105,910,78.3310901749664,7.87348586810229,9.42126514131898,4.37415881561238,17.2947510094213,95.6258411843876,12.2476446837147,1.95154777927322
"16",24,6620,10,390,394,2345,3491,123.371428571429,189.166666666667,304.513833992095,258.928205128205,279.963233127026,274.481601731602,1318.48888888889,121,162.5,260,150.5,175.5,143.5,1058,24.0186073463511,63.3651448595239,265.029756155617,237.406489455784,262.226574451066,277.372252744328,740.750782820171,16,11,56,77,75,63,29,166,286,816,771,938,938,2928,99,133,59,49,54,54,668,4374,0,2246,0,0,2124.16666666667,0,1933.16666666667,0,0,1933.16666666667,2124.16666666667,2029.5,0,1868.5,0,0,1868.5,2029.5,1771.45351998463,0,113.944572452552,0,0,113.944572452552,1771.45351998463,11,0,8,0,0,8,11,3981,0,2087,0,0,2087,3981,362,0,1844,0,0,1844,362,2739,3129,3885,5.89123867069486,5.95166163141994,35.4229607250755,52.7341389728097,41.3746223564955,47.2658610271903,58.6858006042296,33.9274924471299
"17",25,5497,8,268,1990,705,2534,84.8,329.608333333333,248.066666666667,450.497222222222,452.291666666667,423.293650793651,947.208333333333,84,318.5,228,316,402,383,821,30.2437620842971,227.301809865345,127.109502282446,364.287616503154,325.076658074433,323.486455598447,318.944360421082,8,20,12,25,25,25,22,126,758,421,985,1094,1045,1508,47,66,117,66,70,70,600,5364,0,133,0,0,2961.5,0,92,0,0,92,2961.5,2961.5,0,92,0,0,92,2961.5,2348.5,0,22,0,0,22,2348.5,7,0,4,0,0,4,7,5310,0,114,0,0,114,5310,613,0,70,0,0,70,613,2695,2963,4524,4.87538657449518,36.2015644897217,12.8251773694743,46.0978715663089,49.0267418591959,53.9021284336911,82.2994360560306,2.41950154629798
"18",26,7603,8,3645,2100,679,1179,794.257142857143,365.835714285714,235.047619047619,140.3,788.946428571429,371.083333333333,268.053296703297,702,209,210,117,663.5,284,197.5,455.910161682288,314.803517315787,98.387511008378,81.3540366492251,583.938747463142,298.952697818646,182.08028907049,18,27,14,33,34,34,29,1419,942,357,311,1768,1006,573,240,111,138,47,90,90,78,7057,0,546,0,0,2914.33333333333,0,202.833333333333,0,0,202.833333333333,2914.33333333333,2467,0,196.5,0,0,196.5,2467,1296.27660626473,0,80.4822027060007,0,0,80.4822027060007,1296.27660626473,10,0,8,0,0,8,10,4669,0,297,0,0,297,4669,1607,0,115,0,0,115,1607,2779,6424,3279,47.9416019992108,27.6206760489281,8.93068525582007,15.507036696041,36.5513613047481,84.492963303959,43.1277127449691,7.1813757727213
"19",27,6773,6,4367,2051,28,327,1197.16666666667,456.916666666667,28,127.333333333333,2148.66666666667,466.25,128,871.5,307,28,128,2177,335,130,1167.36926019064,385.57944770747,0,38.7348835113618,1779.15893108243,382.513682723286,36.0185673598206,10,15,1,7,9,15,8,2832,1174,28,167,4149,1174,167,148,120,28,87,120,120,87,6766,0,7,0,0,5962,0,7,0,0,7,5962,5962,0,7,0,0,7,5962,629,0,0,0,0,0,629,4,0,1,0,0,1,4,6591,0,7,0,0,7,6591,5333,0,7,0,0,7,5333,2079,6446,2378,64.4765982577883,30.2820020670309,0.413406171563561,4.8279935036173,30.6954082385944,95.1720064963827,35.1099955706482,0.10335154289089
"20",28,5983,16,727,1139,597,3520,378,445.633333333333,204.416666666667,861.594444444444,611.666666666667,523.071428571429,1247.18333333333,373,416.5,179,587.5,587,497,947.5,60.4614970027944,210.076427375209,106.291134753123,680.693878837827,304.146290476714,237.993961594481,856.307035033303,12,15,14,36,32,23,30,449,739,347,1859,1034,859,2353,312,237,96,221,272,267,445,4374,0,1609,0,0,1394.45,0,662.583333333333,0,0,662.583333333333,1394.45,1229.5,0,649,0,0,649,1229.5,1001.31620648072,0,319.164560260387,0,0,319.164560260387,1001.31620648072,26,0,22,0,0,22,26,2699,0,1031,0,0,1031,2699,406,0,325,0,0,325,406,1736,2463,4659,12.1510947685108,19.0372722714357,9.97827177001504,58.8333611900384,29.0155440414508,41.1666388099616,77.8706334614742,26.8928631121511
"21",29,8474,10,7022,706,555,191,2875.91666666667,283.083333333333,185.083333333333,55.5,4439.02380952381,385.533333333333,216.559523809524,2139.5,263.5,150.5,53.5,3206,370,135,1665.54116738483,87.6109636685655,117.040838592763,29.5090469443643,1955.06755736666,152.35248462321,199.389506374591,15,13,16,11,16,22,19,5623,400,355,93,7514,607,511,1646,189,88,21,3025,196,44,8219,0,255,0,0,7230.33333333333,0,218.5,0,0,218.5,7230.33333333333,7087,0,218.5,0,0,218.5,7087,762.962784993551,0,10.5,0,0,10.5,762.962784993551,8,0,3,0,0,3,8,8081,0,229,0,0,229,8081,6523,0,208,0,0,208,6523,1261,8283,897,82.8652348359688,8.33136653292424,6.54944536228464,2.25395326882228,14.8808118952089,97.7460467311777,10.5853198017465,3.00920462591456
"22",30,6550,10,2074,1066,2157,1253,603.666666666667,352.166666666667,978.25,239.716666666667,1185.93333333333,806,769.5,548,295.5,969,233,957,799.5,638,417.212262966207,139.540397589948,263.829253945841,138.037206444198,1132.41199553883,505.770448179575,575.021611217149,18,10,16,25,26,23,22,1155,616,1318,419,3068,1532,1752,160,232,703,73,138,279,218,5273,0,1277,0,0,4644,0,1277,0,0,1277,4644,4644,0,1277,0,0,1277,4644,438,0,0,0,0,0,438,5,0,3,0,0,3,5,5082,0,1277,0,0,1277,5082,4206,0,1277,0,0,1277,4206,3223,5297,2319,31.6641221374046,16.2748091603053,32.9312977099237,19.1297709923664,49.206106870229,80.8702290076336,35.4045801526718,19.4961832061069
"23",31,6839,16,4073,1279,307,1180,860.671428571429,320.95,143.75,177.77619047619,1131.17976190476,337.683333333333,214.640266106443,323,235,141.5,141.5,691.5,234.5,168,933.565816860156,238.043671116642,29.726676708893,106.308646267744,1030.2474710275,276.891277284585,135.805960506806,50,31,15,47,52,38,55,2428,687,181,371,2839,839,462,164,109,111,72,234,110,75,4587,0,2252,0,0,2696,0,1597,0,0,1597,2696,2639,0,1597,0,0,1597,2639,1226.62691920596,0,563,0,0,563,1226.62691920596,16,0,9,0,0,9,16,3961,0,2160,0,0,2160,3961,1488,0,1034,0,0,1034,1488,1586,5659,2459,59.5554905687966,18.7015645562217,4.48896037432373,17.253984500658,23.1905249305454,82.746015499342,35.9555490568797,32.9287907588829
"24",32,7929,10,3963,1880,1292,794,582.228571428571,267.593073593074,197.766666666667,117.302380952381,980.947727272727,339.978021978022,381.8,543,216,161,103,741.5,266,379.5,292.480620766404,198.888721261452,104.749652718158,43.6255176185682,768.886967790252,245.21117979343,150.486668937631,33,34,30,34,39,49,33,1083,691,415,182,2483,911,638,216,75,91,64,189,96,224,6997,0,932,0,0,3666.83333333333,0,845,0,0,845,3666.83333333333,3394.5,0,845,0,0,845,3394.5,2215.19087419049,0,4,0,0,4,2215.19087419049,10,0,5,0,0,5,10,6189,0,849,0,0,849,6189,1417,0,841,0,0,841,1417,3172,7135,2674,49.9810821036701,23.7104300668432,16.2946147055114,10.0138731239753,40.0050447723547,89.9861268760247,33.7243031908185,11.7543195863287
"25",33,6958,14,2010,923,2454,1571,446.666666666667,292.333333333333,313.933333333333,243.746031746032,789.406746031746,469.741666666667,642.532142857143,344.5,273,268.5,180,570,344,397.5,330.699278155847,149.586357877,219.859707694956,188.958700284983,703.41612888091,393.970632009519,641.604244751046,31,20,55,46,48,53,44,955,499,715,611,2181,1266,1995,117,137,59,77,113,108,135,6638,0,320,0,0,4846,0,320,0,0,320,4846,4846,0,320,0,0,320,4846,1469,0,0,0,0,0,1469,11,0,5,0,0,5,11,6315,0,320,0,0,320,6315,3377,0,320,0,0,320,3377,3377,5387,2494,28.8876113825812,13.265306122449,35.2687553894797,22.5783271054901,48.5340615119287,77.4216728945099,35.8436332279391,4.59902270767462
"26",34,5784,6,2299,306,1159,2020,263.671428571429,115.833333333333,119.255244755245,136.807342657343,252.002380952381,133.730769230769,279.471428571429,192,86.5,82,98,160.5,88.5,222.5,203.791337001244,57.8434402914059,98.8822335983654,115.483429193228,236.641651337949,115.221175979973,198.987227800462,25,8,30,44,46,34,34,732,192,363,451,866,423,667,57,69,23,20,30,23,32,5771,0,13,0,0,5771,0,13,0,0,13,5771,5771,0,13,0,0,13,5771,0,0,0,0,0,0,0,3,0,1,0,0,1,3,5771,0,13,0,0,13,5771,5771,0,13,0,0,13,5771,1465,3764,2326,39.7475795297372,5.29045643153527,20.0380359612725,34.923928077455,25.3284923928077,65.076071922545,40.2143845089903,0.224757952973721
"27",35,7150,12,2988,2828,86,1248,693.533333333333,598.816666666667,36,260.590476190476,1268.0619047619,622.216666666667,268.054761904762,486.5,540.5,40,185.5,812,560.5,179,570.669212994526,345.754905491673,10.9848380355227,213.141809018815,1032.4670313955,373.42756845684,239.308564268091,27,27,4,30,29,26,31,1667,1133,47,648,2925,1195,730,208,195,21,68,330,195,71,3798,0,3352,0,0,1925,0,3081.5,0,0,3081.5,1925,1925,0,3081.5,0,0,3081.5,1925,1628,0,236.5,0,0,236.5,1628,11,0,7,0,0,7,11,3553,0,3318,0,0,3318,3553,297,0,2845,0,0,2845,297,2914,5902,4076,41.7902097902098,39.5524475524476,1.2027972027972,17.4545454545455,40.7552447552448,82.5454545454545,57.006993006993,46.8811188811189
"28",36,8008,12,2470,2371,2147,1020,414.196428571429,340.05119047619,378.278388278388,196.916666666667,1204.92698412698,674.025,329.490476190476,357.5,294.5,308,176.5,984,562,213.5,204.112379263626,153.596488541292,296.48828061839,101.425169321451,1017.17474866463,433.037766606459,277.719850179895,38,43,40,34,37,49,63,876,572,858,380,3195,1514,905,197,155,93,88,258,255,72,7212,0,796,0,0,3929,0,796,0,0,796,3929,3929,0,796,0,0,796,3929,3102,0,0,0,0,0,3102,11,0,6,0,0,6,11,7031,0,796,0,0,796,7031,827,0,796,0,0,796,827,4518,6988,3391,30.8441558441558,29.6078921078921,26.8106893106893,12.7372627372627,56.4185814185814,87.2627372627373,42.3451548451548,9.94005994005994
