Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min
70,1,3000,3,3947,4162,216,1,0.0,0.0,52.0,164.0,0.0,0.0,26.0,54.666666666666664,26.0,26.0,216.0,0.0,0.0,26.0,64.0,26.0,26.0,216.0,0.0,0.0,3.0,26.948510575210317,3.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,29.0,82.0,29.0,29.0,216.0,0.0,0.0,23.0,18.0,23.0,23.0,216.0,49.0,127.0,40.0,0.0,0.0,24.5,127.0,40.0,0.0,0.0,40.0,88.0,24.5,127.0,40.0,0.0,0.0,40.0,88.0,13.5,0.0,0.0,0.0,0.0,0.0,77.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,38.0,127.0,40.0,0.0,0.0,40.0,165.0,11.0,127.0,40.0,0.0,0.0,40.0,11.0
70,1,3000,4,4163,4317,155,3,0.0,0.0,32.0,123.0,0.0,0.0,32.0,61.5,32.0,32.0,155.0,0.0,0.0,32.0,61.5,32.0,32.0,155.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,32.0,66.0,32.0,32.0,155.0,0.0,0.0,32.0,57.0,32.0,32.0,155.0,155.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,155.0,0.0,0.0,0.0,0.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,155.0
70,1,3000,5,4318,4954,637,1,0.0,209.0,123.0,305.0,0.0,69.666666666666671,41.0,61.0,66.400000000000006,66.400000000000006,142.66666666666666,0.0,44.0,9.0,32.0,44.0,44.0,119.0,0.0,66.614979963635477,45.254833995939045,53.460265618494638,58.458874433228701,58.458874433228701,100.60594194954668,0.0,3.0,3.0,5.0,5.0,5.0,3.0,0.0,161.0,105.0,139.0,161.0,161.0,276.0,0.0,4.0,9.0,3.0,9.0,9.0,33.0,122.0,377.0,138.0,0.0,0.0,40.666666666666664,188.5,69.0,0.0,0.0,69.0,166.33333333333334,31.0,188.5,69.0,0.0,0.0,69.0,188.0,36.971460464646086,31.5,8.0,0.0,0.0,8.0,55.631725560950279,3.0,2.0,2.0,0.0,0.0,2.0,3.0,90.0,220.0,77.0,0.0,0.0,77.0,221.0,1.0,157.0,61.0,0.0,0.0,61.0,90.0
70,1,3000,6,4955,5123,169,3,25.0,73.0,0.0,71.0,25.0,36.5,0.0,35.5,32.666666666666664,36.5,35.5,25.0,36.5,0.0,35.5,25.0,36.5,35.5,0.0,11.5,0.0,28.5,10.842303978193728,11.5,28.5,1.0,2.0,0.0,2.0,3.0,2.0,2.0,25.0,48.0,0.0,64.0,48.0,48.0,64.0,25.0,25.0,0.0,7.0,25.0,25.0,7.0,101.0,60.0,8.0,0.0,0.0,101.0,60.0,8.0,0.0,0.0,8.0,161.0,101.0,60.0,8.0,0.0,0.0,8.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,101.0,60.0,8.0,0.0,0.0,8.0,161.0,101.0,60.0,8.0,0.0,0.0,8.0,161.0
70,1,3000,7,5124,5601,478,1,76.0,86.0,74.0,242.0,76.0,43.0,37.0,60.5,59.0,40.0,105.33333333333333,76.0,43.0,37.0,42.5,43.0,40.0,68.0,0.0,2.0,2.0,51.626059311165712,32.526911934581186,3.6055512754639891,53.505970591036743,1.0,2.0,2.0,4.0,4.0,4.0,3.0,76.0,45.0,39.0,142.0,115.0,45.0,181.0,76.0,41.0,35.0,15.0,35.0,35.0,67.0,153.0,229.0,96.0,0.0,0.0,76.5,229.0,48.0,0.0,0.0,48.0,191.0,76.5,229.0,48.0,0.0,0.0,48.0,191.0,20.5,0.0,15.0,0.0,0.0,15.0,135.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,97.0,229.0,63.0,0.0,0.0,63.0,326.0,56.0,229.0,33.0,0.0,0.0,33.0,56.0
70,1,3000,8,5602,5690,89,3,0.0,0.0,0.0,89.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0
70,1,3000,9,5691,5835,145,1,58.0,0.0,9.0,78.0,58.0,0.0,9.0,26.0,33.5,9.0,43.5,58.0,0.0,9.0,21.0,33.5,9.0,43.5,0.0,0.0,0.0,7.7888809636986149,24.5,0.0,22.5,1.0,0.0,1.0,3.0,2.0,1.0,2.0,58.0,0.0,9.0,37.0,58.0,9.0,66.0,58.0,0.0,9.0,20.0,9.0,9.0,21.0,53.0,54.0,38.0,0.0,0.0,26.5,54.0,38.0,0.0,0.0,38.0,53.5,26.5,54.0,38.0,0.0,0.0,38.0,53.5,12.5,0.0,0.0,0.0,0.0,0.0,39.5,2.0,1.0,1.0,0.0,0.0,1.0,2.0,39.0,54.0,38.0,0.0,0.0,38.0,93.0,14.0,54.0,38.0,0.0,0.0,38.0,14.0
70,1,3000,10,5836,5887,52,3,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0
70,1,3000,11,5888,5999,112,1,0.0,0.0,25.0,87.0,0.0,0.0,25.0,43.5,25.0,25.0,112.0,0.0,0.0,25.0,43.5,25.0,25.0,112.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,25.0,78.0,25.0,25.0,112.0,0.0,0.0,25.0,9.0,25.0,25.0,112.0,38.0,74.0,0.0,0.0,0.0,38.0,74.0,0.0,0.0,0.0,0.0,112.0,38.0,74.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.0,74.0,0.0,0.0,0.0,0.0,112.0,38.0,74.0,0.0,0.0,0.0,0.0,112.0
70,1,6000,0,6000,6163,164,1,0.0,0.0,32.0,132.0,0.0,0.0,32.0,66.0,32.0,32.0,164.0,0.0,0.0,32.0,66.0,32.0,32.0,164.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,32.0,129.0,32.0,32.0,164.0,0.0,0.0,32.0,3.0,32.0,32.0,164.0,92.0,35.0,37.0,0.0,0.0,92.0,35.0,37.0,0.0,0.0,37.0,63.5,92.0,35.0,37.0,0.0,0.0,37.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,28.5,1.0,1.0,1.0,0.0,0.0,1.0,2.0,92.0,35.0,37.0,0.0,0.0,37.0,92.0,92.0,35.0,37.0,0.0,0.0,37.0,35.0
