Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min
1,1,0,10,3691,4085,395,1,25.0,23.0,76.0,271.0,25.0,23.0,19.0,45.166666666666664,20.666666666666668,19.800000000000001,25.0,23.0,17.5,17.5,21.5,20.0,0.0,0.0,6.4420493633625631,47.621482080627814,5.79271573232759,5.9799665550904209,1.0,1.0,4.0,6.0,6.0,5.0,25.0,23.0,29.0,129.0,29.0,29.0,25.0,23.0,12.0,5.0,12.0,12.0,0.0,283.0,100.0,0.0,12.0,0.0,94.333333333333329,50.0,0.0,12.0,50.0,98.333333333333329,0.0,86.0,50.0,0.0,12.0,50.0,98.0,0.0,54.615830021056063,11.0,0.0,0.0,11.0,54.297534218620115,0.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,165.0,61.0,0.0,12.0,61.0,165.0,0.0,32.0,39.0,0.0,12.0,39.0,32.0
1,1,0,11,4086,4116,31,3,0.0,10.0,8.0,13.0,0.0,10.0,8.0,13.0,9.0,9.0,0.0,10.0,8.0,13.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,10.0,8.0,13.0,10.0,10.0,0.0,10.0,8.0,13.0,8.0,8.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0
1,1,0,12,4117,4262,146,1,8.0,2.0,16.0,120.0,8.0,2.0,16.0,40.0,8.6666666666666661,9.0,8.0,2.0,16.0,18.0,8.0,9.0,0.0,0.0,0.0,37.656340767525464,5.7348835113617511,7.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0,2.0,16.0,93.0,16.0,16.0,8.0,2.0,16.0,9.0,2.0,2.0,35.0,57.0,54.0,0.0,0.0,35.0,57.0,54.0,0.0,0.0,54.0,46.0,35.0,57.0,54.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,35.0,57.0,54.0,0.0,0.0,54.0,57.0,35.0,57.0,54.0,0.0,0.0,54.0,35.0
1,1,0,13,4263,4278,16,3,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0
1,1,0,14,4279,4528,250,1,39.0,0.0,43.0,168.0,39.0,0.0,43.0,56.0,41.0,43.0,39.0,0.0,43.0,60.0,41.0,43.0,0.0,0.0,0.0,13.366625103842281,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,39.0,0.0,43.0,70.0,43.0,43.0,39.0,0.0,43.0,38.0,39.0,43.0,46.0,161.0,43.0,0.0,0.0,23.0,80.5,43.0,0.0,0.0,43.0,103.5,23.0,80.5,43.0,0.0,0.0,43.0,103.5,6.0,41.5,0.0,0.0,0.0,0.0,47.5,2.0,2.0,1.0,0.0,0.0,1.0,2.0,29.0,122.0,43.0,0.0,0.0,43.0,151.0,17.0,39.0,43.0,0.0,0.0,43.0,56.0
1,1,0,15,4529,4546,18,3,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
1,1,0,16,4547,4601,55,1,30.0,0.0,0.0,25.0,30.0,0.0,0.0,12.5,30.0,0.0,30.0,0.0,0.0,12.5,30.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,30.0,0.0,0.0,20.0,30.0,0.0,30.0,0.0,0.0,5.0,30.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0
1,1,0,17,4602,4663,62,3,0.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,7.0,0.0,0.0,55.0,0.0,7.0,0.0,0.0,55.0,0.0,62.0,0.0,7.0,0.0,0.0,55.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,55.0,0.0,62.0,0.0,7.0,0.0,0.0,55.0,0.0,62.0
1,1,0,18,4664,5353,690,1,78.0,52.0,89.0,471.0,26.0,17.333333333333332,29.666666666666668,58.875,31.285714285714285,23.5,16.0,14.0,16.0,38.5,27.0,15.0,14.142135623730951,8.4983658559879753,22.954060400915758,66.587231321027303,19.840177747722535,18.373440976946405,3.0,3.0,3.0,8.0,7.0,6.0,46.0,29.0,62.0,229.0,62.0,62.0,16.0,9.0,11.0,13.0,9.0,9.0,42.0,431.0,110.0,0.0,107.0,42.0,431.0,110.0,0.0,53.5,110.0,290.0,42.0,431.0,110.0,0.0,53.5,110.0,290.0,0.0,0.0,0.0,0.0,33.5,0.0,228.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,42.0,431.0,110.0,0.0,87.0,110.0,518.0,42.0,431.0,110.0,0.0,20.0,110.0,62.0
1,1,0,19,5354,5463,110,3,0.0,20.0,0.0,90.0,0.0,20.0,0.0,45.0,20.0,20.0,0.0,20.0,0.0,45.0,20.0,20.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,20.0,0.0,68.0,20.0,20.0,0.0,20.0,0.0,22.0,20.0,20.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0
