"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.034821588153995,-0.322738764939504,0.0420876540302604,0.187598570149938,-0.248378243489192,-0.187598570149938,-0.0654782881791167,2.88202718950302
"hboredom",0.502026718901341,0.621769970932781,0.146244212897812,-1.16745787871423,0.673706675351736,1.16745787871423,-0.613189642177025,-0.470214347578253
"hsdesirability",0.436986799436419,-0.182490099350271,0.460386874386412,-0.688538444274053,0.232161333013875,0.688538444274054,-0.775227366684453,0.516882687398157
"shogan",-3.80426676440092,0.756004008391446,2.31822346158516,1.44189353790702,2.70777413856017,-1.44189353790702,1.92755573230329,0.367853766861495
"sboredom",2.52715895837144,0.672237655654175,-2.5323932284326,-1.30454030094573,-1.50090937581763,1.30454030094573,-0.699756855375585,1.17641034191107
"ssdesirability",-0.680257072336461,1.11351804803005,0.00627911654436295,-0.149617304190486,0.984879119922134,0.149617304190487,0.682676579102941,-0.772266721286051
"hpabad",1.46327933139988,-0.040548516893294,-1.46467623779527,-0.417800268858143,-1.28348673508653,0.417800268858143,-0.417614071283204,-0.360765830178877
"hpabad2",0.336050901650541,-0.0633341038411166,-1.10431278539668,0.535562652827137,-0.998555204881948,-0.535562652827136,0.449278423504462,-0.278664297518447
"hpagood",-2.02507661583138,-0.627747813792448,0.720219948184101,2.15667504118627,0.0615357878553873,-2.15667504118627,1.4931080167257,1.33678835666731
"hpagood2",-1.45311629433866,-0.483405531456823,0.302569326130598,1.74884218340242,-0.166919640817381,-1.74884218340242,1.24157832980625,1.96128263045167
"spabad",1.92660048931192,0.686986741983538,-2.47195134000217,-0.757384294439929,-1.44007880303731,0.757384294439929,-0.191224774220623,0.474257516717993
"spabad2",1.65338717065067,0.211780038478325,-2.23017887931924,-0.264943994912415,-1.68680007446191,0.264943994912415,-0.0884154871343887,0.56616607067148
"spagood",-1.67216110600752,0.835325540708797,2.24062984942865,-0.559205880009265,2.71916999790164,0.559205880009265,0.0995071549394938,-0.0591453421670404
"spagood2",-1.14380743290312,1.27303297136993,2.07178509258787,-1.34968808284206,3.01229357012841,1.34968808284206,-0.301297994942324,-0.387445163545462
"rapcomp2",-0.445842046937054,0.412801906003222,0.373894092903763,-0.129616469557655,0.680028867427799,0.129616469557655,0.18127037354356,1.0622599458008
