Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min
75,2,6000,10,8135,8999,865,1,107.0,133.0,385.0,240.0,35.666666666666664,66.5,64.166666666666671,34.285714285714285,89.285714285714292,86.333333333333329,37.0,66.5,33.5,32.0,119.0,92.5,9.0308114560960444,15.5,52.432231393379482,17.441447234465752,54.263153206557831,45.020982762361918,3.0,2.0,6.0,7.0,7.0,6.0,46.0,82.0,154.0,62.0,154.0,154.0,24.0,51.0,17.0,11.0,24.0,28.0
77,1,0,0,0,106,107,1,11.0,5.0,36.0,55.0,11.0,5.0,12.0,18.333333333333332,13.0,10.25,11.0,5.0,9.0,18.0,13.0,7.5,0.0,0.0,6.4807406984078604,1.247219128924647,7.5166481891864541,6.3786754110865367,1.0,1.0,3.0,3.0,4.0,4.0,11.0,5.0,21.0,20.0,21.0,21.0,11.0,5.0,6.0,17.0,5.0,5.0
77,1,0,1,107,146,40,3,0.0,39.0,0.0,1.0,0.0,39.0,0.0,1.0,39.0,39.0,0.0,39.0,0.0,1.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,39.0,0.0,1.0,39.0,39.0,0.0,39.0,0.0,1.0,39.0,39.0
77,1,0,2,147,163,17,1,4.0,0.0,0.0,13.0,4.0,0.0,0.0,13.0,4.0,0.0,4.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,13.0,4.0,0.0,4.0,0.0,0.0,13.0,4.0,0.0
77,1,0,3,164,183,20,3,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0
77,1,0,4,184,241,58,1,3.0,23.0,8.0,24.0,3.0,23.0,8.0,12.0,17.0,15.5,3.0,23.0,8.0,12.0,17.0,15.5,0.0,0.0,0.0,5.0,6.0,7.5,1.0,1.0,1.0,2.0,2.0,2.0,3.0,23.0,8.0,17.0,23.0,23.0,3.0,23.0,8.0,7.0,11.0,8.0
77,1,0,5,242,286,45,3,0.0,21.0,0.0,24.0,0.0,21.0,0.0,24.0,21.0,21.0,0.0,21.0,0.0,24.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,21.0,0.0,24.0,21.0,21.0,0.0,21.0,0.0,24.0,21.0,21.0
77,1,0,6,287,486,200,1,0.0,69.0,42.0,89.0,0.0,23.0,21.0,44.5,37.0,37.0,0.0,19.0,21.0,44.5,46.0,46.0,0.0,7.1180521680208741,6.0,33.5,14.165686240583852,14.165686240583852,0.0,3.0,2.0,2.0,3.0,3.0,0.0,33.0,27.0,78.0,48.0,48.0,0.0,17.0,15.0,11.0,17.0,17.0
77,1,0,7,487,584,98,3,0.0,88.0,10.0,0.0,0.0,88.0,10.0,0.0,98.0,98.0,0.0,88.0,10.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,88.0,10.0,0.0,98.0,98.0,0.0,88.0,10.0,0.0,98.0,98.0
77,1,0,8,585,604,20,1,0.0,8.0,0.0,12.0,0.0,8.0,0.0,12.0,8.0,8.0,0.0,8.0,0.0,12.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,12.0,8.0,8.0,0.0,8.0,0.0,12.0,8.0,8.0
77,1,0,9,605,628,24,3,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
77,1,0,10,629,800,172,1,0.0,18.0,38.0,116.0,0.0,18.0,38.0,58.0,56.0,56.0,0.0,18.0,38.0,58.0,56.0,56.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,18.0,38.0,73.0,56.0,56.0,0.0,18.0,38.0,43.0,56.0,56.0
77,1,0,11,801,878,78,3,0.0,48.0,0.0,30.0,0.0,48.0,0.0,30.0,48.0,48.0,0.0,48.0,0.0,30.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,48.0,0.0,30.0,48.0,48.0,0.0,48.0,0.0,30.0,48.0,48.0
77,1,0,12,879,895,17,1,0.0,6.0,0.0,11.0,0.0,6.0,0.0,11.0,6.0,6.0,0.0,6.0,0.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,11.0,6.0,6.0,0.0,6.0,0.0,11.0,6.0,6.0
77,1,0,13,896,1017,122,3,15.0,16.0,0.0,91.0,15.0,16.0,0.0,30.333333333333332,15.5,16.0,15.0,16.0,0.0,20.0,15.5,16.0,0.0,0.0,0.0,25.952948879762307,0.5,0.0,1.0,1.0,0.0,3.0,2.0,1.0,15.0,16.0,0.0,66.0,16.0,16.0,15.0,16.0,0.0,5.0,15.0,16.0
77,1,0,14,1018,1104,87,1,0.0,37.0,0.0,50.0,0.0,37.0,0.0,25.0,37.0,37.0,0.0,37.0,0.0,25.0,37.0,37.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,37.0,0.0,34.0,37.0,37.0,0.0,37.0,0.0,16.0,37.0,37.0
